0,1,2,3,4
,AUTHORS,TITLE,REFERENCE,SUMMARY
,"Fabozzi, Frank; Lopez de Prado,  Marcos",Rethinking Portfolio Risk: A Taxonomy for Asset Management,"Journal of Asset Management, Forthcoming. 2026.","We argue that portfolio risk should be classified by six interacting failure mechanisms—statistical, factor, liquidity, model, governance, and decision-infrastructure vulnerabilities—because severe losses typically arise from their compound effects rather than volatility alone."
,"Lopez de Prado,  Marcos;  Porcu, Emilio",Random Patterns and Structures in Spatial Data,"Journal of the American Statistical Association, Forthcoming. 2026.",We review Radu Stoica's work on this topic.
,"Fabozzi, Frank; Lopez de Prado,  Marcos;  Lipton, Alexander",Interview with Marcos Lopez de Prado and Alexander Lipton of Abu Dhabi Investment Authority,"Journal of Fixed Income, Forthcoming. 2026.","The interview argues that fixed-income and credit markets can benefit from AI, tokenization, and stablecoins, but only if institutions control backtest leakage, false discoveries, liquidity shocks, default clustering, and systemic coordination risks through rigorous governance and real-time oversight."
,"Olivetti, Emanuele; Zoonekynd, Vincent; Lopez de Prado,  Marcos;  Imbens, Guido;  Hernán, Miguel",Evidence from ADIA Lab's Causal Discovery Challenge,"Journal of Financial Data Science, Forthcoming. 2026","This paper describes the ADIA Lab Causal Discovery Challenge conducted in 2024. The challenge focused on causal discovery, the task of inferring causal relationships from observational data, with an emphasis on the classification of variables according to their causal roles."
,"Lopez de Prado,  Marcos;  Porcu, Emilio",López de Prado and Porcu’s Comment on: Regression by Composition,"Journal of the Royal Statistical Society: Series B, Forthcoming. 2026.","The article argues that regression by composition is a powerful descriptive framework for modeling conditional distributions, but it yields valid causal interpretations only when supplemented with externally justified structural assumptions and identification principles."
,"Lipton, Alexander; Lopez de Prado,  Marcos",Valuing Private Equity Analytically,"Risk Magazine, April 2026.","The paper derives closed-form valuations for private equity by optimizing allocation between liquid and illiquid assets under CARA utility. It shows that illiquidity, correlation, and leverage drive both optimal investment and pricing."
,"Lopez de Prado,  Marcos;  Lipton, Alexander; Zoonekynd, Vincent",How to Use the Sharpe Ratio Sharpe Ratio Inference: A New Standard for Decision-Making and Reporting,"Journal of Portfolio Management, Vol. 52, No. 6, pp. 6-50. 2026.","The paper shows that naive Sharpe ratio use is flawed due to bias, low power, p-value misuse, and multiple testing. It proposes corrected measures (PSR, MinTRL, DSR, Bayesian FDR) to make inference statistically valid."
,"Herrera, Francisco; García, Salvador; del Jesús, María José; Sánchez, Luciano;  Lopez de Prado,  Marcos",Co-Explainers as Sociotechnical Infrastructure: A position on Interactive XAI for Governance and Harm Mitigation,"Machine Learning and Knowledge Extraction, 8(3), pp. 1-37. 2026.","The paper proposes “co-explainers,” interactive AI systems that iteratively adapt their explanations through user feedback, institutional roles, and governance contexts, reframing explainable AI from static transparency tools into sociotechnical infrastructure for mitigating harms, ensuring accountability, and aligning AI with democratic trust and policy frameworks."
,"Fabozzi, Frank; Lopez de Prado,  Marcos",Interview with Marcos Lopez de Prado of Abu Dhabi Investment Authority (ADIA),"Journal of Portfolio Management, 52(5), pp. 18-24. 2026.","Multi-asset backtests often overstate skill due to overfitting and hidden risks, making standard Sharpe ratios unreliable. I recommend causal design and statistical corrections like deflated Sharpe and false discovery controls to assess if performance is genuine."
