0,1,2,3
AUTHORS,YEAR,TITLE,SUMMARY
"Herrera, Francisco;  Herrera-Viedma, Enrique;  Lopez de Prado,  Marcos; Rodrigo-Comino, Jesús",2026,"The Thucydides Trap in the Age of AI: Automated Science, Global Technological Advancement, and the Limits of Governance","We argue that AI-driven automated science and the prospect of AGI transform the Thucydides Trap from a traditional power-transition problem into a governance-capacity problem, where technological acceleration, strategic opacity, and institutional fragmentation risk turning innovation into systemic instability."
"Lopez de Prado,  Marcos;  Porcu, Emilio;  Zoonekynd, Vincent;  Robert F. Engle",2026,Signal-to-Noise Ratio Inference under Volatility Clustering and Heavy Tails,We derive a closed-form solution to the asymptotic variance of the Sharpe ratio under GARCH returns.
"Lopez de Prado,  Marcos;  Fabozzi, Frank",2026,The False Discovery Rate in Finance: Identification Failure and Search-Adjusted Estimation,"We prove that the false discovery rate (FDR) cannot be identified from reported in-sample statistics when results arise from a search-and-selection process. We show that earlier methods used to infer a low FDR from the cross-section of published statistics are not valid, and can severely understate the true rate of false discoveries in finance."
"Balasubramanian, Koushik; Lopez de Prado,  Marcos",2026,Spectral Risk Parity,"Utilizing concepts from random matrix theory, we propose a spectral approach to constructing risk parity portfolios."
"Lopez de Prado,  Marcos;  Porcu, Emilio",2026,On the Asymptotic Distribution of the Sharpe Ratio under Weak Dependence and Non-Gaussian Returns,"We derive an explicit asymptotic normal approximation for its plug-in estimator under weak dependence and finite ""fourth plus epsilon"" moments."
"Herrera, Francisco; Gama, João; García, Salvador; del Jesus, María José;  Lopez de Prado,  Marcos; Sanchez, Luciano",2025,Apophatic Interpretability and the Limits of Understanding in AI,"The paper argues that the complexity of modern AI systems makes complete, global interpretability virtually impossible, and proposes an “apophatic” approach that focuses on mapping limits, uncertainties, and what cannot be known rather than producing exhaustive explanations."
"Buscemi, Alessio; Cabot, Jordi, Chari, Pradyumna;  Herrera, Francisco; Khan, Shadab; Lopez de Prado,  Marcos; Raskar; Ramesh",2025,Towards Sandboxes for the Internet of Agents,"The paper proposes a system of standardized “sandboxes” to test AI agents for reasoning, safety, and tool-use capabilities. These sandboxes produce cryptographically signed attestations that can be verified when agents interact, enabling safer and more accountable multi-agent systems."
"Herrera, Francisco;  Lopez de Prado,  Marcos",2025,"From Narrow AI to AGI and Strong AI: Reframing Intelligence, Governance, and Trustworthy Futures","The paper reframes the path from narrow AI to AGI and strong AI, emphasizing conceptual clarity, technical challenges, and the joint development of safety and governance frameworks to ensure trustworthy, human-aligned integration of advanced AI."
"Lipton, Alexander; Lopez de Prado,  Marcos",2025,Private Equity Valuation with Quadratic Utility: A Continuous-Time Framework,This paper presents a new approach to valuing private equity (PE) investments by developing analytical methods tailored to investors with quadratic utility preferences.
