Code,Mean,Phi,Sigma,MaxDD,MaxTuW
HFRIFOF Index,0.005516691367166500000,0.000000000000000000000,0.016969080717510800000,3.53%,25.60
HFRIFWI Index,0.008881850693399140000,0.000000000000000000000,0.020176780849583700000,3.10%,13.96
HFRIEHI Index,0.009858566386015100000,0.000000000000000000000,0.026444472338291600000,4.80%,19.47
HFRIMI Index,0.009527016221806050000,0.000000000000000000000,0.021496072996598700000,3.28%,13.77
HFRIFOFD Index,0.005179518246586470000,0.000000000000000000000,0.017416383855489400000,3.96%,30.59
HFRIDSI Index,0.009621101367844780000,0.000000000000000000000,0.018800338847083200000,2.48%,10.33
HFRIEMNI Index,0.005182009381734160000,0.000000000000000000000,0.009427888449207950000,1.16%,8.96
HFRIFOFC Index,0.004809118533094210000,0.000000000000000000000,0.011620459202777900000,1.90%,15.80
HFRIEDI Index,0.009536150764657030000,0.000000000000000000000,0.019247215538067400000,2.63%,11.02
HFRIMTI Index,0.008528045437000790000,0.000000000000000000000,0.021556689491055900000,3.69%,17.29
HFRIFIHY Index,0.007177975370341860000,0.000000000000000000000,0.017707745867933500000,2.95%,16.47
HFRIFI Index,0.006855375547311430000,0.000000000000000000000,0.012881752889827800000,1.64%,9.55
HFRIRVA Index,0.008020950765474370000,0.000000000000000000000,0.012975483377866400000,1.42%,7.08
HFRIMAI Index,0.007142081510296160000,0.000000000000000000000,0.010437016660524300000,1.03%,5.78
HFRICAI Index,0.007122015732660760000,0.000000000000000000000,0.019973857727664100000,3.79%,21.28
HFRIEM Index,0.010352033571750300000,0.000000000000000000000,0.041000177561682400000,10.98%,42.44
HFRIEMA Index,0.007989882312924720000,0.000000000000000000000,0.038243416204339200000,12.38%,61.99
HFRISHSE Index,-0.001675503423652880000,0.000000000000000000000,0.053512968079310300000,--,--
HFRIEMLA Index,0.011074013129926700000,0.000000000000000000000,0.050849859649289200000,15.79%,57.05
HFRIFOFS Index,0.006834983292453600000,0.000000000000000000000,0.024799788165925300000,6.09%,35.62
HFRIENHI Index,0.010092318043771200000,0.000000000000000000000,0.036682513315190700000,9.02%,35.74
HFRIFWIG Index,0.009382896399268200000,0.000000000000000000000,0.035972196766393100000,9.33%,39.77
HFRIFOFM Index,0.005607926305152390000,0.000000000000000000000,0.015907088595098000000,3.05%,21.77
HFRIFWIC Index,0.008947104321866830000,0.000000000000000000000,0.039009600753474400000,11.50%,51.43
HFRIFWIJ Index,0.008423964908875820000,0.000000000000000000000,0.036297619978249200000,10.58%,50.23
HFRISTI Index,0.011075118367100300000,0.000000000000000000000,0.046441033071679100000,13.17%,47.57
