orden	md_file	score	pf	pp	rina
001	001_Relative_Performance_Strength_Strategy.md	363.58	2.24	64.79%	473.14
002	020_The_Engulfing_Candles_Strategy.md	167.0	1.67	No encontrado	No encontrado
003	012_The_Final_Thirty_Strategy.md	143.27	1.34	No encontrado	92.70
004	008_Put_Call_VRAO_Add-on_Strategy.md	120.78	No encontrado	60.29%	2.00
005	015_Normalized_VIX_Strategy.md	0.0	No encontrado	No encontrado	No encontrado
006	017_2_1_Moving_Average_Strategy.md	0.0	No encontrado	No encontrado	No encontrado
007	023_Market_Breadth_Gauge_Strategy.md	0.0	No encontrado	No encontrado	No encontrado
008	024_Pivot_Breakout_Strategy.md	0.0	No encontrado	No encontrado	No encontrado
009	026_Regression_Angles_Strategy.md	0.0	No encontrado	No encontrado	No encontrado
010	027_Breakout_Score_Strategy.md	0.0	No encontrado	No encontrado	No encontrado
011	030_VWAP_Bands_MR_Strategy.md	0.0	No encontrado	No encontrado	No encontrado
