position,candidate_export_dir,three_day_overview_image_path,event_day_premarket_detail_image_path,event_day_detail_until_1600_ny_image_path,daily_context_image_path,candidate_id,ticker,session_date,visible_maxpush_pct,pm_open_to_first_push_high_pct,pm_open_to_momentum_trigger_pct,prior_close_to_momentum_trigger_pct,pm_open_to_scanner_pct,prior_close_to_scanner_pct,pm_open_to_premarket_extension_high_pct,prior_close_to_premarket_extension_high_pct,pm_open_to_max_high_after_trigger_pct,scanner_to_max_high_pct,max_push_pct_after_trigger,das_state,first_dip_depth_pct,first_rebreak_type,first_rebreak_ts_et,first_green_wick_dip_ts_et,first_green_wick_dip_depth_pct,first_green_wick_dip_type
1,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0001_SYRA_2024-02-08_push543.33_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0001_SYRA_2024-02-08_push543.33_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0001_SYRA_2024-02-08_push543.33_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0001_SYRA_2024-02-08_push543.33_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0001_SYRA_2024-02-08_push543.33_rebreak\05_daily_context.png,das_scanner_appearance:SYRA:2024-02-08T14:03:00+00:00,SYRA,2024-02-08,543.3333,543.3333,66.66666666666667,80.03420649923486,337.5,372.5897920604915,716.6666666666667,782.1676118462508,716.6667,86.6667,86.6667,rebreak_confirmed,19.0415,ascending_flag_break,2024-02-08 09:09:00 EST,2024-02-08 09:20:00 EST,8.046,green_wick_dip_new_high
2,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0002_SRXH_2025-12-16_push525.88_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0002_SRXH_2025-12-16_push525.88_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0002_SRXH_2025-12-16_push525.88_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0002_SRXH_2025-12-16_push525.88_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0002_SRXH_2025-12-16_push525.88_rebreak\05_daily_context.png,das_scanner_appearance:SRXH:2025-12-16T13:30:00+00:00,SRXH,2025-12-16,525.884,525.884,525.884016973126,496.5621840242669,180.7284,167.57667677789013,525.884016973126,496.5621840242669,525.884,122.95,122.95,rebreak_confirmed,60.452,vwap_reclaim_rebreak,2025-12-16 08:38:00 EST,2025-12-16 08:39:00 EST,6.6667,green_wick_dip_new_high
3,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0003_SONN_2025-07-14_push476.62_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0003_SONN_2025-07-14_push476.62_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0003_SONN_2025-07-14_push476.62_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0003_SONN_2025-07-14_push476.62_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0003_SONN_2025-07-14_push476.62_rebreak\05_daily_context.png,das_scanner_appearance:SONN:2025-07-14T10:02:00+00:00,SONN,2025-07-14,476.616,476.616,69.20152091254754,80.16194331983804,135.7414,151.01214574898785,476.6159695817491,513.9676113360323,476.616,144.5968,144.5968,rebreak_confirmed,44.0158,last_red_high_break,2025-07-14 06:06:00 EDT,2025-07-14 06:07:00 EDT,1.799,green_wick_dip_new_high
4,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0004_MSS_2025-09-29_push464.70_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0004_MSS_2025-09-29_push464.70_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0004_MSS_2025-09-29_push464.70_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0004_MSS_2025-09-29_push464.70_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0004_MSS_2025-09-29_push464.70_rebreak\05_daily_context.png,das_scanner_appearance:MSS:2025-09-29T12:30:00+00:00,MSS,2025-09-29,464.7034,464.7034,239.87755963690103,242.48032333546058,193.4347,195.68176983620504,583.9772007599746,589.2150606253989,583.9772,133.0935,133.0935,rebreak_confirmed,27.6636,vwap_reclaim_rebreak,2025-09-29 08:40:00 EDT,2025-09-29 08:41:00 EDT,1.31,green_wick_dip_new_high
5,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0005_MWYN_2025-09-10_push430.50_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0005_MWYN_2025-09-10_push430.50_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0005_MWYN_2025-09-10_push430.50_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0005_MWYN_2025-09-10_push430.50_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0005_MWYN_2025-09-10_push430.50_rebreak\05_daily_context.png,das_scanner_appearance:MWYN:2025-09-10T08:14:00+00:00,MWYN,2025-09-10,430.504,430.504,65.78249336870026,74.43888824281893,58.046,66.29840679148738,480.238726790451,510.5361088498663,480.2387,267.1329,267.1329,rebreak_confirmed,56.25,vwap_reclaim_rebreak,2025-09-10 04:47:00 EDT,2025-09-10 04:49:00 EDT,10.101,green_wick_dip_reactivation
6,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0006_CAMP_2025-09-10_push304.37_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0006_CAMP_2025-09-10_push304.37_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0006_CAMP_2025-09-10_push304.37_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0006_CAMP_2025-09-10_push304.37_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0006_CAMP_2025-09-10_push304.37_rebreak\05_daily_context.png,das_scanner_appearance:CAMP:2025-09-10T11:01:00+00:00,CAMP,2025-09-10,304.3716,304.3716,169.94535519125685,150.761421319797,226.2295,203.0456852791878,304.37158469945354,275.6345177664975,304.3716,23.9531,23.9531,rebreak_confirmed,45.0,vwap_reclaim_rebreak,2025-09-10 07:05:00 EDT,2025-09-10 07:06:00 EDT,10.3715,green_wick_dip_new_high
7,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0007_INM_2024-08-20_push231.75_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0007_INM_2024-08-20_push231.75_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0007_INM_2024-08-20_push231.75_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0007_INM_2024-08-20_push231.75_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0007_INM_2024-08-20_push231.75_rebreak\05_daily_context.png,das_scanner_appearance:INM:2024-08-20T11:38:00+00:00,INM,2024-08-20,231.7536,231.7536,76.37102234258631,76.01351351351352,208.6662,208.04054054054055,541.8415707515234,540.5405405405405,541.8416,107.9403,107.9403,rebreak_confirmed,20.2041,ascending_flag_break,2024-08-20 07:44:00 EDT,2024-08-20 07:45:00 EDT,6.0188,green_wick_dip_new_high
8,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0008_HTOO_2025-07-22_push229.27_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0008_HTOO_2025-07-22_push229.27_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0008_HTOO_2025-07-22_push229.27_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0008_HTOO_2025-07-22_push229.27_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0008_HTOO_2025-07-22_push229.27_rebreak\05_daily_context.png,das_scanner_appearance:HTOO:2025-07-22T12:02:00+00:00,HTOO,2025-07-22,229.2725,229.2725,76.57657657657656,84.25381903642773,198.2005,211.16568742655696,242.56756756756755,257.4618096357227,242.5676,14.8783,14.8783,rebreak_confirmed,31.5991,vwap_reclaim_rebreak,2025-07-22 08:28:00 EDT,2025-07-22 08:30:00 EDT,2.842,green_wick_dip_new_high
9,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0009_DALN_2025-07-10_push213.21_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0009_DALN_2025-07-10_push213.21_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0009_DALN_2025-07-10_push213.21_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0009_DALN_2025-07-10_push213.21_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0009_DALN_2025-07-10_push213.21_rebreak\05_daily_context.png,das_scanner_appearance:DALN:2025-07-10T12:02:00+00:00,DALN,2025-07-10,213.205,213.205,212.75626423690207,212.75626423690207,194.3052,194.30523917995447,213.20501138952164,213.20501138952164,213.205,6.4218,6.4218,rebreak_confirmed,8.3616,ascending_flag_break,2025-07-10 08:06:00 EDT,2025-07-10 08:08:00 EDT,0.6002,green_wick_dip_reactivation
10,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0010_CJMB_2026-01-15_push209.48_rebreak,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0010_CJMB_2026-01-15_push209.48_rebreak\02_three_day_overview.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0010_CJMB_2026-01-15_push209.48_rebreak\03_event_day_premarket_detail.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0010_CJMB_2026-01-15_push209.48_rebreak\04_event_day_detail_until_1600_ny.png,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_details_grouped\0010_CJMB_2026-01-15_push209.48_rebreak\05_daily_context.png,das_scanner_appearance:CJMB:2026-01-15T13:46:00+00:00,CJMB,2026-01-15,209.4794,209.4794,95.0144141088689,105.33880903490756,169.6286,183.9032229265244,293.4203832457181,314.2487277921614,293.4204,45.9119,45.9119,rebreak_confirmed,21.3699,single_candle_rebreak,2026-01-15 08:48:00 EST,2026-01-15 08:55:00 EST,1.0067,green_wick_dip_new_high
