position,image_path,candidate_id,ticker,session_date,visible_maxpush_pct,pm_open_to_momentum_trigger_pct,pm_open_to_scanner_pct,pm_open_to_premarket_extension_high_pct,das_state,first_dip_depth_pct,first_rebreak_type,first_rebreak_ts_et
1,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0001_SYRA_2024-02-08_push543.33_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:SYRA:2024-02-08T14:03:00+00:00,SYRA,2024-02-08,543.3333,66.66666666666667,337.5,716.6666666666667,rebreak_confirmed,19.0415,ascending_flag_break,2024-02-08 09:09:00 EST
2,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0002_SRXH_2025-12-16_push525.88_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:SRXH:2025-12-16T13:30:00+00:00,SRXH,2025-12-16,525.884,525.884016973126,180.7284,525.884016973126,rebreak_confirmed,60.452,vwap_reclaim_rebreak,2025-12-16 08:38:00 EST
3,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0003_SONN_2025-07-14_push476.62_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:SONN:2025-07-14T10:02:00+00:00,SONN,2025-07-14,476.616,69.20152091254754,135.7414,476.6159695817491,rebreak_confirmed,44.0158,last_red_high_break,2025-07-14 06:06:00 EDT
4,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0004_MSS_2025-09-29_push464.70_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:MSS:2025-09-29T12:30:00+00:00,MSS,2025-09-29,464.7034,239.87755963690103,193.4347,583.9772007599746,rebreak_confirmed,27.6636,vwap_reclaim_rebreak,2025-09-29 08:40:00 EDT
5,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0005_MWYN_2025-09-10_push430.50_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:MWYN:2025-09-10T08:14:00+00:00,MWYN,2025-09-10,430.504,65.78249336870026,58.046,480.238726790451,rebreak_confirmed,56.25,vwap_reclaim_rebreak,2025-09-10 04:47:00 EDT
6,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0006_CAMP_2025-09-10_push304.37_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:CAMP:2025-09-10T11:01:00+00:00,CAMP,2025-09-10,304.3716,169.94535519125685,226.2295,304.37158469945354,rebreak_confirmed,45.0,vwap_reclaim_rebreak,2025-09-10 07:05:00 EDT
7,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0007_INM_2024-08-20_push231.75_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:INM:2024-08-20T11:38:00+00:00,INM,2024-08-20,231.7536,76.37102234258631,208.6662,541.8415707515234,rebreak_confirmed,20.2041,ascending_flag_break,2024-08-20 07:44:00 EDT
8,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0008_HTOO_2025-07-22_push229.27_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:HTOO:2025-07-22T12:02:00+00:00,HTOO,2025-07-22,229.2725,76.57657657657656,198.2005,242.56756756756755,rebreak_confirmed,31.5991,vwap_reclaim_rebreak,2025-07-22 08:28:00 EDT
9,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0009_DALN_2025-07-10_push213.21_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:DALN:2025-07-10T12:02:00+00:00,DALN,2025-07-10,213.205,212.75626423690207,194.3052,213.20501138952164,rebreak_confirmed,8.3616,ascending_flag_break,2025-07-10 08:06:00 EDT
10,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0010_CJMB_2026-01-15_push209.48_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:CJMB:2026-01-15T13:46:00+00:00,CJMB,2026-01-15,209.4794,95.0144141088689,169.6286,293.4203832457181,rebreak_confirmed,21.3699,single_candle_rebreak,2026-01-15 08:48:00 EST
