"File","Ticker","Date","Anchor","LegacyRelPath","CurrentRawDailyFileStatus","AvailableFoundationMonthPartition","AvailableFoundationMonthPartitionExists","CaseDateFilter"
"evidence\quotes_bad_cases_v0_1.md","DGLY","2011-10-06","dgly-2011-10-06","DGLY\year=2011\month=10\day=06\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2011\ticker=DGLY\month=10\part-000.parquet","True","2011-10-06"
"evidence\quotes_review_cases_v0_1.md","DNA","2008-02-01","dna-2008-02-01","DNA\year=2008\month=02\day=01\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2008\ticker=DNA\month=02\part-000.parquet","True","2008-02-01"
"evidence\quotes_review_cases_v0_1.md","MBI","2007-04-19","mbi-2007-04-19","MBI\year=2007\month=04\day=19\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2007\ticker=MBI\month=04\part-000.parquet","True","2007-04-19"
"evidence\quotes_review_cases_v0_1.md","MTRX","2007-06-28","mtrx-2007-06-28","MTRX\year=2007\month=06\day=28\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2007\ticker=MTRX\month=06\part-000.parquet","True","2007-06-28"
"evidence\quotes_review_cases_v0_1.md","PD","2006-05-26","pd-2006-05-26","PD\year=2006\month=05\day=26\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2006\ticker=PD\month=05\part-000.parquet","True","2006-05-26"
"evidence\quotes_review_cases_v0_1.md","PLAY","2006-02-14","play-2006-02-14","PLAY\year=2006\month=02\day=14\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2006\ticker=PLAY\month=02\part-000.parquet","True","2006-02-14"
"evidence\quotes_review_cases_v0_1.md","RRGB","2012-07-23","rrgb-2012-07-23","RRGB\year=2012\month=07\day=23\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2012\ticker=RRGB\month=07\part-000.parquet","True","2012-07-23"
"evidence\quotes_bad_cases_v0_1.md","SELF","2016-06-28","self-2016-06-28","SELF\year=2016\month=06\day=28\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2016\ticker=SELF\month=06\part-000.parquet","True","2016-06-28"
"evidence\quotes_review_cases_v0_1.md","SOL","2008-07-17","sol-2008-07-17","SOL\year=2008\month=07\day=17\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2008\ticker=SOL\month=07\part-000.parquet","True","2008-07-17"
"evidence\quotes_review_cases_v0_1.md","SPWR","2008-09-09","spwr-2008-09-09","SPWR\year=2008\month=09\day=09\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2008\ticker=SPWR\month=09\part-000.parquet","True","2008-09-09"
"evidence\quotes_review_cases_v0_1.md","SSRI","2006-09-20","ssri-2006-09-20","SSRI\year=2006\month=09\day=20\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2006\ticker=SSRI\month=09\part-000.parquet","True","2006-09-20"
"evidence\quotes_bad_cases_v0_1.md","TAT","2009-12-30","tat-2009-12-30","TAT\year=2009\month=12\day=30\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2009\ticker=TAT\month=12\part-000.parquet","True","2009-12-30"
"evidence\quotes_review_cases_v0_1.md","TG","2008-01-07","tg-2008-01-07","TG\year=2008\month=01\day=07\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2008\ticker=TG\month=01\part-000.parquet","True","2008-01-07"
"evidence\quotes_good_cases_v0_1.md","TOF","2010-08-16","tof-2010-08-16","TOF\year=2010\month=08\day=16\quotes.parquet","not_available_locally","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\year=2010\ticker=TOF\month=08\part-000.parquet","True","2010-08-16"
