run_id,market_date,ticker,symbol,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,conditions,indicators,participant_timestamp,sequence_number,timestamp,trf_timestamp,tape,source_time_et,observed_at_utc,last_price,session_volume,session_high,session_low,session_open,prev_close,today_close,vwap,trades_all_day,relative_volume,year,month,day,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,SOXS,SOXS,,4.53,25,,4.52,23,,,,,2026-07-08T19:37:45Z,,A,15:37:45,2026-07-08T19:37:46+00:00,4.5202,797308375,4.99,4.46,4.98,4.8,0,4.772,472155,143,2026,7,8,1,SB SOXS Lv1,screener_lv1,$Quote SOXS A:4.53 Asz:25 B:4.52 Bsz:23 V:797308375 L:4.5202 Hi:4.99 Lo:4.46 op:4.98 ycl:4.8 tcl:0 PE:A VWAP:4.772 tradesAllDay:472155 RVOL:143 T:15:37:45
das_cmdapi_live_20260708T193719Z,2026-07-08,SOXS,SOXS,,4.53,25,,4.52,23,,,,,2026-07-08T19:37:45Z,,A,15:37:45,2026-07-08T19:37:46+00:00,4.5201,797308572,4.99,4.46,4.98,4.8,0,4.772,472156,143,2026,7,8,2,SB SOXS Lv1,screener_lv1,$Quote SOXS A:4.53 Asz:25 B:4.52 Bsz:23 V:797308572 L:4.5201 Hi:4.99 Lo:4.46 op:4.98 ycl:4.8 tcl:0 PE:A VWAP:4.772 tradesAllDay:472156 RVOL:143 T:15:37:45
das_cmdapi_live_20260708T193719Z,2026-07-08,EDBL,EDBL,,0.1194,395,,0.1194,1,,,,,2026-07-08T19:37:30Z,,Q,15:37:30,2026-07-08T19:37:48+00:00,0.1194,459424758,0.151,0.1038,0.1312,0.0877,0,0.13877,350449,2453,2026,7,8,0,SB EDBL Lv1,screener_lv1,$Quote EDBL A:0.1194 Asz:395 B:0.1194 Bsz:1 V:459424758 L:0.1194 Hi:0.151 Lo:0.1038 op:0.1312 ycl:0.0877 tcl:0 PE:Q VWAP:0.13877 tradesAllDay:350449 RVOL:2453 T:15:37:30
das_cmdapi_live_20260708T193719Z,2026-07-08,AAL,AAL,,16.58,173,,16.57,119,,,,,2026-07-08T19:37:50Z,,Q,15:37:50,2026-07-08T19:37:51+00:00,16.5797,159668936,16.91,16.11,16.835,17.2,0,16.452,189324,123,2026,7,8,0,SB AAL Lv1,screener_lv1,$Quote AAL A:16.58 Asz:173 B:16.57 Bsz:119 V:159668936 L:16.5797 Hi:16.91 Lo:16.11 op:16.835 ycl:17.2 tcl:0 PE:Q VWAP:16.452 tradesAllDay:189324 RVOL:123 T:15:37:50
das_cmdapi_live_20260708T193719Z,2026-07-08,AAL,AAL,,16.58,173,,16.57,119,,,,,2026-07-08T19:37:50Z,,Q,15:37:50,2026-07-08T19:37:51+00:00,16.58,159679536,16.91,16.11,16.835,17.2,0,16.452,189327,123,2026,7,8,2,SB AAL Lv1,screener_lv1,$Quote AAL A:16.58 Asz:173 B:16.57 Bsz:119 V:159679536 L:16.58 Hi:16.91 Lo:16.11 op:16.835 ycl:17.2 tcl:0 PE:Q VWAP:16.452 tradesAllDay:189327 RVOL:123 T:15:37:50
das_cmdapi_live_20260708T193719Z,2026-07-08,AAL,AAL,,16.58,173,,16.57,119,,,,,2026-07-08T19:37:50Z,,Q,15:37:50,2026-07-08T19:37:51+00:00,16.575,159689036,16.91,16.11,16.835,17.2,0,16.452,189328,123,2026,7,8,3,SB AAL Lv1,screener_lv1,$Quote AAL A:16.58 Asz:173 B:16.57 Bsz:119 V:159689036 L:16.575 Hi:16.91 Lo:16.11 op:16.835 ycl:17.2 tcl:0 PE:Q VWAP:16.452 tradesAllDay:189328 RVOL:123 T:15:37:50
das_cmdapi_live_20260708T193719Z,2026-07-08,AAL,AAL,,16.58,173,,16.57,87,,,,,2026-07-08T19:37:51Z,,Q,15:37:51,2026-07-08T19:37:52+00:00,16.57,159689736,16.91,16.11,16.835,17.2,0,16.452,189332,123,2026,7,8,0,UNSB AAL Lv1,screener_lv1,$Quote AAL A:16.58 Asz:173 B:16.57 Bsz:87 V:159689736 L:16.57 Hi:16.91 Lo:16.11 op:16.835 ycl:17.2 tcl:0 PE:Q VWAP:16.452 tradesAllDay:189332 RVOL:123 T:15:37:51
das_cmdapi_live_20260708T193719Z,2026-07-08,ONFO,ONFO,,0.2393,1,,0.2356,3,,,,,2026-07-08T19:37:51Z,,Q,15:37:51,2026-07-08T19:37:53+00:00,0.2363,135218085,0.5869,0.2222,0.5369,0.394,0,0.51648,291724,39506,2026,7,8,2,SB ONFO Lv1,screener_lv1,$Quote ONFO A:0.2393 Asz:1 B:0.2356 Bsz:3 V:135218085 L:0.2363 Hi:0.5869 Lo:0.2222 op:0.5369 ycl:0.394 tcl:0 PE:Q VWAP:0.51648 tradesAllDay:291724 RVOL:39506 T:15:37:51
das_cmdapi_live_20260708T193719Z,2026-07-08,ONFO,ONFO,,0.2393,1,,0.2356,3,,,,,2026-07-08T19:37:51Z,,Q,15:37:51,2026-07-08T19:37:53+00:00,0.237,135220085,0.5869,0.2222,0.5369,0.394,0,0.51648,291725,39504,2026,7,8,3,SB ONFO Lv1,screener_lv1,$Quote ONFO A:0.2393 Asz:1 B:0.2356 Bsz:3 V:135220085 L:0.237 Hi:0.5869 Lo:0.2222 op:0.5369 ycl:0.394 tcl:0 PE:Q VWAP:0.51648 tradesAllDay:291725 RVOL:39504 T:15:37:51
das_cmdapi_live_20260708T193719Z,2026-07-08,ONFO,ONFO,,0.2393,1,,0.2374,19,,,,,2026-07-08T19:37:53Z,,Q,15:37:53,2026-07-08T19:37:53+00:00,0.237,135220085,0.5869,0.2222,0.5369,0.394,0,0.51648,291725,39504,2026,7,8,4,SB ONFO Lv1,screener_lv1,$Quote ONFO A:0.2393 Asz:1 B:0.2374 Bsz:19 V:135220085 L:0.237 Hi:0.5869 Lo:0.2222 op:0.5369 ycl:0.394 tcl:0 PE:Q VWAP:0.51648 tradesAllDay:291725 RVOL:39504 T:15:37:53
