run_id,market_date,ticker,symbol,source_bar_time,date,ts_utc,year,month,o,h,l,c,v,vw,n,t,status_or_count,observed_at_utc,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:41,2026-07-08,2026-07-08T19:41:00Z,2026,7,3.69,3.7,3.68,3.69,13814,,,,1,2026-07-08T19:42:17+00:00,1,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:41 3.7 3.68 3.69 3.69 13814 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:40,2026-07-08,2026-07-08T19:40:00Z,2026,7,3.695,3.7,3.68,3.68,9848,,,,1,2026-07-08T19:42:17+00:00,2,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:40 3.7 3.68 3.695 3.68 9848 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:39,2026-07-08,2026-07-08T19:39:00Z,2026,7,3.7,3.72,3.69,3.69,14283,,,,1,2026-07-08T19:42:17+00:00,3,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:39 3.72 3.69 3.7 3.69 14283 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:38,2026-07-08,2026-07-08T19:38:00Z,2026,7,3.7,3.72,3.68,3.71,22737,,,,1,2026-07-08T19:42:17+00:00,4,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:38 3.72 3.68 3.7 3.71 22737 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:37,2026-07-08,2026-07-08T19:37:00Z,2026,7,3.6974,3.71,3.6701,3.685,15955,,,,1,2026-07-08T19:42:17+00:00,5,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:37 3.71 3.6701 3.6974 3.685 15955 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:36,2026-07-08,2026-07-08T19:36:00Z,2026,7,3.7,3.7499,3.69,3.722,6111,,,,1,2026-07-08T19:42:17+00:00,6,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:36 3.7499 3.69 3.7 3.722 6111 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:35,2026-07-08,2026-07-08T19:35:00Z,2026,7,3.71,3.71,3.69,3.69,10800,,,,1,2026-07-08T19:42:17+00:00,7,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:35 3.71 3.69 3.71 3.69 10800 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:34,2026-07-08,2026-07-08T19:34:00Z,2026,7,3.73,3.73,3.7002,3.7002,9057,,,,1,2026-07-08T19:42:17+00:00,8,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:34 3.73 3.7002 3.73 3.7002 9057 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:33,2026-07-08,2026-07-08T19:33:00Z,2026,7,3.7679,3.77,3.7001,3.7298,49127,,,,1,2026-07-08T19:42:17+00:00,9,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:33 3.77 3.7001 3.7679 3.7298 49127 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:32,2026-07-08,2026-07-08T19:32:00Z,2026,7,3.73,3.8,3.73,3.7532,43173,,,,1,2026-07-08T19:42:17+00:00,10,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:32 3.8 3.73 3.73 3.7532 43173 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:31,2026-07-08,2026-07-08T19:31:00Z,2026,7,3.68,3.73,3.67,3.72,17719,,,,1,2026-07-08T19:42:17+00:00,11,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:31 3.73 3.67 3.68 3.72 17719 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:30,2026-07-08,2026-07-08T19:30:00Z,2026,7,3.64,3.67,3.64,3.67,13503,,,,1,2026-07-08T19:42:17+00:00,12,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:30 3.67 3.64 3.64 3.67 13503 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:29,2026-07-08,2026-07-08T19:29:00Z,2026,7,3.655,3.66,3.63,3.64,44575,,,,1,2026-07-08T19:42:17+00:00,13,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:29 3.66 3.63 3.655 3.64 44575 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:28,2026-07-08,2026-07-08T19:28:00Z,2026,7,3.67,3.6899,3.65,3.655,15671,,,,1,2026-07-08T19:42:17+00:00,14,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:28 3.6899 3.65 3.67 3.655 15671 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:27,2026-07-08,2026-07-08T19:27:00Z,2026,7,3.7058,3.7058,3.6701,3.6736,4370,,,,1,2026-07-08T19:42:17+00:00,15,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:27 3.7058 3.6701 3.7058 3.6736 4370 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:26,2026-07-08,2026-07-08T19:26:00Z,2026,7,3.7699,3.7699,3.67,3.6963,25722,,,,1,2026-07-08T19:42:17+00:00,16,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:26 3.7699 3.67 3.7699 3.6963 25722 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:25,2026-07-08,2026-07-08T19:25:00Z,2026,7,3.725,3.74,3.715,3.74,17217,,,,1,2026-07-08T19:42:17+00:00,17,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:25 3.74 3.715 3.725 3.74 17217 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:24,2026-07-08,2026-07-08T19:24:00Z,2026,7,3.72,3.74,3.71,3.72,8511,,,,1,2026-07-08T19:42:17+00:00,18,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:24 3.74 3.71 3.72 3.72 8511 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:23,2026-07-08,2026-07-08T19:23:00Z,2026,7,3.7,3.74,3.67,3.725,19030,,,,1,2026-07-08T19:42:17+00:00,19,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:23 3.74 3.67 3.7 3.725 19030 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:22,2026-07-08,2026-07-08T19:22:00Z,2026,7,3.72,3.72,3.705,3.71,8791,,,,1,2026-07-08T19:42:17+00:00,20,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:22 3.72 3.705 3.72 3.71 8791 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:21,2026-07-08,2026-07-08T19:21:00Z,2026,7,3.69,3.72,3.68,3.71,5150,,,,1,2026-07-08T19:42:17+00:00,21,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:21 3.72 3.68 3.69 3.71 5150 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:20,2026-07-08,2026-07-08T19:20:00Z,2026,7,3.67,3.7,3.67,3.7,4964,,,,1,2026-07-08T19:42:17+00:00,22,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:20 3.7 3.67 3.67 3.7 4964 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:19,2026-07-08,2026-07-08T19:19:00Z,2026,7,3.685,3.6944,3.67,3.6704,3610,,,,1,2026-07-08T19:42:17+00:00,23,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:19 3.6944 3.67 3.685 3.6704 3610 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:18,2026-07-08,2026-07-08T19:18:00Z,2026,7,3.67,3.69,3.6547,3.677,18486,,,,1,2026-07-08T19:42:17+00:00,24,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:18 3.69 3.6547 3.67 3.677 18486 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:17,2026-07-08,2026-07-08T19:17:00Z,2026,7,3.73,3.75,3.63,3.665,62719,,,,1,2026-07-08T19:42:17+00:00,25,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:17 3.75 3.63 3.73 3.665 62719 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:16,2026-07-08,2026-07-08T19:16:00Z,2026,7,3.76,3.78,3.73,3.7314,30958,,,,1,2026-07-08T19:42:17+00:00,26,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:16 3.78 3.73 3.76 3.7314 30958 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:15,2026-07-08,2026-07-08T19:15:00Z,2026,7,3.7403,3.76,3.73,3.7496,20342,,,,1,2026-07-08T19:42:17+00:00,27,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:15 3.76 3.73 3.7403 3.7496 20342 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:14,2026-07-08,2026-07-08T19:14:00Z,2026,7,3.715,3.7699,3.7,3.75,28746,,,,1,2026-07-08T19:42:17+00:00,28,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:14 3.7699 3.7 3.715 3.75 28746 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:13,2026-07-08,2026-07-08T19:13:00Z,2026,7,3.715,3.73,3.7,3.7165,6020,,,,1,2026-07-08T19:42:17+00:00,29,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:13 3.73 3.7 3.715 3.7165 6020 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:12,2026-07-08,2026-07-08T19:12:00Z,2026,7,3.71,3.72,3.7,3.72,13719,,,,1,2026-07-08T19:42:17+00:00,30,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:12 3.72 3.7 3.71 3.72 13719 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:11,2026-07-08,2026-07-08T19:11:00Z,2026,7,3.715,3.73,3.69,3.73,5773,,,,1,2026-07-08T19:42:17+00:00,31,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:11 3.73 3.69 3.715 3.73 5773 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:10,2026-07-08,2026-07-08T19:10:00Z,2026,7,3.71,3.73,3.7,3.7228,3918,,,,1,2026-07-08T19:42:17+00:00,32,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:10 3.73 3.7 3.71 3.7228 3918 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:09,2026-07-08,2026-07-08T19:09:00Z,2026,7,3.7199,3.72,3.7,3.7099,11728,,,,1,2026-07-08T19:42:17+00:00,33,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:09 3.72 3.7 3.7199 3.7099 11728 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:08,2026-07-08,2026-07-08T19:08:00Z,2026,7,3.7014,3.74,3.7,3.72,16789,,,,1,2026-07-08T19:42:17+00:00,34,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:08 3.74 3.7 3.7014 3.72 16789 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:07,2026-07-08,2026-07-08T19:07:00Z,2026,7,3.7005,3.72,3.695,3.7077,19094,,,,1,2026-07-08T19:42:17+00:00,35,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:07 3.72 3.695 3.7005 3.7077 19094 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:06,2026-07-08,2026-07-08T19:06:00Z,2026,7,3.725,3.7354,3.68,3.72,47476,,,,1,2026-07-08T19:42:17+00:00,36,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:06 3.7354 3.68 3.725 3.72 47476 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:05,2026-07-08,2026-07-08T19:05:00Z,2026,7,3.75,3.75,3.71,3.725,36702,,,,1,2026-07-08T19:42:17+00:00,37,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:05 3.75 3.71 3.75 3.725 36702 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:04,2026-07-08,2026-07-08T19:04:00Z,2026,7,3.79,3.79,3.74,3.7594,24906,,,,1,2026-07-08T19:42:17+00:00,38,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:04 3.79 3.74 3.79 3.7594 24906 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:03,2026-07-08,2026-07-08T19:03:00Z,2026,7,3.81,3.82,3.77,3.79,30785,,,,1,2026-07-08T19:42:17+00:00,39,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:03 3.82 3.77 3.81 3.79 30785 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:02,2026-07-08,2026-07-08T19:02:00Z,2026,7,3.7799,3.84,3.76,3.82,80040,,,,1,2026-07-08T19:42:17+00:00,40,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:02 3.84 3.76 3.7799 3.82 80040 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:01,2026-07-08,2026-07-08T19:01:00Z,2026,7,3.779,3.78,3.74,3.77,36144,,,,1,2026-07-08T19:42:17+00:00,41,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:01 3.78 3.74 3.779 3.77 36144 1
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2026/07/08-15:00,2026-07-08,2026-07-08T19:00:00Z,2026,7,3.71,3.79,3.71,3.78,51820,,,,1,2026-07-08T19:42:17+00:00,42,SB SKYQ MINCHART 2026/07/08-14:41 2026/07/08-15:41 1,candidate_chart_query,$Bar SKYQ 2026/07/08-15:00 3.79 3.71 3.71 3.78 51820 1
