ticker,ts_utc,date,year,month,o,h,l,c,v,vw,n,t,run_id,market_date,source
BBLG,2026-07-08T19:42:00Z,2026-07-08,2026,7,1.29,1.32,1.29,1.32,2091,1.3019320899091344,22,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T19:43:00Z,2026-07-08,2026,7,1.31,1.3186,1.302,1.302,692,1.3098736994219655,6,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T19:45:00Z,2026-07-08,2026,7,1.3099,1.3099,1.3099,1.3099,300,1.3099,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T19:47:00Z,2026-07-08,2026,7,1.305,1.305,1.305,1.305,50,1.305,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T19:50:00Z,2026-07-08,2026,7,1.31,1.31,1.3001,1.3001,250,1.3060399999999999,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T19:55:00Z,2026-07-08,2026,7,1.31,1.31,1.29,1.29,7628,1.309792868379654,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T19:58:00Z,2026-07-08,2026,7,1.32,1.32,1.32,1.32,407,1.32,6,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T19:59:00Z,2026-07-08,2026,7,1.32,1.33,1.3,1.32,4602,1.307703172533681,21,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T20:00:00Z,2026-07-08,2026,7,1.34,1.34,1.34,1.34,2980,1.34,2,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BBLG,2026-07-08T20:04:00Z,2026-07-08,2026,7,1.34,1.34,1.34,1.34,1,1.34,1,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BJDX,2026-07-08T19:45:00Z,2026-07-08,2026,7,1.31,1.31,1.29,1.3,128,1.306015625,4,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BJDX,2026-07-08T19:46:00Z,2026-07-08,2026,7,1.3,1.3,1.285,1.289,259,1.293825482625483,11,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BJDX,2026-07-08T19:47:00Z,2026-07-08,2026,7,1.285,1.29,1.2801,1.285,389,1.2869401028277634,8,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BJDX,2026-07-08T19:48:00Z,2026-07-08,2026,7,1.29,1.29,1.285,1.29,408,1.287549019607843,4,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
BJDX,2026-07-08T19:49:00Z,2026-07-08,2026,7,1.29,1.29,1.28,1.2899,7930,1.2872778436317782,10,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
