run_id,market_date,ticker,symbol,limit_down,limit_up,observed_at_utc,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,SOXS,SOXS,3.16,5.88,2026-07-08T19:37:46+00:00,0,SB SOXS Lv1,screener_lv1,$LDLU SOXS 3.16 5.88
das_cmdapi_live_20260708T193719Z,2026-07-08,EDBL,EDBL,0.0,0.3,2026-07-08T19:37:48+00:00,1,SB EDBL Lv1,screener_lv1,$LDLU EDBL 0 0.3
das_cmdapi_live_20260708T193719Z,2026-07-08,AAL,AAL,14.88,18.19,2026-07-08T19:37:51+00:00,1,SB AAL Lv1,screener_lv1,$LDLU AAL 14.88 18.19
das_cmdapi_live_20260708T193719Z,2026-07-08,ONFO,ONFO,0.0,0.54,2026-07-08T19:37:53+00:00,0,SB ONFO Lv1,screener_lv1,$LDLU ONFO 0 0.54
das_cmdapi_live_20260708T193719Z,2026-07-08,NVDA,NVDA,183.09,223.77,2026-07-08T19:37:56+00:00,1,SB NVDA Lv1,screener_lv1,$LDLU NVDA 183.09 223.77
das_cmdapi_live_20260708T193719Z,2026-07-08,OPEN,OPEN,4.32,5.28,2026-07-08T19:37:58+00:00,1,SB OPEN Lv1,screener_lv1,$LDLU OPEN 4.32 5.28
das_cmdapi_live_20260708T193719Z,2026-07-08,RIVN,RIVN,14.96,18.29,2026-07-08T19:38:00+00:00,1,SB RIVN Lv1,screener_lv1,$LDLU RIVN 14.96 18.29
das_cmdapi_live_20260708T193719Z,2026-07-08,INTC,INTC,97.09,118.67,2026-07-08T19:38:03+00:00,1,SB INTC Lv1,screener_lv1,$LDLU INTC 97.09 118.67
das_cmdapi_live_20260708T193719Z,2026-07-08,SOFI,SOFI,15.76,19.26,2026-07-08T19:38:05+00:00,1,SB SOFI Lv1,screener_lv1,$LDLU SOFI 15.76 19.26
das_cmdapi_live_20260708T193719Z,2026-07-08,BIYA,BIYA,0.25,0.85,2026-07-08T19:38:08+00:00,1,SB BIYA Lv1,screener_lv1,$LDLU BIYA 0.25 0.85
das_cmdapi_live_20260708T193719Z,2026-07-08,NVD,NVD,3.99,5.98,2026-07-08T19:38:10+00:00,1,SB NVD Lv1,screener_lv1,$LDLU NVD 3.99 5.98
das_cmdapi_live_20260708T193719Z,2026-07-08,CPOP,CPOP,0.0,0.17,2026-07-08T19:38:13+00:00,1,SB CPOP Lv1,screener_lv1,$LDLU CPOP 0 0.17
das_cmdapi_live_20260708T193719Z,2026-07-08,TQQQ,TQQQ,50.62,94.01,2026-07-08T19:38:15+00:00,1,SB TQQQ Lv1,screener_lv1,$LDLU TQQQ 50.62 94.01
das_cmdapi_live_20260708T193719Z,2026-07-08,SQQQ,SQQQ,28.19,52.35,2026-07-08T19:38:18+00:00,1,SB SQQQ Lv1,screener_lv1,$LDLU SQQQ 28.19 52.35
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2.97,4.45,2026-07-08T19:38:20+00:00,1,SB SKYQ Lv1,screener_lv1,$LDLU SKYQ 2.97 4.45
das_cmdapi_live_20260708T193719Z,2026-07-08,ONDS,ONDS,6.71,8.2,2026-07-08T19:38:22+00:00,1,SB ONDS Lv1,screener_lv1,$LDLU ONDS 6.71 8.2
das_cmdapi_live_20260708T193719Z,2026-07-08,VIVK,VIVK,0.03,0.63,2026-07-08T19:38:25+00:00,1,SB VIVK Lv1,screener_lv1,$LDLU VIVK 0.03 0.63
das_cmdapi_live_20260708T193719Z,2026-07-08,SPCX,SPCX,131.84,161.14,2026-07-08T19:38:27+00:00,1,SB SPCX Lv1,screener_lv1,$LDLU SPCX 131.84 161.14
das_cmdapi_live_20260708T193719Z,2026-07-08,YHC,YHC,0.0,0.09,2026-07-08T19:38:32+00:00,1,SB YHC Lv1,screener_lv1,$LDLU YHC 0 0.09
das_cmdapi_live_20260708T193719Z,2026-07-08,CAN,CAN,0.03,0.63,2026-07-08T19:38:34+00:00,1,SB CAN Lv1,screener_lv1,$LDLU CAN 0.03 0.63
das_cmdapi_live_20260708T193719Z,2026-07-08,CEPL,CEPL,10.21,12.48,2026-07-08T19:38:37+00:00,1,SB CEPL Lv1,screener_lv1,$LDLU CEPL 10.21 12.48
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,8.09,9.89,2026-07-08T19:38:39+00:00,1,SB NVVE Lv1,screener_lv1,$LDLU NVVE 8.09 9.89
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,4.5,5.5,2026-07-08T19:38:42+00:00,1,SB TVRD Lv1,screener_lv1,$LDLU TVRD 4.5 5.5
das_cmdapi_live_20260708T193719Z,2026-07-08,FRTT,FRTT,0.74,1.73,2026-07-08T19:38:47+00:00,1,SB FRTT Lv1,screener_lv1,$LDLU FRTT 0.74 1.73
das_cmdapi_live_20260708T193719Z,2026-07-08,ELTX,ELTX,2.14,4.99,2026-07-08T19:38:49+00:00,1,SB ELTX Lv1,screener_lv1,$LDLU ELTX 2.14 4.99
das_cmdapi_live_20260708T193719Z,2026-07-08,PENG,PENG,70.81,86.55,2026-07-08T19:38:51+00:00,1,SB PENG Lv1,screener_lv1,$LDLU PENG 70.81 86.55
das_cmdapi_live_20260708T193719Z,2026-07-08,BABU,BABU,7.67,11.51,2026-07-08T19:38:54+00:00,1,SB BABU Lv1,screener_lv1,$LDLU BABU 7.67 11.51
das_cmdapi_live_20260708T193719Z,2026-07-08,LHAI,LHAI,0.95,2.22,2026-07-08T19:38:56+00:00,1,SB LHAI Lv1,screener_lv1,$LDLU LHAI 0.95 2.22
das_cmdapi_live_20260708T193719Z,2026-07-08,BABX,BABX,14.12,21.19,2026-07-08T19:38:59+00:00,1,SB BABX Lv1,screener_lv1,$LDLU BABX 14.12 21.19
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.61,3.76,2026-07-08T19:39:01+00:00,1,SB ZCMD Lv1,screener_lv1,$LDLU ZCMD 1.61 3.76
das_cmdapi_live_20260708T193719Z,2026-07-08,ZTG,ZTG,1.67,3.89,2026-07-08T19:39:03+00:00,1,SB ZTG Lv1,screener_lv1,$LDLU ZTG 1.67 3.89
das_cmdapi_live_20260708T193719Z,2026-07-08,NBIL,NBIL,25.61,38.41,2026-07-08T19:39:06+00:00,1,SB NBIL Lv1,screener_lv1,$LDLU NBIL 25.61 38.41
das_cmdapi_live_20260708T193719Z,2026-07-08,NBIG,NBIG,17.88,26.82,2026-07-08T19:39:08+00:00,1,SB NBIG Lv1,screener_lv1,$LDLU NBIG 17.88 26.82
das_cmdapi_live_20260708T193719Z,2026-07-08,SILO,SILO,6.05,7.4,2026-07-08T19:39:11+00:00,1,SB SILO Lv1,screener_lv1,$LDLU SILO 6.05 7.4
das_cmdapi_live_20260708T193719Z,2026-07-08,TC,TC,1.46,3.4,2026-07-08T19:39:13+00:00,1,SB TC Lv1,screener_lv1,$LDLU TC 1.46 3.4
das_cmdapi_live_20260708T193719Z,2026-07-08,VANI,VANI,0.94,2.2,2026-07-08T19:39:15+00:00,0,SB VANI Lv1,screener_lv1,$LDLU VANI 0.94 2.2
das_cmdapi_live_20260708T193719Z,2026-07-08,TCRX,TCRX,0.74,1.73,2026-07-08T19:39:18+00:00,1,SB TCRX Lv1,screener_lv1,$LDLU TCRX 0.74 1.73
das_cmdapi_live_20260708T193719Z,2026-07-08,ANEL,ANEL,18.58,27.87,2026-07-08T19:39:20+00:00,1,SB ANEL Lv1,screener_lv1,$LDLU ANEL 18.58 27.87
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,17.7,21.63,2026-07-08T19:39:23+00:00,1,SB SDOT Lv1,screener_lv1,$LDLU SDOT 17.7 21.63
das_cmdapi_live_20260708T193719Z,2026-07-08,CMMB,CMMB,1.12,2.62,2026-07-08T19:39:25+00:00,1,SB CMMB Lv1,screener_lv1,$LDLU CMMB 1.12 2.62
das_cmdapi_live_20260708T193719Z,2026-07-08,INLF,INLF,3.57,4.36,2026-07-08T19:39:28+00:00,1,SB INLF Lv1,screener_lv1,$LDLU INLF 3.57 4.36
das_cmdapi_live_20260708T193719Z,2026-07-08,CLRO,CLRO,8.96,10.95,2026-07-08T19:39:30+00:00,0,SB CLRO Lv1,screener_lv1,$LDLU CLRO 8.96 10.95
das_cmdapi_live_20260708T193719Z,2026-07-08,TDTH,TDTH,1.14,2.66,2026-07-08T19:39:33+00:00,0,SB TDTH Lv1,screener_lv1,$LDLU TDTH 1.14 2.66
das_cmdapi_live_20260708T193719Z,2026-07-08,PLBL,PLBL,6.99,8.55,2026-07-08T19:39:35+00:00,0,SB PLBL Lv1,screener_lv1,$LDLU PLBL 6.99 8.55
das_cmdapi_live_20260708T193719Z,2026-07-08,BTAI,BTAI,0.48,1.11,2026-07-08T19:39:37+00:00,0,SB BTAI Lv1,screener_lv1,$LDLU BTAI 0.48 1.11
das_cmdapi_live_20260708T193719Z,2026-07-08,VEEE,VEEE,4.01,4.9,2026-07-08T19:39:39+00:00,1,SB VEEE Lv1,screener_lv1,$LDLU VEEE 4.01 4.9
das_cmdapi_live_20260708T193719Z,2026-07-08,ZSQR,ZSQR,6.36,7.78,2026-07-08T19:39:42+00:00,1,SB ZSQR Lv1,screener_lv1,$LDLU ZSQR 6.36 7.78
