ticker,dividend_type,event_date,cash_amount,first_date,last_date,within_daily_window
AATC,SC,2024-02-02,1.32,2021-07-21,2026-03-06,True
ABIO,SC,2024-08-29,1.59,2009-01-28,2024-08-30,True
ABVC,SC,2013-09-16,0.292568,2021-08-03,2026-03-06,False
ABVC,SC,2012-06-22,0.024512,2021-08-03,2026-03-06,False
ABVC,SC,2009-09-16,0.720421,2021-08-03,2026-03-06,False
ABVC,SC,2009-07-06,0.414739,2021-08-03,2026-03-06,False
ABVC,SC,2007-03-22,0.08958,2021-08-03,2026-03-06,False
AC,SC,2024-10-21,2.0,2005-01-03,2025-09-04,True
ACIC,SC,2025-01-02,0.5,2020-12-18,2026-03-06,True
ACR,SC,2006-12-13,0.05,2005-01-03,2026-03-06,True
AFBI,SC,2025-03-13,1.5,2021-01-21,2026-03-06,True
AFCG,SC,2024-07-08,0.15,2021-03-19,2026-03-06,True
AGTC,SC,2007-09-06,0.01,2014-03-27,2022-11-30,False
AII,SC,2026-03-16,1.02,2005-01-03,2026-03-06,False
AIRS,SC,2022-08-25,0.41,2021-10-29,2026-03-06,True
AIV,SC,2026-02-27,1.45,2005-01-03,2026-03-06,True
AIV,SC,2025-10-16,2.23,2005-01-03,2026-03-06,True
AIV,SC,2025-01-14,0.6,2005-01-03,2026-03-06,True
AMC,SC,2006-11-28,1.4,2005-01-03,2026-03-06,True
AMC,SC,2005-10-27,0.3,2005-01-03,2026-03-06,True
AMSF,SC,2025-12-05,1.0,2005-11-18,2026-03-06,True
AMSF,SC,2024-12-06,3.0,2005-11-18,2026-03-06,True
AMSF,SC,2023-11-30,3.5,2005-11-18,2026-03-06,True
AMSF,SC,2022-12-01,4.0,2005-11-18,2026-03-06,True
BBCP,SC,2025-01-24,1.0,2018-12-07,2026-03-06,True
BBW,SC,2023-03-22,1.5,2005-01-03,2026-03-06,True
BCSF,SC,2025-12-31,0.15,2018-11-15,2026-03-06,True
BEBE,SC,2024-11-25,2.0,2005-01-03,2026-03-03,True
BFIN,SC,2015-08-10,0.04,2005-06-24,2025-12-31,True
BGSF,SC,2025-10-01,2.0,2014-11-17,2026-03-06,True
BKSC,SC,2006-12-27,0.1,2005-01-04,2026-03-06,True
BRBS,SC,2025-11-07,0.25,2019-12-24,2026-03-06,True
BSET,SC,2022-03-22,1.5,2005-01-03,2026-03-06,True
CAAS,SC,2024-07-30,0.8,2005-01-03,2026-03-06,True
CARM,SC,2023-03-08,0.36147078,2023-03-08,2026-03-06,True
CFFN,SC,2026-01-09,0.04,2005-01-03,2026-03-06,True
CFFN,SC,2022-11-17,0.28,2005-01-03,2026-03-06,True
CFFN,SC,2022-06-09,0.2,2005-01-03,2026-03-06,True
CGBD,SC,2022-12-29,0.08,2017-06-14,2026-03-06,True
CGBD,SC,2022-09-29,0.06,2017-06-14,2026-03-06,True
CGBD,SC,2022-06-29,0.08,2017-06-14,2026-03-06,True
CGRO,SC,2026-03-25,0.0831,2020-06-29,2026-03-06,False
CION,SC,2024-06-28,0.05,2021-10-05,2026-03-06,True
CION,SC,2023-12-21,0.15,2021-10-05,2026-03-06,True
CIX,SC,2025-08-18,1.0,2005-01-03,2026-03-06,True
CIX,SC,2024-08-19,2.0,2005-01-03,2026-03-06,True
CIX,SC,2022-08-19,1.75,2005-01-03,2026-03-06,True
CLDB,SC,2021-02-09,0.05,2019-03-08,2021-10-29,True
CLPS,SC,2024-11-04,0.13,2018-05-24,2026-03-06,True
CLPS,SC,2023-12-01,0.1,2018-05-24,2026-03-06,True
CLPS,SC,2022-12-28,0.05,2018-05-24,2026-03-06,True
CLRO,SC,2024-04-11,0.5,2007-08-14,2026-03-06,True
CLRO,SC,2023-06-01,1.0,2007-08-14,2026-03-06,True
CLWT,SC,2024-06-13,0.08,2005-01-03,2026-03-06,True
CLWT,SC,2022-06-10,0.06,2005-01-03,2026-03-06,True
CMO,SC,2021-10-12,0.014,2005-01-03,2021-10-18,True
CNNB,SC,2022-04-29,1.0,2020-01-23,2023-10-31,True
COHN,SC,2026-03-20,0.7,2009-12-17,2026-03-06,False
COHN,SC,2026-01-07,2.0,2009-12-17,2026-03-06,True
CRCT,SC,2025-07-07,0.75,2021-03-25,2026-03-06,True
CRCT,SC,2024-07-02,0.4,2021-03-25,2026-03-06,True
CRCT,SC,2023-06-30,1.0,2021-03-25,2026-03-06,True
CRCT,SC,2023-01-31,0.35,2021-03-25,2026-03-06,True
CURI,SC,2025-06-13,0.1,2020-10-15,2026-03-06,True
CWH,SC,2017-12-14,0.13,2010-07-01,2026-03-06,True
DALN,SC,2022-09-08,1.5,2021-06-29,2025-09-24,True
DHIL,SC,2025-11-21,4.0,2005-01-03,2026-03-06,True
DHIL,SC,2022-11-23,4.0,2005-01-03,2026-03-06,True
DIT,SC,2025-12-29,0.28,2005-01-04,2026-03-04,True
DIT,SC,2024-01-05,0.28,2005-01-04,2026-03-04,True
DIT,SC,2018-01-04,0.28,2005-01-04,2026-03-04,True
DOMH,SC,2026-01-05,0.432,2022-12-22,2026-03-06,True
DOMH,SC,2025-09-03,0.22,2022-12-22,2026-03-06,True
DOMH,SC,2025-02-24,0.32,2022-12-22,2026-03-06,True
DWSN,SC,2024-04-19,0.32,2005-01-03,2026-03-06,True
EBF,SC,2024-10-11,2.5,2005-01-03,2026-03-06,True
EFSH,SC,2022-08-03,0.13125,2022-01-05,2025-04-03,True
EIG,SC,2022-12-05,1.25,2007-01-31,2026-03-06,True
EIG,SC,2022-05-31,1.0,2007-01-31,2026-03-06,True
ELTK,SC,2025-04-22,0.19,2005-01-03,2026-03-06,True
EMCF,SC,2007-11-29,0.35,2009-11-10,2022-12-30,False
EQC,SC,2023-02-22,4.25,2014-08-01,2025-04-21,True
EQC,SC,2022-09-28,1.0,2014-08-01,2025-04-21,True
ESOA,SC,2023-01-30,0.05,2021-12-31,2026-03-06,True
ESP,SC,2025-09-19,0.75,2005-01-03,2026-03-06,True
ESP,SC,2013-12-10,1.0,2005-01-03,2026-03-06,True
ESP,SC,2008-12-04,1.5,2005-01-03,2026-03-06,True
ETD,SC,2025-08-13,0.25,2009-11-27,2026-03-06,True
ETD,SC,2024-08-13,0.4,2009-11-27,2026-03-06,True
ETD,SC,2023-08-14,0.5,2009-11-27,2026-03-06,True
ETD,SC,2022-08-15,0.5,2009-11-27,2026-03-06,True
ETD,SC,2021-05-10,0.75,2009-11-27,2026-03-06,True
EVI,SC,2025-09-25,0.33,2009-12-01,2026-03-06,True
EVI,SC,2024-09-26,0.31,2009-12-01,2026-03-06,True
EVI,SC,2023-10-13,0.28,2009-12-01,2026-03-06,True
EWCZ,SC,2022-04-21,3.3,2021-08-05,2026-03-06,True
FCBC,SC,2026-01-02,1.0,2005-01-03,2026-03-06,True
FCBC,SC,2025-02-14,2.07,2005-01-03,2026-03-06,True
FDUS,SC,2023-09-19,0.1,2011-06-21,2026-03-06,True
FDUS,SC,2023-09-19,0.21,2011-06-21,2026-03-06,True
FDUS,SC,2023-06-20,0.1,2011-06-21,2026-03-06,True
FDUS,SC,2023-06-20,0.19,2011-06-21,2026-03-06,True
FDUS,SC,2023-03-21,0.1,2011-06-21,2026-03-06,True
FDUS,SC,2023-03-21,0.15,2011-06-21,2026-03-06,True
FDUS,SC,2022-12-01,0.1,2011-06-21,2026-03-06,True
FDUS,SC,2022-12-01,0.15,2011-06-21,2026-03-06,True
FDUS,SC,2022-09-08,0.07,2011-06-21,2026-03-06,True
FDUS,SC,2021-12-02,0.04,2011-06-21,2026-03-06,True
FDUS,SC,2021-09-13,0.06,2011-06-21,2026-03-06,True
FDUS,SC,2021-06-11,0.08,2011-06-21,2026-03-06,True
FEIM,SC,2024-08-08,1.0,2006-08-01,2026-03-06,True
FEIM,SC,2023-01-05,1.0,2006-08-01,2026-03-06,True
FF,SC,2024-04-10,2.5,2005-01-03,2026-03-06,True
FF,SC,2021-05-20,2.5,2005-01-03,2026-03-06,True
FKWL,SC,2025-11-14,0.04,2021-03-29,2026-03-06,True
FMAO,SC,2022-07-07,0.0125,2017-05-10,2026-03-06,True
FNCB,SC,2006-12-07,0.02,2018-03-05,2024-06-28,False
FPI,SC,2025-12-23,0.2,2006-06-28,2026-03-06,True
FPI,SC,2024-12-23,1.15,2006-06-28,2026-03-06,True
FPI,SC,2023-12-28,0.21,2006-06-28,2026-03-06,True
FSBW,SC,2025-08-07,0.22,2012-07-10,2026-03-06,True
FSBW,SC,2022-05-11,0.1,2012-07-10,2026-03-06,True
FSI,SC,2025-05-19,0.1,2005-01-03,2026-03-06,True
FSI,SC,2023-04-27,0.05,2005-01-03,2026-03-06,True
FTPA,SC,2025-12-01,0.0159,2021-05-07,2026-03-06,True
FXNC,SC,2024-09-20,0.16,2019-04-18,2026-03-06,True
GAIN,SC,2025-06-04,0.54,2005-06-23,2026-03-06,True
GAIN,SC,2024-10-04,0.7,2005-06-23,2026-03-06,True
GAIN,SC,2023-12-04,0.88,2005-06-23,2026-03-06,True
GAIN,SC,2023-11-06,0.12,2005-06-23,2026-03-06,True
GAIN,SC,2023-09-06,0.12,2005-06-23,2026-03-06,True
GAIN,SC,2023-06-02,0.12,2005-06-23,2026-03-06,True
GAIN,SC,2023-03-02,0.24,2005-06-23,2026-03-06,True
GAIN,SC,2022-12-05,0.12,2005-06-23,2026-03-06,True
GAIN,SC,2022-06-03,0.12,2005-06-23,2026-03-06,True
GBL,SC,2021-05-28,2.0,2005-01-03,2022-10-06,True
GBL,SC,2008-12-05,0.9,2005-01-03,2022-10-06,True
GDEN,SC,2023-08-10,2.0,2015-08-04,2026-03-06,True
GDEV,SC,2025-03-12,3.31,2021-08-27,2026-03-02,True
GES,SC,2024-04-16,2.25,2005-01-03,2026-01-22,True
GILT,SC,2020-11-10,0.36,2006-04-26,2026-03-06,True
GNK,SC,2019-11-20,0.325,2007-04-11,2026-03-06,True
GNTY,SC,2025-09-19,2.3,2005-01-03,2025-09-30,True
GTN,SC,2004-12-10,0.12,2005-01-03,2026-03-06,False
GYRE,SC,2023-01-13,0.24,2023-10-31,2026-03-06,False
GYRE,SC,2022-09-21,1.43,2023-10-31,2026-03-06,False
HRZN,SC,2024-03-18,0.05,2010-10-29,2026-03-06,True
HRZN,SC,2023-11-16,0.05,2010-10-29,2026-03-06,True
HRZN,SC,2022-11-16,0.05,2010-10-29,2026-03-06,True
HT,SC,2022-12-29,0.5,2005-01-03,2023-11-27,True
HTCR,SC,2025-11-10,0.13,2022-02-10,2026-03-06,True
HTLD,SC,2007-05-22,2.0,2005-01-03,2026-03-06,True
HVT,SC,2023-11-27,1.0,2005-01-03,2026-03-06,True
HVT,SC,2022-11-25,1.0,2005-01-03,2026-03-06,True
ICMB,SC,2022-12-15,0.02,2019-09-03,2026-03-06,True
IIIN,SC,2024-11-29,1.0,2005-01-03,2026-03-06,True
IIIN,SC,2023-12-07,2.5,2005-01-03,2026-03-06,True
IIIN,SC,2022-12-08,2.0,2005-01-03,2026-03-06,True
IMMR,SC,2025-01-10,0.245,2005-01-03,2026-03-06,True
IMMR,SC,2023-01-12,0.1,2005-01-03,2026-03-06,True
ITIC,SC,2025-12-01,8.72,2005-01-03,2026-03-06,True
ITIC,SC,2024-12-02,14.0,2005-01-03,2026-03-06,True
ITIC,SC,2022-11-30,3.0,2005-01-03,2026-03-06,True
IVAC,SC,2025-03-24,0.052,2005-01-03,2025-03-28,True
IVAC,SC,2025-02-28,0.052,2005-01-03,2025-03-28,True
JBSS,SC,2026-04-27,1.5,2005-01-03,2026-03-06,False
JBSS,SC,2025-12-01,1.0,2005-01-03,2026-03-06,True
JBSS,SC,2025-08-19,0.6,2005-01-03,2026-03-06,True
JBSS,SC,2024-08-20,1.25,2005-01-03,2026-03-06,True
JBSS,SC,2024-05-31,1.0,2005-01-03,2026-03-06,True
JBSS,SC,2023-08-21,1.2,2005-01-03,2026-03-06,True
JBSS,SC,2023-05-31,1.5,2005-01-03,2026-03-06,True
JBSS,SC,2022-12-01,1.0,2005-01-03,2026-03-06,True
JBSS,SC,2022-08-11,1.5,2005-01-03,2026-03-06,True
JBSS,SC,2021-08-09,2.3,2005-01-03,2026-03-06,True
JILL,SC,2019-03-18,1.15,2005-01-03,2026-03-06,True
JIVE,SC,2024-12-24,1.19421,2011-12-13,2026-03-06,True
JMSB,SC,2022-05-09,0.2,2022-01-03,2026-03-06,True
KA,SC,2022-12-19,1.43,2022-12-19,2024-09-18,True
KMDA,SC,2025-03-17,0.2,2013-05-31,2026-03-06,True
KRT,SC,2023-08-22,0.4,2005-01-03,2026-03-06,True
KRT,SC,2023-05-22,0.35,2005-01-03,2026-03-06,True
KRT,SC,2022-11-18,0.35,2005-01-03,2026-03-06,True
LFT,SC,2024-12-31,0.09,2007-10-24,2026-03-06,True
LFVN,SC,2023-09-07,0.4,2012-09-12,2026-03-06,True
LMPX,SC,2023-05-09,1.24,2019-12-05,2026-03-02,True
LMPX,SC,2023-03-01,4.68,2019-12-05,2026-03-02,True
LOCO,SC,2022-10-21,1.5,2014-07-25,2026-03-06,True
LRFC,SC,2025-05-06,0.47,2021-07-02,2025-07-14,True
LRFC,SC,2023-03-17,0.18,2021-07-02,2025-07-14,True
LYTS,SC,2007-08-30,0.05,2005-01-03,2026-03-06,True
MBI,SC,2023-12-26,8.0,2005-01-03,2026-03-06,True
MCHB,SC,2024-09-09,467.0,2022-01-21,2026-03-06,True
MCHB,SC,2024-03-15,1012.0,2022-01-21,2026-03-06,True
MCHB,SC,2023-08-09,713.0,2022-01-21,2026-03-06,True
MCHB,SC,2023-02-23,935.0,2022-01-21,2026-03-06,True
MCHB,SC,2022-11-16,1168.0,2022-01-21,2026-03-06,True
MCHB,SC,2022-08-17,1168.0,2022-01-21,2026-03-06,True
MCHB,SC,2022-05-17,1012.0,2022-01-21,2026-03-06,True
MFIC,SC,2024-08-05,0.2,2022-08-15,2026-03-06,True
MFIC,SC,2022-06-15,0.05,2022-08-15,2026-03-06,False
MFIC,SC,2022-03-18,0.05,2022-08-15,2026-03-06,False
MFIC,SC,2021-12-17,0.05,2022-08-15,2026-03-06,False
MFIC,SC,2021-09-20,0.05,2022-08-15,2026-03-06,False
MFIC,SC,2021-03-18,0.05,2022-08-15,2026-03-06,False
MGYR,SC,2024-12-06,0.04,2006-01-24,2026-03-06,True
MGYR,SC,2023-11-27,0.07,2006-01-24,2026-03-06,True
MGYR,SC,2022-11-28,0.08,2006-01-24,2026-03-06,True
MICR,SC,2006-06-08,0.06,2017-03-29,2026-02-27,False
MKTW,SC,2023-11-09,0.15,2005-01-03,2026-03-06,True
MOV,SC,2023-04-04,1.0,2005-01-03,2026-03-06,True
MPB,SC,2026-02-06,0.05,2008-08-01,2026-03-06,True
MPX,SC,2024-05-09,0.7,2005-01-03,2026-03-06,True
MTA,SC,2023-07-31,0.03,2005-01-03,2026-03-06,True
MXC,SC,2024-05-20,0.1,2005-01-03,2026-03-06,True
MXC,SC,2023-04-28,0.1,2005-01-03,2026-03-06,True
MYND,SC,2023-12-13,5.628,2017-07-14,2026-03-06,True
NATH,SC,2025-11-24,2.5,2005-01-03,2026-03-06,True
NBY,SC,2025-09-30,0.8,2005-01-03,2026-03-06,True
NECB,SC,2025-09-08,0.2,2006-07-06,2026-03-06,True
NECB,SC,2024-10-04,0.15,2006-07-06,2026-03-06,True
NECB,SC,2022-05-13,0.18,2006-07-06,2026-03-06,True
NEN,SC,2025-03-24,3.2,2005-01-03,2026-02-27,True
NEN,SC,2023-03-17,1.28,2005-01-03,2026-02-27,True
NEXA,SC,2026-07-28,0.1321,2017-10-27,2026-03-06,False
NFE,SC,2023-01-03,3.0,2019-01-31,2026-03-06,True
NGVC,SC,2023-11-24,1.0,2012-07-25,2026-03-06,True
NGVC,SC,2020-11-27,2.0,2012-07-25,2026-03-06,True
NKSH,SC,2023-01-20,1.0,2005-01-03,2026-03-06,True
NL,SC,2025-08-18,0.21,2005-01-03,2026-03-06,True
NL,SC,2024-08-19,0.43,2005-01-03,2026-03-06,True
NL,SC,2022-08-19,0.35,2005-01-03,2026-03-06,True
NLOP,SC,2026-03-30,3.3,2023-11-02,2026-03-06,False
NLOP,SC,2026-02-18,6.75,2023-11-02,2026-03-06,True
NLOP,SC,2026-01-02,5.1,2023-11-02,2026-03-06,True
