ticker,file,rows,split_non1_rows,div_non1_rows,adj_non1_rows
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2005\day_aggs_A_2005_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2006\day_aggs_A_2006_adjusted.parquet,251,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2007\day_aggs_A_2007_adjusted.parquet,251,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2008\day_aggs_A_2008_adjusted.parquet,253,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2009\day_aggs_A_2009_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2010\day_aggs_A_2010_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2011\day_aggs_A_2011_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2012\day_aggs_A_2012_adjusted.parquet,250,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2013\day_aggs_A_2013_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2014\day_aggs_A_2014_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2015\day_aggs_A_2015_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2016\day_aggs_A_2016_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2017\day_aggs_A_2017_adjusted.parquet,251,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2018\day_aggs_A_2018_adjusted.parquet,251,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2019\day_aggs_A_2019_adjusted.parquet,252,0,0,0
A,E:\TSIS\data\ohlcv_daily_adjusted\ticker=A\year=2020\day_aggs_A_2020_adjusted.parquet,253,0,0,0
