date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-02-22,16462.04,17248.0,13524.0,13818.0,22750.28,533.593214,66604,5502.279999999999,147.7518796992481,False,False
2024-02-01,20384.0,20385.96,14419.72,16464.0,21428.68,1097.296122,125726,1042.7200000000012,17.477003942181362,False,False
2024-08-23,5815.32,6370.0,4917.64,6017.2,7082.04,1843.989439,86492,712.04,49.026412184306935,False,False
2024-05-01,13492.64,14043.4,12348.0,12779.2,14752.5,137.891122,4716,709.1000000000004,41.82493806771266,False,False
2024-10-30,1899.24,1944.32,1764.0,1820.84,1536.22,1043.777704,13267,227.77999999999997,126.31987577639754,False,False
2024-09-24,1975.68,2048.2,1863.96,2018.8,2120.72,1361.031786,16153,72.51999999999998,39.36170212765961,False,False
2024-12-18,196.98,216.58,196.0098,210.7,263.0544,22917.5,10772,46.474399999999974,225.93071530660848,False,False
2024-01-10,34496.0,34496.0,32733.96,34496.0,34517.56,0.09898,38,21.55999999999767,1.22358175750821,False,False
2024-10-31,1262.24,1313.2,1140.72,1156.4,1120.14,2769.685102,27964,20.579999999999927,11.931818181818139,False,False
2024-09-10,5584.04,5764.36,5313.56,5723.2,5780.6,37.697245,1458,16.24000000000069,3.6024844720498486,False,False
2024-01-09,35280.0,35281.96,34496.0,34496.0,35298.2,0.120204,40,16.239999999997963,2.0662629141429565,False,False
