date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2021-02-12,585000.0,595500.0,551250.0,571125.0,627571.5,8.662053,3758,32071.5,72.47796610169492,False,False
2021-07-12,603750.0,603750.0,603750.0,603750.0,596219.025,0.019707,29,7530.974999999977,,False,False
2021-08-11,573750.0,574676.25,573750.0,574676.25,578351.85,0.02032,46,3675.5999999999767,396.82591093117156,False,False
2021-07-27,574125.0,574125.0,574125.0,574125.0,575743.95,0.00984,31,1618.9499999999534,,False,False
2021-09-09,546378.75,547875.0,546378.75,547500.0,549187.65,0.112107,48,1312.6500000000233,87.72932330827223,False,False
2021-08-12,575250.0,575250.0,563250.0,563250.0,562499.4,0.041547,42,750.5999999999767,6.254999999999806,False,False
2021-07-06,620250.0,631125.0,620250.0,631125.0,619796.175,0.029173,40,453.82499999995343,4.173103448275434,False,False
2021-08-02,574875.0,574875.0,574875.0,574875.0,575260.725,0.009253,21,385.7249999999767,,False,False
2021-08-04,584250.0,590625.0,584250.0,589717.5,590990.55,0.031627,27,365.55000000004657,5.734117647059554,False,False
2021-09-21,540750.0,541500.0,540000.0,541500.0,541776.0,0.063307,24,276.0,18.4,False,False
