date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2018-01-26,5.6668,5.6668,5.6668,5.6668,5.7189,533.0,14,0.05209999999999937,,False,False
2018-07-16,4.7476,4.7476,4.7476,4.7476,4.7033,152.0,8,0.04430000000000067,,False,False
2018-10-29,3.8,3.8,3.8,3.8,3.7568,289.0,9,0.04319999999999968,,False,False
2018-09-28,4.45,4.45,4.45,4.45,4.4202,212.0,3,0.029799999999999827,,False,False
2018-06-26,4.646,4.646,4.646,4.646,4.6167,263.0,5,0.029300000000000104,,False,False
2018-09-27,4.38,4.38,4.38,4.38,4.4058,391.0,10,0.025800000000000267,,False,False
2018-05-04,4.7276,4.7276,4.7276,4.7276,4.7159,164.0,7,0.011699999999999378,,False,False
2018-02-01,5.56,5.56,5.55,5.55,5.5677,497.0,18,0.007700000000000706,77.00000000000871,False,False
2018-02-09,5.7224,5.7224,5.7224,5.7224,5.717,736.0,9,0.0054000000000007375,,False,False
2018-02-16,5.81,5.81,5.81,5.81,5.8078,597.0,6,0.0021999999999993136,,False,False
2018-10-22,4.24,4.24,4.24,4.24,4.239,442.0,10,0.001000000000000334,,False,False
2018-07-25,4.616,4.62,4.616,4.616,4.6157,1209.0,15,0.0002999999999993008,7.499999999981681,False,False
