date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2016-02-02,151010.0,151010.0,151010.0,151010.0,156558.0,0.0025,3,5548.0,,False,False
2016-07-15,137310.0,137310.0,137310.0,137310.0,140529.0,0.00956,20,3219.0,,False,False
2016-02-16,173000.0,175000.0,172000.0,172000.0,170744.0,0.00468,11,1256.0,41.86666666666667,False,False
2016-04-25,134010.0,134010.0,134010.0,134010.0,134822.0,0.00129,4,812.0,,False,False
2016-04-19,140000.0,140000.0,140000.0,140000.0,140555.0,0.00746,2,555.0,,False,False
2016-04-12,152700.0,152700.0,152700.0,152700.0,152188.0,0.008,6,512.0,,False,False
2016-02-01,175000.0,175000.0,175000.0,175000.0,174571.0,0.00312,8,429.0,,False,False
2016-04-28,135100.0,135100.0,135100.0,135100.0,135435.0,0.00185,3,335.0,,False,False
2016-04-27,134910.0,134910.0,134910.0,134910.0,134976.0,0.0065,6,66.0,,False,False
2016-01-13,170990.0,170990.0,170990.0,170990.0,170948.0,0.00609,3,42.0,,False,False
