date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-06-26,0.0018,0.0018,0.0018,0.0018,0.0022,101.0,2,0.0004000000000000002,,False,False
2025-04-25,0.0408,0.0408,0.0408,0.0408,0.0405,603.0,5,0.00030000000000000165,,False,False
2025-05-14,0.0273,0.0273,0.0273,0.0273,0.027,101.0,2,0.00030000000000000165,,False,False
2025-03-31,0.0427,0.0427,0.0427,0.0427,0.043,4931.0,10,0.0002999999999999947,,False,False
2025-04-30,0.04,0.04,0.0302,0.0308,0.03,31909.0,10,0.00020000000000000226,2.0408163265306354,False,False
2025-06-20,0.0029,0.0029,0.0029,0.0029,0.0031,172.0,3,0.0002000000000000001,,False,False
2025-07-18,0.0014,0.0014,0.0014,0.0014,0.0016,103.0,4,0.0002000000000000001,,False,False
2025-10-30,0.0003,0.0003,0.0003,0.0003,0.0004,273.0,4,0.00010000000000000005,,False,False
2025-08-25,0.0005,0.0005,0.0005,0.0005,0.0006,970.0,6,9.999999999999994e-05,,False,False
2025-07-07,0.033,0.033,0.0,0.0,0.0321,97575.0,13,0.0,0.0,True,True
2025-11-18,0.0,0.0,0.0,0.0,,901.0,2,,,True,True
2025-12-17,0.0,0.0,0.0,0.0,,8010.0,3,,,True,True
