date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-04-16,0.0005,0.0005,0.0005,0.0005,0.0021,1083.0,10,0.0015999999999999999,,False,False
2025-08-05,0.0003,0.0004,0.0003,0.0003,0.0013,628.0,11,0.0009,899.9999999999995,False,False
2025-01-10,0.0135,0.0135,0.0135,0.0135,0.0126,816.0,7,0.0008999999999999998,,False,False
2025-05-15,0.0004,0.0004,0.0004,0.0004,0.0008,524.0,7,0.0004,,False,False
2025-08-07,0.0002,0.0002,0.0002,0.0002,0.0005,686.0,10,0.00030000000000000003,,False,False
2025-07-31,0.0003,0.0003,0.0003,0.0003,0.0005,2625.0,19,0.00020000000000000004,,False,False
2025-01-08,0.0075,0.0075,0.0075,0.0075,0.0073,519.0,12,0.00019999999999999966,,False,False
2025-02-05,0.005,0.005,0.005,0.005,0.0049,5365.0,25,0.00010000000000000026,,False,False
2025-02-28,0.0007,0.0007,0.0007,0.0007,0.0006,517.0,7,0.00010000000000000005,,False,False
2025-06-13,0.0007,0.0007,0.0007,0.0007,0.0006,197.0,5,0.00010000000000000005,,False,False
2025-11-18,0.0004,0.0004,0.0004,0.0004,0.0003,292.0,7,0.00010000000000000005,,False,False
2025-07-15,0.0001,0.0001,0.0001,0.0001,0.0002,1015.0,11,0.0001,,False,False
2025-04-21,0.0001,0.0004,0.0001,0.0004,0.0005,4360.0,44,9.999999999999999e-05,33.33333333333333,False,False
2025-05-06,0.0005,0.0005,0.0005,0.0005,0.0004,269.0,8,9.999999999999999e-05,,False,False
2025-06-11,0.0004,0.0004,0.0004,0.0004,0.0005,727.0,6,9.999999999999999e-05,,False,False
2025-10-02,0.0004,0.0004,0.0004,0.0004,0.0005,516.0,11,9.999999999999999e-05,,False,False
2025-08-08,0.0002,0.0005,0.0002,0.0005,0.0006,4279.0,14,9.999999999999994e-05,33.33333333333331,False,False
2025-11-21,0.0005,0.0005,0.0005,0.0005,0.0006,262.0,5,9.999999999999994e-05,,False,False
2025-11-24,0.0,0.001,0.0,0.001,0.0007,3105.0,11,0.0,0.0,True,True
2025-11-28,0.0,0.0001,0.0,0.0001,0.0001,5375.0,10,0.0,0.0,True,True
2025-12-23,0.0002,0.0002,0.0,0.0,0.0002,6811.0,35,0.0,0.0,True,True
