date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-10-24,0.0001,0.0001,0.0,0.0,0.0001,10640.0,3,0.0,0.0,True,True
2025-01-08,0.0,0.0,0.0,0.0,,475.0,1,,,True,True
2025-01-13,0.0,0.0,0.0,0.0,,4125.0,3,,,True,True
2025-01-31,0.0,0.0,0.0,0.0,,375.0,1,,,True,True
2025-02-03,0.0,0.0,0.0,0.0,,2505.0,2,,,True,True
2025-02-05,0.0,0.0,0.0,0.0,,532.0,3,,,True,True
2025-02-10,0.0,0.0,0.0,0.0,,150.0,2,,,True,True
2025-02-14,0.0,0.0,0.0,0.0,,10000.0,1,,,True,True
2025-02-19,0.0,0.0,0.0,0.0,,1569.0,4,,,True,True
2025-03-03,0.0,0.0,0.0,0.0,,655006.0,2,,,True,True
2025-03-14,0.0,0.0,0.0,0.0,,1868.0,2,,,True,True
2025-04-11,0.0,0.0,0.0,0.0,,184.0,1,,,True,True
2025-05-01,0.0,0.0,0.0,0.0,,29988.0,1,,,True,True
2025-07-17,0.0,0.0,0.0,0.0,,250.0,1,,,True,True
2025-08-04,0.0,0.0,0.0,0.0,,445.0,2,,,True,True
2025-08-25,0.0,0.0,0.0,0.0,,1250.0,1,,,True,True
2025-08-28,0.0,0.0,0.0,0.0,,600.0,1,,,True,True
2025-09-10,0.0,0.0,0.0,0.0,,175.0,1,,,True,True
2025-09-19,0.0,0.0,0.0,0.0,,1125.0,2,,,True,True
2025-09-26,0.0,0.0,0.0,0.0,,14508.0,1,,,True,True
2025-11-06,0.0,0.0,0.0,0.0,,640.0,2,,,True,True
2025-11-07,0.0,0.0,0.0,0.0,,312.0,2,,,True,True
2025-11-17,0.0,0.0,0.0,0.0,,5503.0,3,,,True,True
2025-11-24,0.0,0.0,0.0,0.0,,12600.0,1,,,True,True
2025-11-26,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2025-12-03,0.0,0.0,0.0,0.0,,725.0,1,,,True,True
2025-12-05,0.0,0.0,0.0,0.0,,3002.0,2,,,True,True
2025-12-18,0.0,0.0,0.0,0.0,,9032.0,3,,,True,True
2025-12-23,0.0,0.0,0.0,0.0,,946.0,2,,,True,True
2025-12-29,0.0,0.0,0.0,0.0,,5000.0,1,,,True,True
