date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-07-22,0.01,0.01,0.0,0.0,0.0083,313309.0,8,0.0,0.0,True,True
2024-11-11,0.0,0.0001,0.0,0.0001,0.0001,45654.0,9,0.0,0.0,True,True
2024-12-11,0.0002,0.0002,0.0,0.0,0.0002,127886.0,12,0.0,0.0,True,True
2024-12-26,0.0,0.0002,0.0,0.0001,0.0001,34462.0,15,0.0,0.0,True,True
2024-07-26,0.0,0.0,0.0,0.0,,20000.0,1,,,True,True
2024-08-01,0.0,0.0,0.0,0.0,,1025.0,2,,,True,True
2024-08-06,0.0,0.0,0.0,0.0,,500.0,1,,,True,True
2024-08-12,0.0,0.0,0.0,0.0,,10007.0,2,,,True,True
2024-08-13,0.0,0.0,0.0,0.0,,3700.0,3,,,True,True
2024-08-19,0.0,0.0,0.0,0.0,,1800.0,1,,,True,True
2024-08-20,0.0,0.0,0.0,0.0,,843.0,3,,,True,True
2024-08-23,0.0,0.0,0.0,0.0,,500.0,1,,,True,True
2024-08-28,0.0,0.0,0.0,0.0,,12000.0,1,,,True,True
2024-09-05,0.0,0.0,0.0,0.0,,3200.0,1,,,True,True
2024-09-24,0.0,0.0,0.0,0.0,,250.0,1,,,True,True
2024-09-25,0.0,0.0,0.0,0.0,,150.0,1,,,True,True
2024-09-30,0.0,0.0,0.0,0.0,,2225.0,1,,,True,True
2024-10-07,0.0,0.0,0.0,0.0,,1100.0,1,,,True,True
2024-11-12,0.0,0.0,0.0,0.0,,275.0,3,,,True,True
2024-11-13,0.0,0.0,0.0,0.0,,1800.0,1,,,True,True
2024-11-18,0.0,0.0,0.0,0.0,,7016.0,1,,,True,True
2024-11-19,0.0,0.0,0.0,0.0,,4250.0,2,,,True,True
2024-11-25,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2024-11-26,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2024-11-29,0.0,0.0,0.0,0.0,,13000.0,2,,,True,True
2024-12-16,0.0,0.0,0.0,0.0,,500.0,1,,,True,True
2024-12-18,0.0,0.0,0.0,0.0,,1636.0,2,,,True,True
