date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-01-02,0.203,0.2036,0.1755,0.1827,0.2221,11021407.0,20580,0.01849999999999999,65.83629893238427,False,False
2024-07-26,0.0003,0.0003,0.0003,0.0003,0.0011,1076.0,2,0.0008000000000000001,,False,False
2024-09-13,0.0,0.0001,0.0,0.0001,0.0001,18650.0,6,0.0,0.0,True,True
2024-09-20,0.0,0.0001,0.0,0.0,0.0001,7505.0,6,0.0,0.0,True,True
2024-09-23,0.0,0.0001,0.0,0.0001,0.0001,84151.0,11,0.0,0.0,True,True
2024-09-26,0.0,0.0001,0.0,0.0,0.0001,30700.0,3,0.0,0.0,True,True
2024-11-25,0.0001,0.0001,0.0,0.0,0.0001,17302.0,3,0.0,0.0,True,True
2024-12-23,0.0,0.0001,0.0,0.0001,0.0001,166854.0,22,0.0,0.0,True,True
2024-08-05,0.0,0.0001,0.0,0.0001,,259914.0,5,,,True,True
2024-08-20,0.0,0.0002,0.0,0.0002,,169758.0,35,,,True,True
2024-08-28,0.0,0.0001,0.0,0.0001,,10371.0,4,,,True,True
2024-10-03,0.0,0.0,0.0,0.0,,120.0,1,,,True,True
2024-11-20,0.0,0.0002,0.0,0.0,,60197.0,6,,,True,True
2024-11-22,0.0,0.0,0.0,0.0,,1588.0,1,,,True,True
2024-11-26,0.0,0.0,0.0,0.0,,17109.0,2,,,True,True
2024-12-02,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2024-12-04,0.0,0.0001,0.0,0.0,,418375.0,13,,,True,True
