date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-04-23,0.0002,0.0002,0.0002,0.0002,0.0079,135.0,4,0.007700000000000001,,False,False
2025-01-30,0.025,0.025,0.025,0.025,0.0175,234.0,8,0.0075,,False,False
2025-03-28,0.0002,0.0002,0.0002,0.0002,0.0075,135.0,3,0.0073,,False,False
2025-12-22,0.022,0.022,0.022,0.022,0.029,137.0,4,0.007000000000000003,,False,False
2025-05-14,0.0004,0.0004,0.0004,0.0004,0.004,282.0,8,0.0036,,False,False
2025-01-24,0.0005,0.0005,0.0005,0.0005,0.0037,210.0,7,0.0032,,False,False
2025-06-18,0.0004,0.0004,0.0004,0.0004,0.0028,1276.0,7,0.0024,,False,False
2025-04-17,0.0002,0.0002,0.0002,0.0002,0.0021,305.0,8,0.0018999999999999998,,False,False
2025-03-27,0.0002,0.0002,0.0002,0.0002,0.0019,827.0,7,0.0017,,False,False
2025-12-31,0.0002,0.0002,0.0002,0.0002,0.0017,945.0,26,0.0014999999999999998,,False,False
2025-09-29,0.0,0.0,0.0,0.0,0.0013,244.0,6,0.0013,,True,True
2025-08-26,0.0003,0.0003,0.0003,0.0003,0.0013,132.0,5,0.001,,False,False
2025-12-12,0.0003,0.0003,0.0003,0.0003,0.0013,1161.0,18,0.001,,False,False
2025-12-19,0.0001,0.0001,0.0001,0.0001,0.001,796.0,13,0.0009,,False,False
2025-09-30,0.0001,0.0001,0.0001,0.0001,0.0009,742.0,3,0.0007999999999999999,,False,False
2025-08-18,0.0003,0.0003,0.0003,0.0003,0.001,163.0,5,0.0007000000000000001,,False,False
2025-10-31,0.0,0.0001,0.0,0.0,0.0007,1886.0,10,0.0006,600.0,True,True
2025-12-29,0.0002,0.0002,0.0002,0.0002,0.0007,2906.0,36,0.0005,,False,False
2025-02-05,0.0001,0.0001,0.0001,0.0001,0.0006,357.0,7,0.0004999999999999999,,False,False
2025-03-04,0.0001,0.0001,0.0001,0.0001,0.0006,656.0,9,0.0004999999999999999,,False,False
2025-08-04,0.0001,0.0001,0.0001,0.0001,0.0005,174.0,7,0.0004,,False,False
2025-12-09,0.0003,0.0003,0.0003,0.0003,0.0005,1989.0,7,0.00020000000000000004,,False,False
2025-02-06,0.0001,0.0001,0.0001,0.0001,0.0003,1046.0,7,0.00019999999999999998,,False,False
2025-09-15,0.0004,0.0004,0.0004,0.0004,0.0006,334.0,7,0.00019999999999999993,,False,False
2025-07-23,0.0002,0.0003,0.0002,0.0003,0.0004,2309.0,10,0.00010000000000000005,100.00000000000009,False,False
2025-10-08,0.0,0.0001,0.0,0.0001,0.0002,766.0,9,0.0001,100.0,True,True
2025-02-04,0.0001,0.0001,0.0001,0.0001,0.0002,1599.0,19,0.0001,,False,False
2025-03-17,0.0001,0.0001,0.0001,0.0001,0.0002,1620.0,6,0.0001,,False,False
2025-05-13,0.0004,0.0004,0.0004,0.0004,0.0005,149.0,6,9.999999999999999e-05,,False,False
2025-09-12,0.0004,0.0004,0.0004,0.0004,0.0005,1382.0,8,9.999999999999999e-05,,False,False
2025-07-22,0.0002,0.0002,0.0002,0.0002,0.0003,488.0,13,9.999999999999996e-05,,False,False
2025-01-28,0.0005,0.0005,0.0005,0.0005,0.0006,393.0,5,9.999999999999994e-05,,False,False
2025-03-19,0.0001,0.0001,0.0,0.0001,0.0001,35171.0,7,0.0,0.0,True,True
2025-10-23,0.0001,0.5001,0.0,0.0001,0.059,882.0,10,0.0,0.0,True,True
2025-07-30,0.0,0.0,0.0,0.0,,333.0,1,,,True,True
2025-10-07,0.0,0.0,0.0,0.0,,1064.0,3,,,True,True
