date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-05-14,0.0006,0.0006,0.0006,0.0006,0.0057,326.0,3,0.0051,,False,False
2025-12-15,0.0002,0.0002,0.0002,0.0002,0.0042,351.0,4,0.004,,False,False
2025-02-20,0.0002,0.0002,0.0002,0.0002,0.0034,226.0,4,0.0031999999999999997,,False,False
2025-12-17,0.0002,0.0002,0.0002,0.0002,0.0034,408.0,7,0.0031999999999999997,,False,False
2025-10-27,0.0002,0.0002,0.0002,0.0002,0.003,1068.0,6,0.0028,,False,False
2025-07-03,0.0006,0.0006,0.0002,0.0002,0.0025,800.0,3,0.0019000000000000002,475.0000000000001,False,False
2025-07-01,0.0003,0.0003,0.0002,0.0003,0.002,573.0,5,0.0017000000000000001,1700.0000000000007,False,False
2025-12-23,0.0002,0.0002,0.0002,0.0002,0.0016,694.0,6,0.0014,,False,False
2025-12-19,0.0002,0.0002,0.0002,0.0002,0.0015,761.0,4,0.0013,,False,False
2025-04-22,0.0002,0.0002,0.0002,0.0002,0.001,2086.0,2,0.0008,,False,False
2025-11-06,0.0002,0.0002,0.0002,0.0002,0.001,254.0,4,0.0008,,False,False
2025-11-12,0.0002,0.0002,0.0002,0.0002,0.0008,308.0,5,0.0006000000000000001,,False,False
2025-12-11,0.0002,0.0002,0.0002,0.0002,0.0007,7901.0,8,0.0005,,False,False
2025-04-24,0.0002,0.0002,0.0002,0.0002,0.0006,4001.0,2,0.00039999999999999996,,False,False
2025-11-10,0.0006,0.0006,0.0006,0.0006,0.0002,75458.0,5,0.00039999999999999996,,False,False
2025-05-02,0.0002,0.0002,0.0002,0.0002,0.0005,5001.0,2,0.00030000000000000003,,False,False
2025-10-23,0.0002,0.0002,0.0002,0.0002,0.0005,5481.0,6,0.00030000000000000003,,False,False
2025-12-01,0.0002,0.0002,0.0002,0.0002,0.0004,5456.0,6,0.0002,,False,False
2025-09-23,0.0005,0.0005,0.0005,0.0005,0.0007,166.0,2,0.00019999999999999998,,False,False
2025-06-12,0.0003,0.0003,0.0003,0.0003,0.0004,28106.0,7,0.00010000000000000005,,False,False
2025-05-21,0.0002,0.0002,0.0002,0.0002,0.0003,25017.0,4,9.999999999999996e-05,,False,False
2025-08-01,0.0002,0.0002,0.0002,0.0002,0.0003,537.0,3,9.999999999999996e-05,,False,False
2025-01-02,0.0006,0.0006,0.0,0.0,0.0003,200.0,2,0.0,0.0,True,True
2025-01-22,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2025-02-04,0.0,0.0,0.0,0.0,,110.0,1,,,True,True
