date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-08-14,0.0,0.0,0.0,0.0,0.0668,345.0,5,0.0668,,True,True
2024-06-11,0.7,0.7,0.7,0.7,0.6707,123.0,7,0.029299999999999993,,False,False
2024-10-21,0.0402,0.0402,0.0002,0.0002,0.0666,640.0,7,0.026400000000000007,66.00000000000001,False,False
2024-06-05,0.735,0.735,0.735,0.735,0.7263,614.0,11,0.008700000000000041,,False,False
2024-11-13,0.0,0.0001,0.0,0.0001,0.0076,3661.0,7,0.0075,7500.0,True,True
2024-02-20,0.77,0.77,0.77,0.77,0.7632,227.0,14,0.006800000000000028,,False,False
2024-09-19,0.0,0.0,0.0,0.0,0.0068,297.0,8,0.0068,,True,True
2024-04-10,1.01,1.01,1.01,1.01,1.016,153.0,9,0.006000000000000005,,False,False
2024-08-29,0.0,0.0,0.0,0.0,0.0019,361.0,5,0.0019,,True,True
2024-06-28,0.7,0.7,0.69,0.69,0.7015,467.0,6,0.0015000000000000568,15.000000000000554,False,False
2024-05-15,0.8585,0.8585,0.8585,0.8585,0.8574,1048.0,9,0.0010999999999999899,,False,False
2024-05-22,0.8255,0.8255,0.8255,0.8255,0.8246,532.0,9,0.0009000000000000119,,False,False
2024-07-03,0.6981,0.6981,0.6981,0.6981,0.6989,778.0,14,0.0007999999999999119,,False,False
2024-02-28,0.8001,0.8001,0.8001,0.8001,0.8008,3152.0,26,0.0006999999999999229,,False,False
2024-07-11,0.75,0.75,0.75,0.75,0.7494,5487.0,15,0.0006000000000000449,,False,False
2024-05-02,0.85,0.85,0.85,0.85,0.8503,1459.0,8,0.00029999999999996696,,False,False
2024-10-07,0.0,0.0001,0.0,0.0001,0.0001,1784.0,7,0.0,0.0,True,True
2024-11-19,0.0001,0.0001,0.0,0.0,0.0001,5933.0,4,0.0,0.0,True,True
2024-08-23,0.0,0.0,0.0,0.0,,460.0,2,,,True,True
2024-09-25,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2024-10-10,0.0001,0.0001,0.0,0.0001,,216814.0,5,,,True,True
2024-11-27,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2024-12-11,0.0,0.0,0.0,0.0,,8464.0,7,,,True,True
2024-12-12,0.0,0.0,0.0,0.0,,300.0,1,,,True,True
2024-12-18,0.0,0.0,0.0,0.0,,188.0,3,,,True,True
2024-12-20,0.0,0.0,0.0,0.0,,2035.0,4,,,True,True
2024-12-26,0.0,0.0,0.0,0.0,,724.0,5,,,True,True
2024-12-30,0.0,0.0,0.0,0.0,,3236.0,4,,,True,True
2024-12-31,0.0,0.0,0.0,0.0,,578.0,4,,,True,True
