date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-07-25,0.0001,0.0013,0.0,0.0,0.0042,957.0,9,0.0029,223.07692307692307,True,True
2024-10-24,0.0001,0.0004,0.0001,0.0004,0.001,6043.0,6,0.0006000000000000001,200.0,False,False
2024-11-19,0.0004,0.0004,0.0004,0.0004,0.001,4187.0,5,0.0006000000000000001,,False,False
2024-12-17,0.0004,0.0004,0.0004,0.0004,0.001,2149.0,7,0.0006000000000000001,,False,False
2024-09-04,0.0004,0.0004,0.0004,0.0004,0.0009,2553.0,4,0.0005,,False,False
2024-11-20,0.0,0.0004,0.0,0.0004,0.0003,3734.0,6,0.0,0.0,True,True
2024-07-24,0.0001,0.0002,0.0,0.0002,,36740.0,16,,,True,True
2024-07-26,0.0,0.0,0.0,0.0,,2110.0,4,,,True,True
2024-07-30,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2024-07-31,0.0,0.0,0.0,0.0,,400.0,1,,,True,True
2024-08-01,0.0,0.0,0.0,0.0,,1175.0,2,,,True,True
2024-08-09,0.0,0.0,0.0,0.0,,4300.0,2,,,True,True
2024-08-20,0.0,0.0001,0.0,0.0001,,31122.0,6,,,True,True
2024-08-28,0.0,0.0,0.0,0.0,,9450.0,1,,,True,True
2024-10-15,0.0,0.0,0.0,0.0,,1500.0,1,,,True,True
2024-12-10,0.0,0.0,0.0,0.0,,502.0,3,,,True,True
