date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-09-29,0.0001,0.0001,0.0,0.0,0.0001,832995.0,93,0.0,0.0,True,True
2025-01-02,0.0,0.0,0.0,0.0,,16191.0,6,,,True,True
2025-01-03,0.0,0.0,0.0,0.0,,60665.0,6,,,True,True
2025-01-06,0.0,0.0,0.0,0.0,,12538.0,5,,,True,True
2025-01-07,0.0,0.0,0.0,0.0,,50537.0,4,,,True,True
2025-01-08,0.0,0.0,0.0,0.0,,420.0,3,,,True,True
2025-01-10,0.0,0.0,0.0,0.0,,7428051.0,4,,,True,True
2025-01-13,0.0,0.0,0.0,0.0,,284.0,2,,,True,True
2025-01-14,0.0,0.0,0.0,0.0,,27782.0,3,,,True,True
2025-01-15,0.0,0.0,0.0,0.0,,331063.0,6,,,True,True
2025-01-16,0.0,0.0,0.0,0.0,,6110.0,3,,,True,True
2025-01-17,0.0,0.0,0.0,0.0,,4464.0,1,,,True,True
2025-01-21,0.0,0.0,0.0,0.0,,11564.0,2,,,True,True
2025-01-22,0.0,0.0,0.0,0.0,,30304.0,2,,,True,True
2025-01-23,0.0,0.0,0.0,0.0,,170194.0,9,,,True,True
2025-01-24,0.0,0.0,0.0,0.0,,4316.0,1,,,True,True
2025-01-27,0.0,0.0,0.0,0.0,,4054.0,4,,,True,True
2025-01-29,0.0,0.0,0.0,0.0,,2010.0,2,,,True,True
2025-01-30,0.0,0.0,0.0,0.0,,2603.0,5,,,True,True
2025-01-31,0.0,0.0,0.0,0.0,,110000.0,2,,,True,True
2025-02-03,0.0,0.0,0.0,0.0,,6293.0,2,,,True,True
2025-02-04,0.0,0.0,0.0,0.0,,29971.0,4,,,True,True
2025-02-06,0.0,0.0,0.0,0.0,,81237.0,4,,,True,True
2025-02-07,0.0,0.0,0.0,0.0,,141500.0,4,,,True,True
2025-02-10,0.0,0.0,0.0,0.0,,22140.0,5,,,True,True
2025-02-11,0.0,0.0,0.0,0.0,,3880.0,2,,,True,True
2025-02-12,0.0,0.0,0.0,0.0,,10402.0,5,,,True,True
2025-02-13,0.0,0.0,0.0,0.0,,10000.0,1,,,True,True
