date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-05-03,0.0003,0.0003,0.0002,0.0002,0.0023,2614.0,21,0.002,2000.000000000001,False,False
2024-10-21,0.0,0.0002,0.0,0.0,0.0001,1924.0,3,0.0,0.0,True,True
2024-10-30,0.0001,0.0003,0.0,0.0,0.0001,13767.0,6,0.0,0.0,True,True
2024-11-05,0.0002,0.0002,0.0,0.0,0.0002,951.0,4,0.0,0.0,True,True
2024-11-08,0.0,0.0001,0.0,0.0001,0.0001,3971.0,3,0.0,0.0,True,True
2024-11-18,0.0001,0.0001,0.0,0.0,0.0001,149223.0,5,0.0,0.0,True,True
2024-11-19,0.0,0.0004,0.0,0.0,0.0004,2222.0,3,0.0,0.0,True,True
2024-11-21,0.0,0.0001,0.0,0.0,0.0001,1206.0,2,0.0,0.0,True,True
2024-12-04,0.0,0.0001,0.0,0.0,0.0001,1911.0,5,0.0,0.0,True,True
2024-12-09,0.0,0.0002,0.0,0.0,0.0002,4094.0,4,0.0,0.0,True,True
2024-12-10,0.0,0.0001,0.0,0.0,0.0001,4566.0,4,0.0,0.0,True,True
2024-12-11,0.0,0.0002,0.0,0.0,0.0001,3343.0,3,0.0,0.0,True,True
2024-12-26,0.0002,0.0002,0.0,0.0,0.0001,8605.0,8,0.0,0.0,True,True
2024-12-27,0.0001,0.0002,0.0,0.0,0.0001,34261.0,10,0.0,0.0,True,True
2024-12-30,0.0001,0.0002,0.0,0.0,0.0001,16527.0,13,0.0,0.0,True,True
2024-08-19,0.0,0.0001,0.0,0.0,,576.0,2,,,True,True
2024-10-14,0.0,0.0,0.0,0.0,,507.0,2,,,True,True
2024-11-12,0.0,0.0,0.0,0.0,,1406.0,1,,,True,True
2024-11-13,0.0,0.0,0.0,0.0,,401.0,2,,,True,True
2024-11-20,0.0,0.0,0.0,0.0,,7000.0,1,,,True,True
2024-11-25,0.0,0.0001,0.0,0.0,,3109.0,6,,,True,True
2024-11-27,0.0,0.0,0.0,0.0,,1600.0,1,,,True,True
2024-12-16,0.0003,0.0003,0.0,0.0,,47108.0,7,,,True,True
2024-12-20,0.0001,0.0001,0.0,0.0,,156883.0,10,,,True,True
