date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-12-04,0.005,0.005,0.005,0.005,0.0048,1208.0,2,0.00020000000000000052,,False,False
2025-03-14,0.0001,0.0001,0.0001,0.0001,0.0003,351.0,4,0.00019999999999999998,,False,False
2025-08-22,0.01,0.01,0.01,0.01,0.0099,1222.0,2,9.99999999999994e-05,,False,False
2025-09-26,0.002,0.002,0.0,0.0,0.0011,2899.0,3,0.0,0.0,True,True
2025-12-10,0.005,0.005,0.0,0.0,0.0013,4511.0,5,0.0,0.0,True,True
2025-12-11,0.0,0.17,0.0,0.0001,0.0455,4338.0,5,0.0,0.0,True,True
2025-12-22,0.0,0.19,0.0,0.0,0.0008,347790.0,12,0.0,0.0,True,True
2025-01-10,0.0,0.0,0.0,0.0,,827.0,3,,,True,True
2025-01-22,0.0,0.0,0.0,0.0,,150.0,1,,,True,True
2025-02-18,0.0,0.0,0.0,0.0,,10314.0,26,,,True,True
2025-02-19,0.0,0.0,0.0,0.0,,130.0,4,,,True,True
2025-02-20,0.0,0.0001,0.0,0.0,,17678.0,11,,,True,True
2025-07-02,0.0,0.0,0.0,0.0,,718.0,3,,,True,True
2025-08-08,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2025-10-17,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2025-10-21,0.0,0.0,0.0,0.0,,56080.0,2,,,True,True
2025-11-25,0.0,0.0,0.0,0.0,,1458.0,3,,,True,True
2025-12-18,0.0,0.0,0.0,0.0,,400.0,1,,,True,True
