date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-09-26,0.0002,0.0002,0.0002,0.0002,0.0024,149.0,5,0.0021999999999999997,,False,False
2025-02-13,0.1,0.1,0.1,0.1,0.098,1020.0,2,0.0020000000000000018,,False,False
2025-01-10,0.1001,0.1001,0.1001,0.1001,0.101,269.0,7,0.0009000000000000119,,False,False
2025-01-29,0.1001,0.1001,0.1001,0.1001,0.0996,147.0,2,0.0005000000000000004,,False,False
2025-01-28,0.1,0.1,0.1,0.1,0.0999,1011.0,3,0.00010000000000000286,,False,False
2025-12-02,0.0,0.0001,0.0,0.0,0.0001,518.0,3,0.0,0.0,True,True
2025-12-29,0.0,0.0001,0.0,0.0,0.0001,1053.0,4,0.0,0.0,True,True
2025-09-03,0.0,0.0,0.0,0.0,,176.0,2,,,True,True
2025-12-18,0.0,0.0001,0.0,0.0,,9088.0,3,,,True,True
2025-12-31,0.0,0.0001,0.0,0.0,,1725.0,6,,,True,True
