date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-07-24,0.0321,0.0321,0.0321,0.0321,0.033,169.0,5,0.000900000000000005,,False,False
2024-07-25,0.0321,0.0321,0.0321,0.0321,0.0329,106.0,3,0.0008000000000000021,,False,False
2024-06-05,0.046,0.046,0.046,0.046,0.0463,637.0,8,0.00030000000000000165,,False,False
2024-06-06,0.046,0.046,0.046,0.046,0.0463,433.0,14,0.00030000000000000165,,False,False
2024-03-20,0.0775,0.0775,0.0775,0.0775,0.0777,1588.0,11,0.00020000000000000573,,False,False
2024-07-02,0.038,0.038,0.038,0.038,0.0381,1595.0,7,0.00010000000000000286,,False,False
2024-07-05,0.0414,0.0414,0.0414,0.0414,0.0415,2079.0,13,0.00010000000000000286,,False,False
2024-07-19,0.0321,0.0321,0.0321,0.0321,0.0322,319.0,8,0.00010000000000000286,,False,False
2024-12-10,0.0,0.0001,0.0,0.0,0.0001,2507.0,4,0.0,0.0,True,True
2024-12-23,0.0,0.0001,0.0,0.0,0.0001,2314.0,5,0.0,0.0,True,True
2024-12-30,0.0002,0.0002,0.0,0.0001,0.0001,163112.0,25,0.0,0.0,True,True
2024-10-25,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2024-11-14,0.0,0.0,0.0,0.0,,1100.0,1,,,True,True
2024-12-04,0.0,0.0,0.0,0.0,,2720.0,4,,,True,True
2024-12-05,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2024-12-09,0.0,0.0001,0.0,0.0,,20392.0,5,,,True,True
2024-12-12,0.0,0.0,0.0,0.0,,1200.0,1,,,True,True
2024-12-13,0.0,0.0,0.0,0.0,,5061.0,3,,,True,True
2024-12-20,0.0,0.0001,0.0,0.0,,4130.0,4,,,True,True
2024-12-26,0.0,0.0,0.0,0.0,,7545.0,2,,,True,True
