date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-09-17,0.0483,0.0483,0.0483,0.0483,0.0884,647.0,8,0.040100000000000004,,False,False
2025-09-25,0.05,0.05,0.05,0.05,0.0449,156.0,2,0.0051,,False,False
2025-07-28,0.1579,0.1579,0.1579,0.1579,0.1609,1168.0,4,0.002999999999999975,,False,False
2025-10-30,0.0,0.0,0.0,0.0,0.0028,268.0,5,0.0028,,True,True
2025-06-23,0.2505,0.2505,0.2505,0.2505,0.2483,286.0,10,0.0022000000000000075,,False,False
2025-11-19,0.02,0.02,0.02,0.02,0.0185,300.0,2,0.0015000000000000013,,False,False
2025-03-13,0.405,0.405,0.4,0.4038,0.3988,1978.0,10,0.0012000000000000344,24.000000000000664,False,False
2025-06-12,0.2544,0.2544,0.2544,0.2544,0.2555,213.0,6,0.0010999999999999899,,False,False
2025-11-21,0.0111,0.0111,0.0111,0.0111,0.0121,890.0,4,0.0009999999999999992,,False,False
2025-12-10,0.02,0.02,0.02,0.02,0.0191,105.0,2,0.0009000000000000015,,False,False
2025-12-23,0.0003,0.0003,0.0003,0.0003,0.0011,1622.0,9,0.0008000000000000001,,False,False
2025-04-17,0.3195,0.3195,0.3195,0.3195,0.319,408.0,4,0.0005000000000000004,,False,False
2025-07-31,0.17,0.17,0.17,0.17,0.1696,362.0,4,0.00040000000000001146,,False,False
2025-11-20,0.02,0.02,0.02,0.02,0.0196,203.0,2,0.00040000000000000105,,False,False
2025-09-22,0.05,0.0501,0.05,0.0501,0.0498,2750.0,4,0.00020000000000000573,200.00000000001387,False,False
2025-09-18,0.0501,0.0501,0.0501,0.0501,0.0499,1819.0,6,0.0001999999999999988,,False,False
2025-11-12,0.0111,0.0111,0.0111,0.0111,0.0113,444.0,3,0.0001999999999999988,,False,False
2025-12-03,0.0156,0.0156,0.0156,0.0156,0.0154,763.0,2,0.0001999999999999988,,False,False
2025-01-17,0.371,0.371,0.37,0.371,0.3712,2338.0,15,0.00019999999999997797,19.99999999999778,False,False
2025-12-19,0.0003,0.0003,0.0003,0.0003,0.0004,9590.0,7,0.00010000000000000005,,False,False
2025-12-02,0.02,0.02,0.02,0.02,0.0199,221.0,3,9.99999999999994e-05,,False,False
2025-12-15,0.02,0.02,0.02,0.02,0.0199,1605.0,5,9.99999999999994e-05,,False,False
2025-09-08,0.05,0.05,0.05,0.05,0.0501,4094.0,9,9.999999999999593e-05,,False,False
2025-07-30,0.1579,0.1579,0.1579,0.1579,0.158,1299.0,3,9.999999999998899e-05,,False,False
2025-08-21,0.1579,0.1579,0.1579,0.1579,0.158,501.0,2,9.999999999998899e-05,,False,False
