date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2026-01-06,0.0,0.0009,0.0,0.0,0.0003,350.0,2,0.0,0.0,True,True
2026-01-23,0.0001,0.0001,0.0,0.0,0.0001,641918.0,2,0.0,0.0,True,True
2026-02-02,0.0001,0.0001,0.0,0.0,0.0001,597971.0,8,0.0,0.0,True,True
2026-01-02,0.0,0.0,0.0,0.0,,714.0,6,,,True,True
2026-01-05,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2026-01-07,0.0,0.0,0.0,0.0,,5001.0,2,,,True,True
2026-01-09,0.0,0.0,0.0,0.0,,797.0,1,,,True,True
2026-01-13,0.0,0.0,0.0,0.0,,183.0,3,,,True,True
2026-01-15,0.0,0.0,0.0,0.0,,491.0,1,,,True,True
2026-01-28,0.0001,0.0001,0.0,0.0,,546000.0,2,,,True,True
2026-02-03,0.0,0.0,0.0,0.0,,300.0,1,,,True,True
2026-02-04,0.0,0.0,0.0,0.0,,1335.0,2,,,True,True
2026-02-05,0.0,0.0,0.0,0.0,,2090.0,3,,,True,True
2026-02-06,0.0,0.0001,0.0,0.0,,11350.0,3,,,True,True
2026-02-19,0.0,0.0,0.0,0.0,,300.0,1,,,True,True
2026-02-23,0.0,0.0,0.0,0.0,,3423.0,2,,,True,True
2026-02-24,0.0,0.0,0.0,0.0,,100000.0,1,,,True,True
