date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2023-02-08,0.0011,0.0011,0.0011,0.0011,0.0012,1790.0,3,9.999999999999983e-05,,False,False
2023-09-22,0.0,0.0001,0.0,0.0001,0.0001,16179.0,6,0.0,0.0,True,True
2023-11-17,0.0,0.0001,0.0,0.0001,0.0001,16990.0,9,0.0,0.0,True,True
2023-12-15,0.0001,0.0001,0.0,0.0,0.0001,14015.0,9,0.0,0.0,True,True
2023-10-31,0.0,0.0,0.0,0.0,,20400.0,2,,,True,True
2023-11-01,0.0,0.0,0.0,0.0,,2000.0,1,,,True,True
2023-11-03,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2023-11-27,0.0,0.0,0.0,0.0,,2000.0,1,,,True,True
2023-11-28,0.0,0.0,0.0,0.0,,4000.0,1,,,True,True
2023-11-29,0.0,0.0,0.0,0.0,,2000.0,1,,,True,True
2023-11-30,0.0,0.0,0.0,0.0,,4000.0,1,,,True,True
2023-12-01,0.0,0.0,0.0,0.0,,3615.0,2,,,True,True
2023-12-04,0.0,0.0,0.0,0.0,,2653.0,3,,,True,True
2023-12-27,0.0,0.0,0.0,0.0,,500.0,1,,,True,True
2023-12-28,0.0,0.0,0.0,0.0,,3000.0,1,,,True,True
2023-12-29,0.0,0.0,0.0,0.0,,805.0,4,,,True,True
