date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-02-08,0.22,0.22,0.22,0.22,0.2219,176.0,3,0.001899999999999985,,False,False
2024-02-12,0.2227,0.2227,0.2227,0.2227,0.2244,467.0,5,0.0016999999999999793,,False,False
2024-01-30,0.25,0.25,0.25,0.25,0.2495,423.0,5,0.0005000000000000004,,False,False
2024-02-09,0.22,0.22,0.22,0.22,0.2196,676.0,7,0.00040000000000001146,,False,False
2024-01-17,0.3,0.3,0.3,0.3,0.3001,606.0,3,9.999999999998899e-05,,False,False
2024-02-14,0.213,0.213,0.213,0.213,0.2129,414.0,3,9.999999999998899e-05,,False,False
2024-12-20,0.0001,0.0001,0.0,0.0,0.0001,31580.0,3,0.0,0.0,True,True
2024-06-25,0.0,0.0002,0.0,0.0002,,5313.0,4,,,True,True
2024-12-11,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2024-12-23,0.0,0.0002,0.0,0.0001,,18595.0,9,,,True,True
