date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-01-30,0.5379,0.5379,0.5379,0.5379,0.4705,202.0,4,0.06740000000000007,,False,False
2024-02-26,0.4979,0.4979,0.4979,0.4979,0.4587,126.0,2,0.03920000000000001,,False,False
2024-09-10,0.13,0.13,0.13,0.13,0.1361,110.0,2,0.006099999999999994,,False,False
2024-11-13,0.07,0.07,0.07,0.07,0.0717,120.0,2,0.0016999999999999932,,False,False
2024-02-22,0.3077,0.3077,0.3077,0.3077,0.3084,1705.0,3,0.0007000000000000339,,False,False
2024-08-23,0.136,0.136,0.136,0.136,0.1354,159.0,2,0.0006000000000000172,,False,False
2024-10-29,0.0795,0.0795,0.0795,0.0795,0.0789,464.0,2,0.0006000000000000033,,False,False
2024-01-08,0.2801,0.2801,0.2801,0.2801,0.2798,203.0,2,0.00030000000000002247,,False,False
2024-06-17,0.2158,0.2158,0.2158,0.2158,0.2155,102.0,2,0.0002999999999999947,,False,False
2024-11-08,0.08,0.08,0.08,0.08,0.0803,1720.0,2,0.0002999999999999947,,False,False
2024-03-18,0.32,0.32,0.32,0.32,0.3203,204.0,3,0.00029999999999996696,,False,False
2024-06-27,0.21,0.21,0.21,0.21,0.2102,1584.0,3,0.00020000000000000573,,False,False
2024-05-08,0.3615,0.3615,0.3615,0.3615,0.3614,505.0,2,9.999999999998899e-05,,False,False
2024-12-10,0.0,0.0001,0.0,0.0001,0.0001,8361.0,4,0.0,0.0,True,True
