date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-04-29,0.015,0.016,0.015,0.015,0.0488,1131.5,16,0.0328,3279.9999999999973,False,False
2024-04-30,0.015,0.015,0.015,0.015,0.0204,76.5,8,0.005400000000000002,,False,False
2024-02-16,0.271,0.271,0.205,0.205,0.275,1507.8,20,0.0040000000000000036,6.060606060606063,False,False
2024-07-09,0.001,0.001,0.001,0.001,0.0032,56.9,9,0.0022,,False,False
2024-05-09,0.02,0.02,0.02,0.02,0.0181,19.7,7,0.001899999999999999,,False,False
2024-04-23,0.02,0.021,0.02,0.021,0.0226,177.9,21,0.0015999999999999973,159.99999999999957,False,False
2024-06-13,0.02,0.02,0.02,0.02,0.0186,21.5,6,0.001400000000000002,,False,False
2024-04-24,0.015,0.015,0.015,0.015,0.0159,97.9,14,0.0009000000000000015,,False,False
2024-08-08,0.01,0.01,0.01,0.01,0.0091,29.5,6,0.0008999999999999998,,False,False
2024-07-22,0.02,0.02,0.02,0.02,0.0193,124.3,3,0.0006999999999999992,,False,False
2024-07-23,0.0,0.0,0.0,0.0,0.0004,71.5,3,0.0004,,True,True
2024-03-20,0.014,0.015,0.014,0.014,0.0153,277.3,18,0.0002999999999999999,30.000000000000018,False,False
2024-06-12,0.001,0.001,0.001,0.001,0.0013,635.0,21,0.0002999999999999999,,False,False
2024-08-29,0.9,0.902,0.9,0.902,0.9023,921.3,39,0.00029999999999996696,14.999999999998336,False,False
2024-03-14,0.013,0.013,0.013,0.013,0.0132,53.6,10,0.00020000000000000052,,False,False
2024-05-15,0.014,0.014,0.014,0.014,0.0142,265.0,16,0.00020000000000000052,,False,False
2024-07-15,0.0,0.0,0.0,0.0,0.0001,1013.4,4,0.0001,,True,True
2024-03-22,0.014,0.014,0.014,0.014,0.0141,53.8,17,9.99999999999994e-05,,False,False
2024-05-07,0.014,0.014,0.014,0.014,0.0141,78.9,14,9.99999999999994e-05,,False,False
2024-07-24,0.0,0.01,0.0,0.0,0.0031,2619.2,19,0.0,0.0,True,True
2024-07-29,0.03,0.03,0.0,0.0,0.0242,423.6,9,0.0,0.0,True,True
2024-08-02,0.0,0.02,0.0,0.0,0.0171,1935.6,18,0.0,0.0,True,True
2024-08-07,0.0,0.02,0.0,0.0,0.0126,99.0,4,0.0,0.0,True,True
2024-08-14,0.0,0.03,0.0,0.0,0.0123,1754.2,30,0.0,0.0,True,True
2024-07-11,0.0,0.0,0.0,0.0,,13.4,1,,,True,True
2024-07-12,0.0,0.0,0.0,0.0,,30.2,4,,,True,True
2024-07-16,0.0,0.0,0.0,0.0,,1066.6,3,,,True,True
2024-07-17,0.0,0.0,0.0,0.0,,29.9,1,,,True,True
2024-07-18,0.0,0.0,0.0,0.0,,2022.8,3,,,True,True
2024-07-25,0.0,0.0,0.0,0.0,,37.7,3,,,True,True
2024-07-26,0.0,0.0,0.0,0.0,,223.2,7,,,True,True
2024-07-30,0.0,0.0,0.0,0.0,,19.5,5,,,True,True
2024-07-31,0.0,0.0,0.0,0.0,,200.7,8,,,True,True
2024-08-01,0.0,0.0,0.0,0.0,,17.7,2,,,True,True
2024-08-05,0.0,0.0,0.0,0.0,,34.9,4,,,True,True
2024-08-06,0.0,0.0,0.0,0.0,,107.9,4,,,True,True
2024-08-09,0.0,0.0,0.0,0.0,,23.6,2,,,True,True
2024-08-12,0.0,0.0,0.0,0.0,,24.6,4,,,True,True
2024-08-16,0.0,0.0,0.0,0.0,,270.4,2,,,True,True
