date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2022-03-16,32.66,32.66,32.66,32.66,33.2469,432.0,17,0.5869,,False,False
2022-07-11,27.13,27.13,27.13,27.13,26.6523,535.0,36,0.4776999999999987,,False,False
2022-03-10,32.98,32.98,32.98,32.98,32.518,348.0,51,0.4619999999999962,,False,False
2022-07-13,26.54,26.54,26.5,26.5,26.0382,3504.0,109,0.4618000000000002,1154.5000000000252,False,False
2022-07-28,27.4,27.4,27.4,27.4,27.0132,398.0,23,0.38679999999999737,,False,False
2022-08-16,29.02,29.02,29.02,29.02,28.7418,231.0,15,0.2781999999999982,,False,False
2022-10-26,23.9999,23.9999,23.9999,23.9999,23.7417,587.0,11,0.25819999999999865,,False,False
2022-08-29,28.0,28.0,28.0,28.0,27.747,1089.0,107,0.2530000000000001,,False,False
2022-04-13,32.2,32.2,32.2,32.2,32.4307,1456.0,59,0.2306999999999988,,False,False
2022-08-09,26.8,26.8,26.8,26.8,27.0276,183.0,15,0.22759999999999891,,False,False
2022-07-26,27.075,27.075,27.075,27.075,26.8724,866.0,55,0.20260000000000034,,False,False
2022-04-25,31.8,31.8,31.8,31.8,31.6204,341.0,29,0.17960000000000065,,False,False
2022-03-07,32.5,32.5,32.5,32.5,32.677,560.0,44,0.1769999999999996,,False,False
2022-06-17,30.2999,30.2999,30.2999,30.2999,30.1343,937.0,17,0.1656000000000013,,False,False
2022-10-06,22.5373,22.5373,22.5373,22.5373,22.6863,938.0,21,0.1490000000000009,,False,False
2022-11-17,23.1,23.1,23.1,23.1,22.9542,1143.0,62,0.14580000000000126,,False,False
2022-09-12,26.38,26.38,26.38,26.38,26.2477,1102.0,32,0.13230000000000075,,False,False
2022-12-21,22.55,22.58,22.55,22.58,22.7052,383.0,20,0.1252000000000031,417.33333333337725,False,False
2022-10-21,24.2999,24.2999,24.2999,24.2999,24.1753,371.0,11,0.12460000000000093,,False,False
2022-11-29,22.892,22.892,22.89,22.89,22.7907,903.0,64,0.0992999999999995,4965.000000002727,False,False
2022-06-09,29.94,29.94,29.94,29.94,29.8437,352.0,19,0.09630000000000294,,False,False
2022-10-31,23.65,23.65,23.5,23.5,23.7386,600.0,32,0.08860000000000312,59.066666666669306,False,False
2022-01-05,32.88,32.88,32.6,32.6,32.9665,876.0,46,0.08650000000000091,30.89285714285734,False,False
2022-12-19,22.53,22.53,22.53,22.53,22.6142,1052.0,29,0.08419999999999916,,False,False
2022-08-15,28.2,28.2,28.2,28.2,28.1193,594.0,38,0.08070000000000022,,False,False
2022-11-09,23.5,23.5,23.5,23.5,23.4205,968.0,91,0.07949999999999946,,False,False
2022-07-25,26.5,26.5,26.5,26.5,26.4207,452.0,56,0.07929999999999993,,False,False
2022-11-03,22.7981,22.93,22.7981,22.93,22.728,1306.0,50,0.07010000000000005,53.14632297194924,False,False
2022-11-18,22.8,22.8,22.8,22.8,22.8564,399.0,24,0.056400000000000006,,False,False
2022-02-09,33.7,33.7,33.7,33.7,33.7524,252.0,6,0.05239999999999867,,False,False
2022-05-09,30.3101,30.3101,30.3101,30.3101,30.3615,286.0,15,0.051400000000001,,False,False
2022-08-24,28.35,28.35,28.35,28.35,28.3078,262.0,24,0.042200000000001125,,False,False
2022-03-11,32.95,32.95,32.92,32.92,32.8838,569.0,40,0.0362000000000009,120.6666666666651,False,False
2022-04-12,32.2,32.2,32.15,32.15,32.2359,741.0,36,0.035899999999998045,71.79999999998996,False,False
2022-04-18,32.4693,32.4693,32.4693,32.4693,32.4355,447.0,40,0.033799999999999386,,False,False
2022-05-27,29.5,29.5,29.5,29.5,29.5329,1072.0,33,0.032900000000001484,,False,False
2022-11-08,23.5,23.5,23.5,23.5,23.4694,1122.0,29,0.03059999999999974,,False,False
2022-06-10,30.3,30.3,30.3,30.3,30.2707,621.0,19,0.029299999999999216,,False,False
2022-02-11,33.79,33.79,33.75,33.79,33.721,971.0,36,0.029000000000003467,72.50000000001022,False,False
2022-10-24,24.25,24.25,24.25,24.25,24.2237,115.0,14,0.026299999999999102,,False,False
2022-10-27,24.0,24.0,24.0,24.0,24.0248,1075.0,12,0.024799999999999045,,False,False
2022-06-03,30.03,30.03,29.99,29.99,29.9678,596.0,26,0.022199999999998,55.49999999999125,False,False
2022-02-25,32.2,32.2,32.2,32.2,32.2154,1646.0,47,0.015399999999999636,,False,False
2022-06-06,30.1463,30.1463,30.1463,30.1463,30.1613,480.0,26,0.015000000000000568,,False,False
2022-09-01,27.84,27.84,27.84,27.84,27.8354,358.0,34,0.0045999999999999375,,False,False
2022-08-19,28.19,28.19,28.19,28.19,28.1857,473.0,35,0.004300000000000637,,False,False
2022-03-02,32.2,32.2,32.2,32.2,32.2042,617.0,32,0.004199999999997317,,False,False
2022-02-04,33.3166,33.47,33.3166,33.47,33.3155,1123.0,25,0.001100000000000989,0.7170795306395079,False,False
2022-11-14,23.4,23.4,23.4,23.4,23.3991,191.0,7,0.0008999999999979025,,False,False
