date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2023-03-21,5.49,5.49,5.49,5.49,5.8069,478.0,24,0.3168999999999995,,False,False
2023-09-11,8.27,8.27,8.27,8.27,8.0245,444.0,62,0.24549999999999983,,False,False
2023-03-28,5.39,5.39,5.39,5.39,5.5998,232.0,18,0.20980000000000043,,False,False
2023-03-02,6.92,6.92,6.92,6.92,6.7161,452.0,50,0.20389999999999997,,False,False
2023-03-14,6.52,6.52,6.52,6.52,6.3286,636.0,45,0.1913999999999998,,False,False
2023-03-22,5.8103,5.8103,5.8103,5.8103,5.973,633.0,25,0.16270000000000007,,False,False
2023-09-20,7.45,7.45,7.45,7.45,7.2939,390.0,21,0.15610000000000035,,False,False
2023-02-23,6.64,6.64,6.64,6.64,6.7909,501.0,65,0.15090000000000003,,False,False
2023-01-13,6.16,6.16,6.16,6.16,6.0122,432.0,28,0.14780000000000015,,False,False
2023-10-24,5.16,5.16,5.16,5.16,5.2856,438.0,20,0.1255999999999995,,False,False
2023-05-22,5.56,5.56,5.56,5.56,5.437,659.0,86,0.12299999999999933,,False,False
2023-02-21,6.71,6.71,6.71,6.71,6.8289,486.0,40,0.1189,,False,False
2023-10-04,6.12,6.1942,6.09,6.1942,6.3093,888.0,42,0.11509999999999998,110.46065259117026,False,False
2023-06-20,6.17,6.17,6.17,6.17,6.0572,335.0,27,0.11280000000000001,,False,False
2023-10-23,5.13,5.13,5.13,5.13,5.2392,203.0,22,0.10920000000000041,,False,False
2023-04-18,5.48,5.48,5.48,5.48,5.5891,320.0,38,0.10909999999999975,,False,False
2023-12-29,5.5,5.5,5.5,5.5,5.3934,386.0,34,0.10660000000000025,,False,False
2023-12-14,5.25,5.25,5.25,5.25,5.145,565.0,54,0.10500000000000043,,False,False
2023-08-28,8.31,8.31,8.31,8.31,8.2148,478.0,24,0.09520000000000017,,False,False
2023-03-06,6.26,6.35,6.26,6.3262,6.4343,2062.0,83,0.08430000000000071,93.6666666666676,False,False
2023-10-05,6.66,6.66,6.66,6.66,6.5761,461.0,31,0.08389999999999986,,False,False
2023-03-07,6.4,6.4,6.4,6.4,6.4813,563.0,28,0.0812999999999997,,False,False
2023-11-28,5.35,5.35,5.35,5.35,5.2718,412.0,54,0.07819999999999983,,False,False
2023-11-27,5.07,5.12,5.07,5.12,5.1962,1031.0,47,0.07620000000000005,152.40000000000063,False,False
2023-11-29,5.55,5.55,5.51,5.51,5.4434,673.0,37,0.06660000000000021,166.5000000000004,False,False
2023-09-12,7.85,7.85,7.85,7.85,7.9153,481.0,51,0.06530000000000058,,False,False
2023-11-17,5.2863,5.2863,5.2863,5.2863,5.3509,627.0,20,0.06460000000000043,,False,False
2023-12-01,5.63,5.63,5.63,5.63,5.5666,328.0,37,0.06339999999999968,,False,False
2023-03-24,5.51,5.51,5.49,5.49,5.5732,597.0,44,0.06320000000000014,316.00000000000745,False,False
2023-08-31,7.85,7.85,7.85,7.85,7.9131,497.0,37,0.06310000000000038,,False,False
2023-12-22,5.31,5.31,5.31,5.31,5.3704,430.0,26,0.06040000000000045,,False,False
2023-09-06,8.2,8.2,8.2,8.2,8.1432,380.0,22,0.05679999999999907,,False,False
2023-04-20,5.5,5.5,5.5,5.5,5.5556,538.0,48,0.055600000000000094,,False,False
2023-12-11,5.25,5.25,5.25,5.25,5.1968,532.0,32,0.05320000000000036,,False,False
2023-01-24,5.59,5.6,5.57,5.57,5.6507,946.0,31,0.05069999999999997,169.0000000000035,False,False
2023-04-14,6.13,6.13,6.13,6.13,6.1784,343.0,23,0.0484,,False,False
2023-12-08,5.25,5.25,5.25,5.25,5.2979,393.0,20,0.047900000000000276,,False,False
2023-09-25,6.5,6.5,6.5,6.5,6.5439,1332.0,110,0.04389999999999983,,False,False
2023-03-10,5.99,5.99,5.99,5.99,5.9482,766.0,42,0.04180000000000028,,False,False
2023-04-03,5.7405,5.7405,5.7405,5.7405,5.7,377.0,26,0.04049999999999976,,False,False
2023-02-17,6.7626,6.8,6.71,6.71,6.8385,874.0,72,0.03849999999999998,42.77777777777782,False,False
2023-01-31,5.94,5.94,5.94,5.94,5.9018,379.0,28,0.03820000000000068,,False,False
2023-11-16,5.25,5.25,5.25,5.25,5.2876,159.0,12,0.0376000000000003,,False,False
2023-02-22,6.71,6.81,6.71,6.81,6.8474,697.0,39,0.037400000000000766,37.4000000000009,False,False
2023-08-15,7.8,7.8,7.7601,7.7601,7.8369,483.0,32,0.036900000000000155,92.48120300752062,False,False
2023-06-14,6.1,6.13,6.1,6.1,6.0642,717.0,16,0.035800000000000054,119.33333333333252,False,False
2023-02-02,5.95,5.95,5.95,5.95,5.9847,624.0,35,0.03469999999999995,,False,False
2023-09-28,6.5,6.5,6.5,6.5,6.5323,1131.0,67,0.03230000000000022,,False,False
2023-02-10,6.5,6.647,6.5,6.647,6.469,440.0,28,0.030999999999999694,21.088435374149416,False,False
2023-02-28,6.22,6.22,6.22,6.22,6.2505,161.0,15,0.03049999999999997,,False,False
2023-01-06,5.29,5.29,5.23,5.23,5.3182,329.0,23,0.028200000000000003,47.00000000000031,False,False
2023-11-20,5.5,5.5,5.4999,5.5,5.4762,2080.0,42,0.023699999999999832,23700.000000055068,False,False
2023-11-22,5.02,5.02,5.02,5.02,5.0423,1141.0,25,0.02230000000000043,,False,False
2023-12-12,5.25,5.25,5.2499,5.2499,5.272,683.0,28,0.02200000000000024,22000.000000051514,False,False
2023-09-21,7.154,7.154,7.154,7.154,7.1326,332.0,49,0.021399999999999864,,False,False
2023-01-11,5.8501,5.86,5.85,5.86,5.8793,669.0,36,0.01929999999999943,192.99999999998127,False,False
2023-03-16,5.82,5.82,5.68,5.68,5.8368,819.0,44,0.016799999999999926,11.999999999999899,False,False
2023-10-27,5.211,5.2116,5.211,5.2116,5.2255,715.0,17,0.013900000000000468,2316.6666666687142,False,False
2023-10-12,6.0,6.0,6.0,6.0,5.9865,1057.0,30,0.013499999999999623,,False,False
2023-03-01,6.3501,6.51,6.3501,6.51,6.5223,538.0,27,0.012300000000000644,7.69230769230812,False,False
2023-11-07,5.7,5.7,5.7,5.7,5.6887,802.0,38,0.01130000000000031,,False,False
2023-09-19,7.45,7.45,7.41,7.41,7.4023,464.0,26,0.007699999999999818,19.249999999999527,False,False
2023-01-10,5.7,5.73,5.7,5.73,5.693,483.0,20,0.007000000000000561,23.333333333335013,False,False
2023-10-03,6.9,6.9,6.86,6.87,6.8576,429.0,11,0.002400000000000624,6.000000000001554,False,False
2023-06-29,6.4599,6.4599,6.4,6.4,6.3989,921.0,25,0.001100000000000101,1.8363939899834787,False,False
2023-01-25,5.58,5.58,5.53,5.53,5.581,559.0,27,0.001000000000000334,2.000000000000675,False,False
2023-10-20,5.4,5.4,5.4,5.4,5.4004,1250.0,40,0.00039999999999995595,,False,False
