date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2021-07-07,9.67,9.69,9.67,9.68,9.6558,32485.0,21,0.014200000000000657,71.0000000000048,False,False
2021-06-15,9.6614,9.6614,9.6614,9.6614,9.6751,204.0,3,0.013700000000000045,,False,False
2021-07-06,9.63,9.63,9.63,9.63,9.6394,140.0,2,0.009399999999999409,,False,False
2021-11-03,9.72,9.72,9.71,9.71,9.7263,14984.0,84,0.006299999999999528,62.999999999996625,False,False
2021-11-10,9.72,9.72,9.72,9.72,9.7173,1820.0,6,0.002700000000000813,,False,False
2021-05-05,9.72,9.72,9.72,9.72,9.7188,1154.0,19,0.001200000000000756,,False,False
2021-10-25,9.75,9.75,9.75,9.75,9.7488,970.0,14,0.001200000000000756,,False,False
2021-07-22,9.65,9.65,9.65,9.65,9.6489,567.0,8,0.001100000000000989,,False,False
2021-07-15,9.64,9.64,9.64,9.64,9.6393,856.0,10,0.000700000000000145,,False,False
2021-07-28,9.64,9.64,9.64,9.64,9.6406,4424.0,17,0.0005999999999986017,,False,False
2021-11-04,9.71,9.71,9.71,9.71,9.7104,1448.0,7,0.00039999999999906777,,False,False
2021-09-24,9.73,9.73,9.73,9.73,9.7297,295.0,2,0.0003000000000010772,,False,False
2021-06-25,9.72,9.72,9.72,9.72,9.7198,1021.0,4,0.00020000000000131024,,False,False
2021-08-11,9.65,9.65,9.65,9.65,9.6502,8233.0,12,0.00019999999999953388,,False,False
