date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-02-25,7.36,7.36,7.36,7.36,7.6052,1098.0,161,0.24519999999999964,,False,False
2025-07-28,7.82,7.86,7.82,7.86,8.0223,1446.0,65,0.16229999999999922,405.74999999999767,False,False
2025-02-27,7.63,7.63,7.63,7.63,7.476,717.0,41,0.15399999999999991,,False,False
2025-02-04,7.8,7.8,7.8,7.8,7.6607,403.0,41,0.13929999999999954,,False,False
2025-07-18,8.15,8.15,8.15,8.15,8.2878,438.0,61,0.13780000000000037,,False,False
2025-03-28,7.4,7.4,7.4,7.4,7.4929,509.0,85,0.09289999999999932,,False,False
2025-08-22,7.31,7.31,7.31,7.31,7.3786,1065.0,40,0.0686,,False,False
2025-01-30,7.8553,7.8553,7.66,7.7,7.9162,2828.0,74,0.060900000000000176,31.18279569892489,False,False
2025-12-05,6.19,6.19,6.175,6.175,6.2503,720.0,238,0.0602999999999998,401.9999999999834,False,False
2025-10-01,7.18,7.18,7.18,7.18,7.2359,308.0,43,0.05590000000000028,,False,False
2025-04-15,6.3,6.3,6.25,6.25,6.1952,1096.0,45,0.05480000000000018,109.60000000000075,False,False
2025-02-06,7.73,7.77,7.73,7.77,7.6766,3743.0,200,0.05340000000000078,133.5000000000048,False,False
2025-05-29,6.1686,6.1686,6.1686,6.1686,6.119,1031.0,46,0.049599999999999866,,False,False
2025-07-10,7.66,7.66,7.5,7.52,7.7079,2585.0,59,0.047900000000000276,29.937500000000146,False,False
2025-03-10,7.19,7.19,7.19,7.19,7.1438,471.0,41,0.046200000000000685,,False,False
2025-08-28,7.99,7.99,7.99,7.99,7.9477,803.0,58,0.042300000000000004,,False,False
2025-05-22,6.345,6.37,6.345,6.37,6.305,513.0,45,0.040000000000000036,159.99999999999787,False,False
2025-03-11,7.2,7.2,7.2,7.2,7.1633,350.0,38,0.03670000000000062,,False,False
2025-04-14,6.31,6.35,6.3,6.3,6.2657,11327.0,525,0.0343,68.60000000000024,False,False
2025-08-07,7.9,7.9,7.9,7.9,7.934,291.0,25,0.03399999999999981,,False,False
2025-09-05,7.75,7.75,7.75,7.75,7.7789,797.0,33,0.028900000000000148,,False,False
2025-08-19,7.31,7.3101,7.31,7.3101,7.3356,560.0,33,0.025500000000000078,25499.999999833024,False,False
2025-09-26,7.41,7.41,7.41,7.41,7.3847,777.0,47,0.025300000000000544,,False,False
2025-06-13,6.13,6.13,6.07,6.07,6.0472,796.0,81,0.022800000000000153,38.000000000000504,False,False
2025-05-23,6.26,6.26,6.26,6.26,6.2827,1905.0,74,0.022700000000000387,,False,False
2025-06-05,6.15,6.15,6.15,6.15,6.1705,741.0,52,0.020499999999999297,,False,False
2025-11-25,5.96,6.0652,5.96,6.0652,6.0835,1671.0,148,0.018299999999999983,17.395437262357405,False,False
2025-09-25,7.25,7.34,7.25,7.34,7.234,774.0,35,0.016000000000000014,17.77777777777782,False,False
2025-10-20,6.76,6.76,6.75,6.75,6.7744,1216.0,54,0.01440000000000019,144.00000000000497,False,False
2025-08-29,8.0,8.0064,8.0,8.0064,7.9858,465.0,33,0.014199999999999768,221.8750000000208,False,False
2025-12-02,6.3132,6.3132,6.25,6.25,6.237,1692.0,129,0.0129999999999999,20.569620253164352,False,False
2025-06-30,7.22,7.25,7.22,7.25,7.2087,1048.0,63,0.011299999999999422,37.666666666664426,False,False
2025-11-12,6.37,6.37,6.29,6.29,6.3812,2818.0,248,0.011199999999999655,13.999999999999556,False,False
2025-03-04,7.36,7.36,7.36,7.36,7.3709,1245.0,49,0.010899999999999466,,False,False
2025-11-19,6.2,6.2,6.1711,6.1711,6.1619,456.0,62,0.009199999999999875,31.83391003460148,False,False
2025-05-20,6.4,6.4,6.34,6.34,6.4087,756.0,48,0.008699999999999264,14.499999999998654,False,False
2025-05-30,6.3,6.3,6.3,6.3,6.2914,785.0,40,0.008599999999999497,,False,False
2025-10-10,7.39,7.39,7.31,7.31,7.3978,2392.0,56,0.007800000000000473,9.750000000000583,False,False
2025-10-21,6.76,6.76,6.75,6.75,6.7443,2172.0,53,0.005700000000000038,57.0000000000016,False,False
2025-10-22,6.6599,6.6599,6.6599,6.6599,6.6545,402.0,30,0.0054000000000007375,,False,False
2025-02-18,7.51,7.51,7.51,7.51,7.5052,3208.0,230,0.004799999999999471,,False,False
2025-02-19,7.41,7.41,7.41,7.41,7.4076,373.0,54,0.0023999999999997357,,False,False
2025-07-17,8.2,8.2,8.15,8.15,8.2022,2596.0,94,0.002200000000000202,4.400000000000498,False,False
2025-10-07,7.6147,7.6147,7.6147,7.6147,7.6155,1820.0,81,0.0007999999999999119,,False,False
2025-10-23,6.62,6.69,6.62,6.69,6.6901,1252.0,51,9.999999999976694e-05,0.14285714285680934,False,False
