date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2016-07-12,24.65,24.65,24.65,24.65,24.2228,179,4,0.42719999999999914,,False,False
2016-03-17,22.31,22.31,22.31,22.31,22.6616,298,8,0.35160000000000124,,False,False
2016-09-09,22.17,22.17,22.16,22.16,22.4461,319,7,0.27609999999999957,2760.999999999564,False,False
2016-02-16,22.55,22.55,22.55,22.55,22.6893,135,7,0.13929999999999865,,False,False
2016-02-10,22.8912,23.13,22.8912,23.13,22.755,596,11,0.13620000000000232,57.03517587939851,False,False
2016-01-26,22.58,23.0,22.58,23.0,22.475,520,9,0.10499999999999687,24.999999999999154,False,False
2016-05-24,21.87,21.91,21.87,21.91,21.9894,581,12,0.07939999999999969,198.50000000000347,False,False
2016-04-28,21.8164,21.8164,21.8164,21.8164,21.8845,445,2,0.0680999999999976,,False,False
2016-02-18,23.23,23.23,23.23,23.23,23.1831,113,2,0.04690000000000083,,False,False
2016-11-10,23.15,23.15,23.15,23.15,23.1914,156,5,0.04140000000000299,,False,False
2016-12-22,25.25,25.25,25.25,25.25,25.2125,255,4,0.03750000000000142,,False,False
2016-02-02,22.95,22.95,22.95,22.95,22.9135,114,3,0.0365000000000002,,False,False
2016-10-17,23.3,23.3,23.3,23.3,23.2665,352,5,0.033500000000000085,,False,False
2016-10-28,23.2,23.2,23.2,23.2,23.1738,337,5,0.026199999999999335,,False,False
2016-01-28,22.95,22.95,22.95,22.95,22.9267,172,4,0.023299999999998988,,False,False
2016-01-14,22.55,22.55,22.55,22.55,22.5692,1037,6,0.019199999999997885,,False,False
2016-02-05,23.13,23.13,23.13,23.13,23.1124,121,7,0.01759999999999806,,False,False
2016-11-04,23.3,23.3,23.3,23.3,23.2834,1122,4,0.016600000000000392,,False,False
2016-04-22,21.2446,21.2446,21.2446,21.2446,21.2292,472,6,0.015399999999999636,,False,False
2016-10-25,23.1,23.1,23.1,23.1,23.1153,144,3,0.01529999999999987,,False,False
2016-08-25,22.1545,22.1545,22.1376,22.1376,22.1229,651,5,0.014699999999997715,86.98224852069812,False,False
2016-02-01,22.81,22.81,22.81,22.81,22.7953,134,6,0.014699999999997715,,False,False
2016-01-25,23.29,23.29,23.29,23.29,23.3045,205,5,0.014500000000001734,,False,False
2016-09-14,22.5501,22.5501,22.5501,22.5501,22.5629,182,5,0.01279999999999859,,False,False
2016-02-25,22.5101,22.5101,22.5101,22.5101,22.5227,271,8,0.012599999999999056,,False,False
2016-12-23,25.2,25.25,25.2,25.25,25.1879,1578,23,0.012100000000000222,24.2000000000001,False,False
2016-12-21,25.05,25.05,25.05,25.05,25.0387,282,4,0.011300000000002086,,False,False
2016-09-29,22.74,22.74,22.74,22.74,22.7503,445,7,0.010300000000000864,,False,False
2016-01-27,22.96,22.96,22.96,22.96,22.9503,124,3,0.009700000000002262,,False,False
2016-11-29,23.76,23.76,23.76,23.76,23.7677,456,3,0.007699999999999818,,False,False
2016-06-01,21.75,21.7531,21.6485,21.7531,21.7603,789,7,0.007200000000000983,6.883365200765669,False,False
2016-10-19,23.1,23.1,23.1,23.1,23.1049,265,6,0.004899999999999238,,False,False
2016-04-07,21.3,21.3,21.3,21.3,21.304,109,4,0.003999999999997783,,False,False
2016-07-21,23.5,23.5,23.5,23.5,23.5039,419,10,0.003900000000001569,,False,False
2016-09-19,23.78,23.78,23.78,23.78,23.7769,251,2,0.0030999999999998806,,False,False
2016-03-09,23.85,23.85,23.85,23.85,23.847,891,12,0.0030000000000001137,,False,False
2016-08-09,21.76,21.76,21.76,21.76,21.7627,330,3,0.00269999999999726,,False,False
2016-06-22,21.15,21.15,21.15,21.15,21.1486,210,5,0.00140000000000029,,False,False
2016-02-24,22.641,22.641,22.641,22.641,22.64,102,2,0.0009999999999976694,,False,False
2016-10-20,23.1,23.105,23.1,23.105,23.1058,616,7,0.0007999999999981355,15.999999999965894,False,False
2016-01-12,22.5001,22.5001,22.5001,22.5001,22.4996,992,8,0.0004999999999988347,,False,False
2016-04-11,21.4505,21.4505,21.4505,21.4505,21.4508,151,2,0.0002999999999993008,,False,False
