date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2023-07-20,69187.5,71120.625,65625.0,69375.0,78880.125,4.913173,1117,7759.5,141.194131695667,False,False
2023-05-10,81562.5,81937.5,70033.125,79500.0,88527.25,32.361707,6457,6589.75,55.35569906021946,False,False
2023-07-26,69000.0,71812.5,68437.5,69678.75,74549.5,0.73104,247,2737.0,81.0962962962963,False,False
2023-09-06,62250.0,62250.0,62250.0,62250.0,60342.125,0.092853,62,1907.875,,False,False
2023-12-18,23250.0,24375.0,23062.5,23625.0,25767.125,82.240907,4825,1392.125,106.06666666666666,False,False
2023-08-07,59064.375,59064.375,59064.375,59064.375,60119.75,0.089387,139,1055.375,,False,False
2023-08-25,56625.0,56625.0,56437.5,56437.5,57290.0,0.107147,54,665.0,354.6666666666667,False,False
2023-08-30,62812.5,63375.0,61687.5,61687.5,61193.75,0.089387,65,493.75,29.25925925925926,False,False
2023-08-29,61125.0,61125.0,61125.0,61125.0,61530.5,0.008213,5,405.5,,False,False
2023-07-11,79475.625,84187.5,79125.0,79687.5,84418.875,0.786187,210,231.375,4.57037037037037,False,False
2023-09-22,91687.5,107418.75,91500.0,105093.75,91476.75,16.89232,606,23.25,0.14605418138987045,False,False
2023-07-06,81564.375,81564.375,81562.5,81562.5,81577.125,0.04976,15,12.75,680.0,False,False
