date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-03-19,125360.0,164000.0,125360.0,159200.0,205872.0,12.810557,7508,41872.0,108.36438923395445,False,False
2024-07-09,12800.0,13500.0,9102.0,9676.0,14864.6,1569.1995,70590,1364.6000000000004,31.027739881764447,False,False
2024-06-10,49680.0,58800.0,44160.0,55240.0,59388.0,24.87695,8403,588.0,4.016393442622951,False,False
2024-11-07,865.0,865.0,662.0,701.0,1150.3,14025.3617,242246,285.29999999999995,140.54187192118223,False,False
2024-10-25,1305.0,1320.0,1212.0,1286.0,1418.3,1153.1616,7468,98.29999999999995,91.01851851851849,False,False
2024-11-21,409.0,431.0,359.0,400.0,505.927,93837.8,80043,74.92700000000002,104.06527777777781,False,False
2024-10-09,1467.0,1467.0,1330.0,1340.0,1540.9,938.549,6603,73.90000000000009,53.94160583941613,False,False
2024-09-05,4352.0,4460.0,4000.0,4327.0,4525.1,149.287,2322,65.10000000000036,14.152173913043557,False,False
2024-09-24,3197.0,3300.0,2400.0,2620.0,3360.9,8508.6393,113633,60.90000000000009,6.766666666666676,False,False
2024-12-10,325.0,337.0,285.0,323.0,393.349,109108.82,93329,56.34899999999999,108.36346153846151,False,False
2024-11-27,378.0,395.0,314.0,345.0,418.993,181366.0,167896,23.992999999999995,29.620987654320977,False,False
2024-10-10,1490.0,1490.0,1325.0,1365.0,1510.0,1726.4275,14772,20.0,12.121212121212121,False,False
2024-12-12,326.0,362.0,294.0,329.0,367.956,51178.03,39910,5.956000000000017,8.75882352941179,False,False
