ticker,cik,first_seen_date,last_seen_date,list_date,delisted_utc,fin_min_date,fin_max_date,datasets_with_rows,total_rows,official_list_date,official_delist_date,cik_lifecycle,start_ref,end_ref,anomaly_pre_start,anomaly_post_end,temporal_status
AA,4281.0,2005-01-01 00:00:00+00:00,2016-10-31 00:00:00+00:00,,,2010-03-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,363,,,,2005-01-01 00:00:00+00:00,2016-10-31 00:00:00+00:00,False,True,ANOMALY_POST_END
AAC,1099290.0,2008-10-03 00:00:00+00:00,2010-02-07 00:00:00+00:00,,,2014-12-31 00:00:00+00:00,2023-06-30 00:00:00+00:00,3,169,,,,2008-10-03 00:00:00+00:00,2010-02-07 00:00:00+00:00,False,True,ANOMALY_POST_END
AAGR,1848898.0,2023-12-07 00:00:00+00:00,2024-09-25 00:00:00+00:00,,,2023-12-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,14,,,,2023-12-07 00:00:00+00:00,2024-09-25 00:00:00+00:00,False,True,ANOMALY_POST_END
AAN,706688.0,2009-04-21 00:00:00+00:00,2010-12-13 00:00:00+00:00,,,2020-12-31 00:00:00+00:00,2024-06-30 00:00:00+00:00,3,82,,,,2009-04-21 00:00:00+00:00,2010-12-13 00:00:00+00:00,False,True,ANOMALY_POST_END
AATC,943034.0,2021-07-21 00:00:00+00:00,2022-12-29 00:00:00+00:00,,,2021-09-30 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,29,,,,2021-07-21 00:00:00+00:00,2022-12-29 00:00:00+00:00,False,True,ANOMALY_POST_END
ABB,1091587.0,2005-01-01 00:00:00+00:00,2016-10-24 00:00:00+00:00,,,2010-12-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,3,78,,,,2005-01-01 00:00:00+00:00,2016-10-24 00:00:00+00:00,False,True,ANOMALY_POST_END
ABEO,318306.0,2016-10-25 00:00:00+00:00,2026-03-09 00:00:00+00:00,,,2015-06-30 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,241,2014-11-04 00:00:00+00:00,2019-12-20 00:00:00+00:00,318306.0,2014-11-04 00:00:00+00:00,2019-12-20 00:00:00+00:00,False,True,ANOMALY_POST_END
ABL,4611.0,2008-10-03 00:00:00+00:00,2012-01-26 00:00:00+00:00,,,2023-09-30 00:00:00+00:00,2025-09-30 00:00:00+00:00,3,51,,,,2008-10-03 00:00:00+00:00,2012-01-26 00:00:00+00:00,False,True,ANOMALY_POST_END
ABP,,2018-05-11 00:00:00+00:00,2018-05-13 00:00:00+00:00,,,2024-12-31 00:00:00+00:00,2026-02-20 00:00:00+00:00,4,24,2022-01-13 00:00:00+00:00,2024-11-12 00:00:00+00:00,1893219.0,2022-01-13 00:00:00+00:00,2024-11-12 00:00:00+00:00,False,True,ANOMALY_POST_END
AC,825313.0,2005-01-01 00:00:00+00:00,2006-02-26 00:00:00+00:00,,,2015-12-31 00:00:00+00:00,2025-06-30 00:00:00+00:00,3,224,,,,2005-01-01 00:00:00+00:00,2006-02-26 00:00:00+00:00,False,True,ANOMALY_POST_END
ACA,1304623.0,2006-11-10 00:00:00+00:00,2007-12-17 00:00:00+00:00,,,2018-12-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,170,,,,2006-11-10 00:00:00+00:00,2007-12-17 00:00:00+00:00,False,True,ANOMALY_POST_END
ACB,,2019-09-24 00:00:00+00:00,2019-09-24 00:00:00+00:00,,,2019-06-30 00:00:00+00:00,2025-03-31 00:00:00+00:00,3,41,2018-12-26 00:00:00+00:00,2021-05-24 00:00:00+00:00,1683541.0,2018-12-26 00:00:00+00:00,2021-05-24 00:00:00+00:00,False,True,ANOMALY_POST_END
ACDC,1881487.0,2022-05-12 00:00:00+00:00,2026-03-09 00:00:00+00:00,,,2022-12-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,70,2022-05-10 00:00:00+00:00,2023-11-07 00:00:00+00:00,1881487.0,2022-05-10 00:00:00+00:00,2023-11-07 00:00:00+00:00,False,True,ANOMALY_POST_END
ACEL,1698991.0,2019-11-21 00:00:00+00:00,2026-03-09 00:00:00+00:00,,,2019-12-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,147,2017-06-26 00:00:00+00:00,2020-08-07 00:00:00+00:00,1698991.0,2017-06-26 00:00:00+00:00,2020-08-07 00:00:00+00:00,False,True,ANOMALY_POST_END
ACET,2034.0,2016-10-25 00:00:00+00:00,2019-04-02 00:00:00+00:00,,,2020-09-30 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,121,2018-01-22 00:00:00+00:00,,1720580.0,2018-01-22 00:00:00+00:00,2019-04-02 00:00:00+00:00,False,True,ANOMALY_POST_END
ACHV,949858.0,2017-08-03 00:00:00+00:00,2018-05-23 00:00:00+00:00,,,2017-09-30 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,190,,,,2017-08-03 00:00:00+00:00,2018-05-23 00:00:00+00:00,False,True,ANOMALY_POST_END
ACI,1037676.0,2005-01-01 00:00:00+00:00,2016-01-11 00:00:00+00:00,,,2010-03-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,256,,,,2005-01-01 00:00:00+00:00,2016-01-11 00:00:00+00:00,False,True,ANOMALY_POST_END
ACIC,1824502.0,2020-12-18 00:00:00+00:00,2021-09-16 00:00:00+00:00,,,2020-12-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,71,2012-12-10 00:00:00+00:00,,1401521.0,2012-12-10 00:00:00+00:00,2021-09-16 00:00:00+00:00,False,True,ANOMALY_POST_END
ACII,1838614.0,2021-03-29 00:00:00+00:00,2022-12-01 00:00:00+00:00,,,2021-03-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,33,,,,2021-03-29 00:00:00+00:00,2022-12-01 00:00:00+00:00,False,True,ANOMALY_POST_END
ACON,1635077.0,2022-04-22 00:00:00+00:00,2026-03-09 00:00:00+00:00,,,2022-06-30 00:00:00+00:00,2026-03-06 00:00:00+00:00,4,80,2022-04-20 00:00:00+00:00,2024-08-13 00:00:00+00:00,1635077.0,2022-04-20 00:00:00+00:00,2024-08-13 00:00:00+00:00,False,True,ANOMALY_POST_END
