column,rows,nulls,inf_rows,min,max
bar_count_raw,243,0,0,1.0,958.0
close_norm,243,0,0,0.0658,144.47
close_raw,243,0,0,0.125,81.45
cum_volume_session_raw,243,0,0,16.666667,118964249.72
distance_to_n_day_high_5,243,16,0,-0.7021812080536913,31.0485
distance_to_n_day_low_5,243,16,0,-0.5644840520605191,76.93345008756567
distance_to_prev_day_range_center,243,8,0,-0.6676272814601345,50.4009623095429
gap_open_vs_prev_close,243,8,0,-0.6666666666666667,51.71134868421053
high_norm,243,0,0,0.0843,145.93
high_raw,243,0,0,0.131,82.56
intraday_return_since_open_raw,243,0,0,-0.3274392169245342,0.5981425287356321
low_norm,243,0,0,0.0571,142.2196
low_raw,243,0,0,0.1201,79.53
max_future_split_factor_in_day,243,0,0,0.0166666666666666,2.0
multi_session_return_3d_to_open,243,24,0,-0.6758478545999624,47.125493291239145
multi_session_return_5d_to_open,243,40,0,-0.5938967136150235,66.629179331307
open_norm,243,0,0,0.0683,142.75
open_raw,243,0,0,0.125,81.45
open_vs_prev_session_close,243,8,0,-0.6666666666666667,51.71134868421053
open_vs_prev_session_high,243,8,0,-0.6831501831501832,49.07578125
open_vs_prev_session_low,243,8,0,-0.6505050505050505,54.625
opening_drive_30m_raw,243,0,0,-0.156,0.2960733075850768
overnight_gap_zscore_20,243,48,0,-85.29103450921237,9139.077130983986
prev_day_range_pct_norm,243,8,0,0.0,2.7169357530006097
pullback_from_session_high_raw,243,0,0,-0.6354907718120806,0.0
range_expansion_vs_prev_day_norm,243,13,0,-1.0,6595.999999956781
realized_vol_1d_norm,243,0,0,0.0,1.907889232559168
realized_vol_prev_3_sessions_norm,243,8,0,0.0,0.9522700075465516
session_range_abs_norm,243,0,0,0.0,23.6099
session_range_pct_raw,243,0,0,0.0,4.342050574712643
session_vwap_distance_raw,243,0,0,-0.2751278798313821,0.3515465400117594
session_vwap_raw,243,0,0,0.1266880636818495,81.58651504302141
year,243,0,0,2006.0,2025.0
