relative_path,column,unique_values,unique_count,matches_expected
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,feature_contract,intraday_regime_features_v0_1,1,True
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,feature_grain,ticker_day,1,True
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,cross_session_price_view,1m_split_normalized_v0_1,1,True
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,intraday_price_view,1m_raw,1,True
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,feature_contract,intraday_regime_features_v0_1,1,True
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,feature_grain,ticker_day,1,True
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,cross_session_price_view,1m_split_normalized_v0_1,1,True
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,intraday_price_view,1m_raw,1,True
ticker=CEI/year=2022/day_features_CEI_2022.parquet,feature_contract,intraday_regime_features_v0_1,1,True
ticker=CEI/year=2022/day_features_CEI_2022.parquet,feature_grain,ticker_day,1,True
ticker=CEI/year=2022/day_features_CEI_2022.parquet,cross_session_price_view,1m_split_normalized_v0_1,1,True
ticker=CEI/year=2022/day_features_CEI_2022.parquet,intraday_price_view,1m_raw,1,True
ticker=COSM/year=2022/day_features_COSM_2022.parquet,feature_contract,intraday_regime_features_v0_1,1,True
ticker=COSM/year=2022/day_features_COSM_2022.parquet,feature_grain,ticker_day,1,True
ticker=COSM/year=2022/day_features_COSM_2022.parquet,cross_session_price_view,1m_split_normalized_v0_1,1,True
ticker=COSM/year=2022/day_features_COSM_2022.parquet,intraday_price_view,1m_raw,1,True
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,feature_contract,intraday_regime_features_v0_1,1,True
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,feature_grain,ticker_day,1,True
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,cross_session_price_view,1m_split_normalized_v0_1,1,True
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,intraday_price_view,1m_raw,1,True
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,feature_contract,intraday_regime_features_v0_1,1,True
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,feature_grain,ticker_day,1,True
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,cross_session_price_view,1m_split_normalized_v0_1,1,True
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,intraday_price_view,1m_raw,1,True
ticker=PD/year=2006/day_features_PD_2006.parquet,feature_contract,intraday_regime_features_v0_1,1,True
ticker=PD/year=2006/day_features_PD_2006.parquet,feature_grain,ticker_day,1,True
ticker=PD/year=2006/day_features_PD_2006.parquet,cross_session_price_view,1m_split_normalized_v0_1,1,True
ticker=PD/year=2006/day_features_PD_2006.parquet,intraday_price_view,1m_raw,1,True
ticker=SAVA/year=2023/day_features_SAVA_2023.parquet,feature_contract,intraday_regime_features_v0_1,1,True
ticker=SAVA/year=2023/day_features_SAVA_2023.parquet,feature_grain,ticker_day,1,True
ticker=SAVA/year=2023/day_features_SAVA_2023.parquet,cross_session_price_view,1m_split_normalized_v0_1,1,True
ticker=SAVA/year=2023/day_features_SAVA_2023.parquet,intraday_price_view,1m_raw,1,True
