ticker,final_policy_bucket_lt1b,file_month_count
HVT.A,good,154
AVD,bad,148
BFS,bad,148
BGS,bad,148
CLB,bad,148
CLDT,bad,148
CLW,bad,148
CMP,bad,148
CPF,bad,148
CSV,bad,148
DIN,bad,148
EBF,bad,148
EBS,bad,148
EIG,bad,148
FC,bad,148
FF,bad,148
FSP,bad,148
GCO,bad,148
GDOT,bad,148
HPP,bad,148
HVT,bad,148
HY,bad,148
HZO,bad,148
KOP,bad,148
LXU,bad,148
MCS,bad,148
MED,bad,148
MEI,bad,148
MG,bad,148
MOV,bad,148
MYE,bad,148
NGS,bad,148
NGVC,bad,148
NPK,bad,148
NSP,bad,148
OLP,bad,148
OPY,bad,148
ORN,bad,148
OXM,bad,148
PBYI,bad,148
PKE,bad,148
QUAD,bad,148
RGR,bad,148
RM,bad,148
RMAX,bad,148
RWT,bad,148
SMP,bad,148
SRI,bad,148
SSP,bad,148
SSTK,bad,148
TBI,bad,148
TG,bad,148
TRC,bad,148
UHT,bad,148
UIS,bad,148
USNA,bad,148
UTL,bad,148
VPG,bad,148
WSR,bad,148
AMC,bad,147
BH,bad,147
CATO,bad,147
EPM,bad,147
GHM,bad,147
KODK,bad,147
KRO,bad,147
MITT,bad,147
MLR,bad,147
NX,bad,147
UFI,bad,147
AHT,bad,146
BBW,bad,146
CVR,review,146
IVR,bad,146
NEN,review,146
RGS,bad,146
TLYS,bad,146
CIA,bad,145
CPS,bad,145
GES,bad,145
NUS,bad,145
ORC,bad,145
SXC,bad,145
ACCO,bad,144
AIV,bad,144
INN,bad,144
NC,bad,144
ACRE,bad,143
DHX,bad,143
CKX,review,142
CODI,bad,142
GNE,bad,142
GTN,bad,142
HRTG,bad,142
OIS,bad,142
PDM,bad,142
REI,bad,142
ASC,bad,141
INO,bad,141
RYAM,bad,141
TISI,bad,140
TK,bad,140
EVC,bad,139
LGL,review,139
TWI,bad,139
WHG,bad,139
BDN,bad,138
BZH,bad,138
SUP,bad,138
TSE,bad,138
TWO,bad,138
BPT,bad,137
FTK,bad,137
KNOP,bad,137
PHX,bad,137
EARN,bad,136
TCX,bad,136
BDL,review,135
FET,bad,135
IPI,bad,135
RPT,bad,135
SAL,review,135
WFT,good,135
DEA,bad,134
GCI,bad,134
GORO,bad,134
TSQ,bad,134
WNC,bad,134
DIT,review,133
GTN.A,review,133
TCS,bad,133
TRT,review,133
GLT,bad,132
SCM,bad,132
UG,review,132
AGRO,bad,131
AP,bad,131
ESV,good,131
MSB,bad,131
NXRT,bad,131
OEC,bad,131
SIF,review,131
TCI,review,131
WLKP,bad,131
AAN,bad,130
CAL,bad,130
CHGG,bad,130
DRQ,bad,130
DXR,review,130
ELLO,review,130
EVER,bad,130
TPVG,bad,130
TUP,bad,130
CABO,bad,129
EVH,bad,129
RLGT,bad,129
TEN,bad,129
BNED,bad,128
CTO,bad,128
EQC,bad,128
VHC,bad,128
MSN,review,127
NEP,bad,127
ONVO,bad,127
CHCT,bad,126
CVEO,bad,126
FPI,bad,126
NVRO,bad,126
TDOC,bad,126
TXMD,bad,126
AWX,review,125
CAPL,bad,125
LXFR,bad,125
PBT,bad,125
ARL,review,124
DNR,good,124
RMR,bad,124
SRG,bad,124
VHI,bad,124
BHB,bad,123
CIO,bad,123
IHT,review,123
AMS,review,122
BIG,bad,122
LL,bad,122
OOMA,bad,122
CHMI,bad,121
HOV,bad,121
TLF,review,121
ATNM,bad,120
CWH,bad,120
GHL,bad,120
GTE,bad,120
ICD,bad,120
MTW,bad,120
MX,bad,120
XXII,bad,120
NLS,bad,119
SJT,bad,119
SMLP,bad,119
WMC,bad,119
WTI,bad,119
NL,bad,118
ODC,bad,118
SENS,bad,118
SPLP,review,118
CYH,bad,117
GTN.A,good,117
MBI,bad,117
NAT,bad,117
UBA,bad,117
ESP,review,116
GNK,bad,116
MON,good,116
MTR,review,116
NTIP,review,116
RAD,good,116
PDS,bad,115
SSY,review,115
ABEO,bad,114
ACRS,bad,114
ADTN,bad,114
AGEN,bad,114
AMCX,bad,114
AMN,bad,114
AMSF,bad,114
AMWD,bad,114
ANGO,bad,114
ANIK,bad,114
AOSL,bad,114
APEI,bad,114
APOG,bad,114
AQMS,bad,114
ARAY,bad,114
AROW,bad,114
ARTNA,bad,114
ASIX,bad,114
ASMB,bad,114
ASPS,bad,114
ATNI,bad,114
ATRA,bad,114
AUDC,bad,114
BBSI,bad,114
BELFB,bad,114
BJRI,bad,114
BOOM,bad,114
BSRR,bad,114
CAC,bad,114
CASS,bad,114
CBRL,bad,114
CCNE,bad,114
CCRN,bad,114
CDXS,bad,114
CERS,bad,114
CEVA,bad,114
CFFN,bad,114
CGEN,bad,114
CHRS,bad,114
CMCO,bad,114
CMTL,bad,114
CRBP,bad,114
CRMT,bad,114
CRNT,bad,114
CSTE,bad,114
CTMX,bad,114
CTRN,bad,114
CVGW,bad,114
CWCO,bad,114
DGICA,bad,114
DMRC,bad,114
EDIT,bad,114
EGBN,bad,114
EHTH,bad,114
ENTA,bad,114
ENZ,bad,114
ERII,bad,114
ESPR,bad,114
FCBC,bad,114
FDUS,bad,114
FFIC,bad,114
FFWM,bad,114
FISI,bad,114
FLWS,bad,114
FMNB,bad,114
FORR,bad,114
FOXF,bad,114
FWRD,bad,114
GAIN,bad,114
GDEN,bad,114
GEOS,bad,114
GLRE,bad,114
GOGO,bad,114
GOOD,bad,114
GSBC,bad,114
GSM,bad,114
HAFC,bad,114
HAIN,bad,114
HBNC,bad,114
HCKT,bad,114
HELE,bad,114
HFWA,bad,114
HNRG,bad,114
HOFT,bad,114
HRTX,bad,114
HRZN,bad,114
HSTM,bad,114
HTBK,bad,114
HTLD,bad,114
IART,bad,114
IBCP,bad,114
IIIN,bad,114
IMMR,bad,114
INBK,bad,114
INGN,bad,114
IROQ,review,114
IRWD,bad,114
JACK,bad,114
JBSS,bad,114
JOUT,bad,114
JRVR,bad,114
KE,bad,114
KELYA,bad,114
KFRC,bad,114
KFS,good,114
KPTI,bad,114
KRNY,bad,114
LE,bad,114
LIND,bad,114
LMNR,bad,114
LOCO,bad,114
LPSN,bad,114
LXRX,bad,114
LYTS,bad,114
MATW,bad,114
MBUU,bad,114
MBWM,bad,114
MCFT,bad,114
MCRB,bad,114
MERC,bad,114
MGNX,bad,114
MGPI,bad,114
MITK,bad,114
MLAB,bad,114
MNRO,bad,114
MPAA,bad,114
MPX,bad,114
MRCC,bad,114
MSBI,bad,114
MSEX,bad,114
MTRX,bad,114
MYGN,bad,114
NCMI,bad,114
NEWT,bad,114
NFBK,bad,114
NNBR,bad,114
NTGR,bad,114
OFIX,bad,114
OMER,bad,114
OSBC,bad,114
OSUR,bad,114
PETS,bad,114
PFLT,bad,114
PGC,bad,114
PKOH,bad,114
PLAY,bad,114
PLCE,bad,114
PNNT,bad,114
PRAA,bad,114
PRTA,bad,114
QNST,bad,114
QURE,bad,114
RGNX,bad,114
RICK,bad,114
RMTI,bad,114
RPD,bad,114
RRGB,bad,114
SBSI,bad,114
SCHL,bad,114
SCSC,bad,114
SCVL,bad,114
SENEA,bad,114
SHEN,bad,114
SLRC,bad,114
SOHU,bad,114
SPOK,bad,114
SPWH,bad,114
SSYS,bad,114
STAA,bad,114
STKL,bad,114
TBPH,bad,114
TCMD,bad,114
TCPC,bad,114
THFF,bad,114
THRM,bad,114
TITN,bad,114
TREE,bad,114
TRST,bad,114
TTEC,bad,114
TTGT,bad,114
UFCS,bad,114
UVSP,bad,114
VLGEA,bad,114
VNDA,bad,114
VRA,bad,114
VRTS,bad,114
VUZI,bad,114
VYGR,bad,114
WASH,bad,114
WATT,bad,114
WKHS,bad,114
WRLD,bad,114
WSBF,bad,114
XNCR,bad,114
XOMA,bad,114
YORW,bad,114
ZUMZ,bad,114
ABUS,bad,113
ACTG,bad,113
ANGI,bad,113
BMRC,bad,113
BSET,bad,113
CCBG,bad,113
CIVB,bad,113
CLFD,bad,113
CNTY,bad,113
CRIS,bad,113
CVGI,bad,113
CZNC,bad,113
DLTH,bad,113
EGHT,bad,113
EKSO,bad,113
EQBK,bad,113
EXPR,bad,113
FARM,bad,113
FBIO,bad,113
FMBH,bad,113
FUSB,review,113
KOPN,bad,113
LCI,bad,113
MOFG,bad,113
NDLS,bad,113
NVEC,bad,113
NWPX,bad,113
PLG,bad,113
RAIL,bad,113
RIGL,bad,113
SCYX,bad,113
SDA,good,113
SGC,bad,113
TUSK,bad,113
UEIC,bad,113
VIA,bad,113
XPL,review,113
ZEUS,bad,113
ASUR,bad,112
AVXL,bad,112
CLNE,bad,112
DENN,bad,112
FATE,bad,112
FRC,bad,112
FSTR,bad,112
GEVO,bad,112
HDSN,bad,112
III,bad,112
ITRN,bad,112
KFFB,review,112
KRNT,bad,112
LEE,bad,112
NRIM,bad,112
PCYG,bad,112
SB,bad,112
SD,bad,112
SFBC,review,112
SND,bad,112
SPN,good,112
STI,good,112
TRUE,bad,112
WNEB,bad,112
ADVM,bad,111
AKBA,bad,111
ANY,bad,111
APVO,bad,111
BOTJ,review,111
BXC,good,111
CCH,good,111
CDZI,bad,111
CVM,bad,111
DHIL,bad,111
FGEN,bad,111
FLXS,bad,111
FOSL,bad,111
FWONK,bad,111
GLBZ,review,111
HMA,good,111
IRBT,bad,111
LFVN,bad,111
PBHC,review,111
PXLW,bad,111
RDI,bad,111
RILY,bad,111
SHBI,bad,111
VNCE,bad,111
AXR,good,110
CAMP,bad,110
CLSD,bad,110
CNDT,bad,110
CORR,bad,110
GAIA,bad,110
HFBL,review,110
IVC,bad,110
JELD,bad,110
KVHI,bad,110
MBRX,bad,110
MGYR,review,110
MXC,review,110
PTN,bad,110
RVSB,bad,110
SILC,bad,110
SLP,bad,110
UBCP,review,110
UPLD,bad,110
VREX,bad,110
VSTM,bad,110
WTBA,bad,110
XBIT,bad,110
XPER,bad,110
ACIU,bad,109
ATOS,bad,109
BGSF,bad,109
DSWL,review,109
GPRO,bad,109
HBCP,bad,109
HIVE,bad,109
HONE,bad,109
HURC,bad,109
INSG,bad,109
JCP,good,109
KURA,bad,109
LAND,bad,109
METC,bad,109
MVIS,bad,109
SMBC,bad,109
SNCR,bad,109
UBP,review,109
WEYS,bad,109
WPRT,bad,109
BGFV,bad,108
BLMN,bad,108
CETX,bad,108
CGA,review,108
CLPR,bad,108
ECOM,bad,108
EVA,bad,108
FBIZ,bad,108
GALT,bad,108
GPRK,bad,108
HT,bad,108
JILL,bad,108
LCUT,bad,108
MTL,good,108
NYMT,bad,108
PEI,bad,108
RCKY,bad,108
SFST,bad,108
TNXP,bad,108
YEXT,bad,108
ALT,bad,107
AP,good,107
ARL,good,107
ASRV,review,107
ASYS,bad,107
AXR,review,107
BFS,good,107
BHVN,bad,107
BPT,good,107
BRKL,bad,107
BRT,good,107
BZH,good,107
CIA,good,107
CIX,good,107
CLB,good,107
CPHC,review,107
CRD.A,good,107
CRR,good,107
CRT,good,107
CTSO,bad,107
CYN,good,107
EVI,bad,107
FC,good,107
FGP,good,107
FONR,bad,107
FPH,bad,107
GBL,good,107
GDP,good,107
GHL,good,107
GPX,good,107
HGT,good,107
HUSA,bad,107
IGC,bad,107
IHC,good,107
LUB,good,107
MFI,good,107
MMLP,bad,107
MRAM,bad,107
MSB,good,107
MTR,good,107
NBR,good,107
NC,good,107
NHTC,bad,107
NL,good,107
NPK,good,107
NUS,good,107
OLP,good,107
OPY,good,107
OXM,good,107
PBT,good,107
PDS,good,107
PKE,good,107
REV,bad,107
RPT,good,107
