relative_path,group,symbol_dir,rows,columns,timestamp_nulls,timestamp_min,timestamp_max,timestamp_unique,duplicate_timestamp_rows,monotonic_increasing,open_nulls,close_nulls,high_lt_low_rows,negative_volume_rows
etfs/DIA/minute.parquet,etfs,DIA,2542922,timestamp|open|high|low|close|volume|vwap,0,2004-01-02 13:01:00,2025-12-02 14:26:00,2542922,0,True,0,0,0,0.0
etfs/EEM/minute.parquet,etfs,EEM,2391115,timestamp|open|high|low|close|volume|vwap,0,2004-01-02 14:37:00,2025-12-02 14:29:00,2391115,0,True,0,0,0,0.0
etfs/EFA/minute.parquet,etfs,EFA,2199125,timestamp|open|high|low|close|volume|vwap,0,2004-01-02 14:36:00,2025-12-02 14:29:00,2199125,0,True,0,0,0,0.0
etfs/FXE/minute.parquet,etfs,FXE,970892,timestamp|open|high|low|close|volume|vwap,0,2005-12-12 14:30:00,2025-12-02 11:53:00,970892,0,True,0,0,0,0.0
etfs/GLD/minute.parquet,etfs,GLD,2693592,timestamp|open|high|low|close|volume|vwap,0,2004-11-18 14:30:00,2025-12-02 14:28:00,2693592,0,True,0,0,0,0.0
etfs/HYG/minute.parquet,etfs,HYG,1714912,timestamp|open|high|low|close|volume|vwap,0,2004-02-04 16:47:00,2025-12-02 13:04:00,1714912,0,True,0,0,0,0.0
etfs/IWM/minute.parquet,etfs,IWM,3120102,timestamp|open|high|low|close|volume|vwap,0,2004-01-02 13:25:00,2025-12-02 14:27:00,3120102,0,True,0,0,0,0.0
etfs/LQD/minute.parquet,etfs,LQD,1825488,timestamp|open|high|low|close|volume|vwap,0,2004-01-02 14:30:00,2025-12-02 13:30:00,1825488,0,True,0,0,0,0.0
etfs/QQQ/minute.parquet,etfs,QQQ,2715473,timestamp|open|high|low|close|volume|vwap,0,2004-01-02 13:00:00,2025-12-02 14:27:00,2715473,0,True,0,0,0,0.0
etfs/SLV/minute.parquet,etfs,SLV,2435839,timestamp|open|high|low|close|volume|vwap,0,2006-04-28 13:32:00,2025-12-02 14:28:00,2435839,0,True,0,0,0,0.0
etfs/SPSM/minute.parquet,etfs,SPSM,576798,timestamp|open|high|low|close|volume|vwap,0,2017-10-16 13:37:00,2025-12-01 23:04:00,576798,0,True,0,0,0,0.0
etfs/SPY/minute.parquet,etfs,SPY,4021590,timestamp|open|high|low|close|volume|vwap,0,2004-01-02 13:00:00,2025-12-02 14:27:00,4021590,0,True,0,0,0,0.0
