ticker,run_id,instrument_id,security_class_id,target_cik,configured_issuer_name,first_observed_session,last_observed_session,governed_interval_state,unresolved_document_count,interval_families_json,gate_classification,other_blockers_json,source_manifest_path,source_manifest_sha256,config_path,config_sha256
ADTX,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__adtx,figi_share_class:BBG00RDV1WT4,BBG00RDV1WT4,0001726711,"Aditxt, Inc.",2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,5,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 5}",GENERIC_TARGET_CIK_COMMON_EQUITY_CONTINUITY,"[""BASELINE_DOCUMENT_PARTIAL""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__adtx/final_manifest.json,c85dd94e3a8185c0b48ffce7805b576d6dd81ba1a010b72c57747fcf2c92dd2b,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/adtx.json,6d830e160581c8d7372812046b001079ac1c6513d72047401ceec0902293dc9a
AGL,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__agl,figi_share_class:BBG00HCYVQR3,BBG00HCYVQR3,0001831097,AGL RESOURCES INC (HOLDING CO),2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,13,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 2, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 11}",MIXED_RECOVERABLE_INTERVAL_FAMILIES,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__agl/final_manifest.json,bc929d0b83c9ccfb685c71f425452c06b1048b4b839625ab0217fe579bc348bf,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/agl.json,b090f7639b6a072d5b243e4f3b03b80392d00e6e04ab9aba4862169434376aed
ALR,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__alr,figi_share_class:BBG001SC4JB2,BBG001SC4JB2,0001159281,Alere Inc,2023-03-14,2023-03-20,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,38,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 2, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 36}",MIXED_RECOVERABLE_INTERVAL_FAMILIES,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__alr/final_manifest.json,82c14288f82f220ecb26e374fc4c9dcff85298ceb9c6fde537546ae4e1ab7e1c,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/alr.json,b03f18114c9f06bdc25016b24de76d321b94b5605de88ede87a1211500e41aa2
AULT,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__ault,figi_share_class:BBG00JMZD5D6,BBG00JMZD5D6,0000896493,"Ault Alliance, Inc.",2024-09-03,2024-09-09,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,1,"{""NON_TARGET_ISSUER_DOCUMENT_MUST_BE_REJECTED"": 1}",GENERIC_NON_TARGET_ISSUER_REJECTION,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__ault/final_manifest.json,231ad0e289ec7e8616a78c2a69c87506bd0ad82cb8fc0063a4fabac7d19767a3,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/ault.json,c851cf69796a4d7a1cae3a04f3ac69fda8b481ddce3236de59acd4aef722203a
AUMN,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__aumn,figi_share_class:BBG001SSGJB4,BBG001SSGJB4,0001011509,Golden Minerals Company,2024-12-09,2024-12-13,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,5,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 5}",GENERIC_TARGET_CIK_COMMON_EQUITY_CONTINUITY,"[""HOLDER_OVERLAP_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__aumn/final_manifest.json,0559d20c63d4f1ede18ba68da4a4651043685564af4d429c84f457ec13810f92,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/aumn.json,a87e7bba6dd748f1c5cdcb2683593ef8941e0f498521eecdf7981d7eb1d0e290
BBBY,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__bbby,figi_share_class:BBG001S64TS5,BBG001S64TS5,0001130713,"Bed Bath & Beyond, Inc.",2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,16,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 13, ""TRUE_IDENTITY_EVIDENCE_GAP_OR_UNSUPPORTED_CLASS"": 3}",MIXED_WITH_TRUE_IDENTITY_EVIDENCE_GAP,"[""BASELINE_DOCUMENT_PARTIAL""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__bbby/final_manifest.json,c6e273e18e99b9db97cf253c2214ad2d22304dcf1d2ad0fba87fc3e6cbc11f2f,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/bbby.json,3602372ae6211cdc3cafd1bb576b8f2b4cf23c75e4ad33e20f6ea0a2d7582a72
BTBT,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__btbt,cik_ticker:0001710350:BTBT,,0001710350,"Bit Digital, Inc.",2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,1,"{""NON_TARGET_ISSUER_DOCUMENT_MUST_BE_REJECTED"": 1}",GENERIC_NON_TARGET_ISSUER_REJECTION,"[""HOLDER_OVERLAP_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__btbt/final_manifest.json,9763c9437b155d092fc58c7cc0ca1fccb9f648fd403a2ae19d7757d9ef0b69ad,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/btbt.json,7b6e31879b2928914139b94214dda93f6cd8fd789f9338b32d5c6c86611a86f8
CDT,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__cdt,figi_share_class:BBG015879NG6,BBG015879NG6,0001896212,CDT Equity Inc.,2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,1,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 1}",GENERIC_ISSUER_FILED_BASELINE_METADATA_CONTINUITY,"[""HOLDER_OVERLAP_UNRESOLVED""]",C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__cdt/final_manifest.json,11d8f6f7077c3d932fb33dd056180ebe3b74e3094bf378375328d9289d460e92,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/cdt.json,8dd2dc9c2d3a5b850af64f890332ece5ddc50b0378fa42c2facb856c1d82dea9
CJES,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__cjes,cik_ticker:0001615817:CJES,,0001615817,C&J ENERGY SVCS LTD,2016-07-14,2016-07-20,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,24,"{""ISSUER_FILED_BASELINE_METADATA_CONTINUITY_CANDIDATE"": 3, ""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 21}",MIXED_RECOVERABLE_INTERVAL_FAMILIES,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__cjes/final_manifest.json,5b01d08cbf675ff704df63164825fd070e4e54781a8483beb566c6554df2bcbd,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/cjes.json,228ede098a2aa58c1e63e040cff6b2632be1a83a654cbde56391ec2302dd92de
CLRB,sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__clrb,figi_share_class:BBG001SNWCK2,BBG001SNWCK2,0001279704,Cellectar Biosciences INC NEW,2026-03-02,2026-03-06,CANDIDATE_REQUIRES_PRIMARY_DOCUMENT_AND_MARKET_RECONCILIATION,7,"{""TARGET_CIK_COMMON_EQUITY_CONTINUITY_CANDIDATE"": 7}",GENERIC_TARGET_CIK_COMMON_EQUITY_CONTINUITY,[],C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_16/runs/sec_pit_100_case_resolution_v0_16_20260813T0941Z__owner__clrb/final_manifest.json,aafc7fd442d01e353c2ee5a1729a50b8f3b464e33a2fd5d9494b3c033c212915,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_16_20260813T0941Z/clrb.json,12e6305b95223c7332f8f8b4b7bf771313fe09785d30d4dd3f5e4c378b04e21a
