ticker,run_id,instrument_id,security_class_id,target_class_label,target_class_family,blockers_json,other_blockers_json,direct_recovery_candidate,os_rows,os_nonnull_rows,os_complete,float_rows,float_nonnull_rows,float_complete,baseline_candidates,content_complete_candidates,class_incomplete_candidates,selected_causal_baseline_count,supported_single_rows,ownership_component_states_json,document_signals_json,recovery_workstreams_json,gate_classification,source_manifest_path,source_manifest_sha256,config_path,config_sha256
ACTT,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__actt,cik_ticker:0001753706:ACTT,,COMMON_STOCK_CLASS_CANDIDATE,COMMON_STOCK_CLASS_CANDIDATE,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",[],True,5,0,False,5,0,False,1,1,1,0,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 10}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}","[""EXPLICIT_MULTI_CLASS_COMPONENT_EVIDENCE""]",TRUE_MULTI_CLASS_EVIDENCE_REQUIRED,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__actt/final_manifest.json,50d050c4df12c6ae435f774480d3cf7983c9255f227e07a47079e266de3a5662,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/actt.json,2f112228c6a497d1c88905ae36749418e1c35f1555880a035960125ff304841d
AEN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aen,cik_ticker:0000894158:AEN,,COMMON_STOCK_CLASS_CANDIDATE,COMMON_STOCK_CLASS_CANDIDATE,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",[],True,5,0,False,5,0,False,4,4,4,0,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 34}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}","[""NUMERIC_FOOTNOTE_COMPONENT_DECOMPOSITION""]",GENERIC_FOOTNOTE_COMPONENT_RECOVERY_CANDIDATE,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aen/final_manifest.json,a98077be83673fd13ef03447f8079fced70e8c79ccdc89dbe73919ee8b0c8f9c,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/aen.json,e6e383b3d806144c727483302e28a17dd1530a51dbfc9da4af0d40301fbba61e
ASPN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aspn,figi_share_class:BBG001SJZK39,BBG001SJZK39,Common Stock,UNNUMBERED_COMMON_OR_ORDINARY,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",[],True,5,5,True,5,0,False,4,2,2,0,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 31}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}","[""NUMERIC_FOOTNOTE_COMPONENT_DECOMPOSITION""]",GENERIC_FOOTNOTE_COMPONENT_RECOVERY_CANDIDATE,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aspn/final_manifest.json,655000168580c36d481eae5b1d7e9c06b0c5c3d49be8e701f89db3d2ea1a037f,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/aspn.json,2a3b1dd107d7961ce036697db9b69cd3cd999853e9a64e14ba8673043716ca17
AULT,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__ault,figi_share_class:BBG00JMZD5D6,BBG00JMZD5D6,Class A Common Stock,CLASS_A_COMMON,"[""INSTRUMENT_INTERVAL_CONFLICT"",""SHARE_CLASS_ALLOCATION_UNRESOLVED""]","[""INSTRUMENT_INTERVAL_CONFLICT""]",False,5,0,False,5,0,False,4,4,4,0,48,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 48}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}","[""SINGLE_TABLE_TO_NUMBERED_TARGET_CLASS_BRIDGE""]",MIXED_BLOCKERS,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__ault/final_manifest.json,625d0bf9e800392d26ad46b54bb1d0ffa18cde3b24f2885942a70f76662087ae,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/ault.json,42d99fe83adfdb69a46eb011e616ab3f5cd7b73cd94b50f69af682c46b7ebaaa
AXAC,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__axac,cik_ticker:0001898019:AXAC,,Class A Ordinary Shares,CLASS_A_ORDINARY,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",[],True,5,0,False,5,0,False,2,1,2,0,1,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 10, ""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 1}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}","[""EXPLICIT_MULTI_CLASS_COMPONENT_EVIDENCE"",""MANAGEMENT_BASELINE_EXTRACTION""]",TRUE_MULTI_CLASS_EVIDENCE_REQUIRED,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__axac/final_manifest.json,3036427ab9652b058eef5843db4860d4b22e852151a9898204f7d5cb1a3663dc,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/axac.json,c704042a955262ffd3352f1de49cd0c237d47dee973da1d7ddb9214cb9a384ae
BASI,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__basi,figi_share_class:BBG001SBF7J0,BBG001SBF7J0,Common Shares,UNNUMBERED_COMMON_OR_ORDINARY,"[""HOLDER_OVERLAP_UNRESOLVED"",""SHARE_CLASS_ALLOCATION_UNRESOLVED""]","[""HOLDER_OVERLAP_UNRESOLVED""]",False,5,0,False,5,0,False,4,2,2,0,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 23}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}","[""NUMERIC_FOOTNOTE_COMPONENT_DECOMPOSITION""]",MIXED_BLOCKERS,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__basi/final_manifest.json,661b28581bbc16a1825d11805223109ddadf776bebb95a76369615b85a9ace0c,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/basi.json,a38696a025b5896b43a1734029a7e331dc9f05328842620c770f77cbc7f7e2e6
BLNG,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__blng,figi_share_class:BBG00ZLLWHG2,BBG00ZLLWHG2,Class A Common Stock,CLASS_A_COMMON,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",[],True,5,5,True,5,0,False,3,3,3,0,32,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 32}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}","[""SINGLE_TABLE_TO_NUMBERED_TARGET_CLASS_BRIDGE""]",GENERIC_SINGLE_TABLE_CLASS_BRIDGE_CANDIDATE,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__blng/final_manifest.json,2dc26afad6f3a66ace88895876bdacf5e86e99d7256536eb5afcf5eb93285779,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/blng.json,037830233f9f5c46bf526146c9caf8db814aba52ec33b12d84a3a70fb6d8fa1d
BNED,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bned,figi_share_class:BBG009CNQCX5,BBG009CNQCX5,Common Stock,UNNUMBERED_COMMON_OR_ORDINARY,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",[],True,5,5,True,5,0,False,4,3,3,0,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 47}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}","[""TRUE_EVIDENCE_GAP_OR_CORRECT_FAIL_CLOSED_REVIEW""]",TRUE_EVIDENCE_GAP_OR_CORRECT_FAIL_CLOSED_REVIEW,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bned/final_manifest.json,c1561d29901089ab97bf6e943c615fa19aa094b403d199a6e3b1a404bbd25cf1,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/bned.json,c5f5535a7ed938a615839e2a0843a9c47338bd350bd32c5b118b478b802526fa
BWAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bwaq,cik_ticker:0001878074:BWAQ,,COMMON_STOCK_CLASS_CANDIDATE,COMMON_STOCK_CLASS_CANDIDATE,"[""SHARE_CLASS_ALLOCATION_UNRESOLVED""]",[],True,5,0,False,5,0,False,4,0,4,0,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 34}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}","[""EXPLICIT_MULTI_CLASS_COMPONENT_EVIDENCE"",""OWNERSHIP_MEASUREMENT_DATE_RECOVERY""]",TRUE_MULTI_CLASS_EVIDENCE_REQUIRED,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__bwaq/final_manifest.json,756284871cc09f3b70934583946d9fcd54e6caa73a3e888fab4561fff2ded344,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/bwaq.json,721ea29e96ff583aefcb9e2a372f8572b23a0a70dce704c2d82040361654c03d
CDAQ,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cdaq,cik_ticker:0001851909:CDAQ,,Class A Ordinary Shares,CLASS_A_ORDINARY,"[""HOLDER_OVERLAP_UNRESOLVED"",""SHARE_CLASS_ALLOCATION_UNRESOLVED""]","[""HOLDER_OVERLAP_UNRESOLVED""]",False,5,0,False,5,0,False,4,4,4,0,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 45}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}","[""EXPLICIT_MULTI_CLASS_COMPONENT_EVIDENCE""]",MIXED_BLOCKERS,C:/TSIS_Data/runtime/sec_pit_100_case_resolution_v0_13/runs/sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__cdaq/final_manifest.json,8e1147fb7935b0efb9121ece68c46250569e8c574deceeceb7938eb3758d9a8c,C:/TSIS_Data/runtime/sec_pit_100_case_scale_gate_v0_1/bounded_probe_authorized_v0_4_20260812T0530Z/owner_case_configs__sec_pit_100_case_resolution_v0_13_20260812T2127Z/cdaq.json,e44ece8341461b0a187090820f2e73948862844e65e829669abfec9b8391b9c6
