ticker,run_id,accession_number,form,filing_date,identity_admitted,ownership_table_state,structured_position_rows,class_allocation_complete,selected_as_opening_baseline,supported_single_rows,ownership_component_states_json,table_class_bases_json,document_signals_json,source_url,source_sha256
ACTT,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__actt,0001213900-20-008013,10-K,2020-03-30,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,10,False,False,0,"{""MULTI_CLASS_ALLOCATION_REQUIRED"": 10}","{""MULTI_CLASS_ORDINARY_SHARES"": 10}","{""document_mentions_class_a_and_b"": true, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1753706/000121390020008013/f10k2019_act2global.htm,9d78bad74161fb9afc3a2a1fb7f55f791e95a1e41468bffad5495e775759f06d
AEN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aen,0001144204-12-000314,DEF 14A,2012-01-04,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,9,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 9}","{""SINGLE_OR_UNSPECIFIED"": 9}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/894158/000114420412000314/v244544_def14a.htm,148bd07c2458f0a56e70525c88409a6d8cfb559b7f3d2005f4fc9a9db95d3845
AEN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aen,0001144204-11-036370,DEF 14A,2011-06-20,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,9,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 9}","{""SINGLE_OR_UNSPECIFIED"": 9}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/894158/000114420411036370/v225477_def14a.htm,db9193ab67a4fb5dda4aff5ea4805badb29b9f590eddeb2a985fa071f3a605a6
AEN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aen,0001144204-11-019139,10-K,2011-03-31,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,9,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 9}","{""SINGLE_OR_UNSPECIFIED"": 9}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/894158/000114420411019139/v216123_10k.htm,bb4e8a32b16601a81b57d75782ef0ce8d771a652886e04bb876614d6a7f5e0ab
AEN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aen,0001144204-10-051402,DEF 14A,2010-09-29,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,7,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 7}","{""SINGLE_OR_UNSPECIFIED"": 7}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/894158/000114420410051402/v197751_def14a.htm,e13da3726878568ca594f327b80a17540bb8cdf7d0dd200376f3fb3cea0a3f82
ASPN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aspn,0000950170-25-040250,DEF 14A,2025-03-17,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,17,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 17}","{""SINGLE_OR_UNSPECIFIED"": 17}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1145986/000095017025040250/aspn-20250317.htm,fa3b42ad11fd6f40fc3ec289533eb8460d38397cd550cd78b126b232cae2cd69
ASPN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aspn,0000950170-25-029252,10-K,2025-02-27,True,NO_OWNERSHIP_TABLE,0,True,False,0,{},{},"{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1145986/000095017025029252/aspn-20241231.htm,c598253fd37e91f12a563246d19876961a0a33801932782bf796905a17efd6fd
ASPN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aspn,0001104659-24-045565,DEF 14A,2024-04-10,True,OWNERSHIP_TABLE_REQUIRES_CLASS_RECONCILIATION,14,False,False,0,"{""CURRENTLY_ISSUED_COMPONENT_UNRESOLVED"": 14}","{""SINGLE_OR_UNSPECIFIED"": 14}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": true, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1145986/000110465924045565/tm2410273d2_def14a.htm,a0daa68379cc665a2b013b5835e8526fdeea49863001c77ce59fcc4182987db5
ASPN,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__aspn,0000950170-24-028127,10-K,2024-03-07,True,NO_OWNERSHIP_TABLE,0,True,False,0,{},{},"{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/1145986/000095017024028127/aspn-20231231.htm,b156759c091f7a89ab8f424b9c509444ec7ec6616a48f7343e065ad14a5a1369
AULT,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__ault,0001214659-24-013917,DEF 14A,2024-08-06,True,OWNERSHIP_BASELINE_CONTENT_COMPLETE_CANDIDATE,9,False,False,9,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 9}","{""SINGLE_OR_UNSPECIFIED"": 9}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/896493/000121465924013917/d86245def14a.htm,972f5cad1310cc40e6e56e24815fa9603f46319a128add2bea1b0ab5b9a4ca61
AULT,sec_pit_100_case_resolution_v0_13_20260812T2127Z__owner__ault,0001214659-24-008617,DEF 14A,2024-05-08,True,OWNERSHIP_BASELINE_CONTENT_COMPLETE_CANDIDATE,9,False,False,9,"{""NO_MULTI_CLASS_CONFLICT_IDENTIFIED"": 9}","{""SINGLE_OR_UNSPECIFIED"": 9}","{""document_mentions_class_a_and_b"": false, ""explicit_current_acquirable_columns"": false, ""numeric_component_decomposition"": false, ""option_or_acquirable_language"": true}",https://www.sec.gov/Archives/edgar/data/896493/000121465924008617/d58242def14a.htm,7f9d888c1a51dfb0bb8715b5f653f8bc654b277eae1f76fd868152ce76943ac8
