settlement_date,ticker,short_interest,avg_daily_volume,days_to_cover
2017-12-29,AAME,22251,4945,4.5
2018-01-31,AAME,23517,2182,10.78
2018-02-15,AAME,19735,1402,14.08
2018-02-28,AAME,19269,1420,13.57
2018-03-15,AAME,16479,2190,7.52
2018-04-13,AAME,15124,1378,10.98
2018-04-30,AAME,13668,2214,6.17
2018-05-15,AAME,14434,6212,2.32
2018-05-31,AAME,16137,3034,5.32
2018-06-15,AAME,10952,5214,2.1
2018-06-29,AAME,8864,3414,2.6
2018-07-13,AAME,14423,4423,3.26
2018-07-31,AAME,4411,3751,1.18
2018-08-15,AAME,913,3020,1.0
2018-08-31,AAME,555,1883,1.0
2018-09-14,AAME,673,4242,1.0
2018-09-28,AAME,4980,6676,1.0
2018-10-15,AAME,2235,4205,1.0
2018-10-31,AAME,2671,3640,1.0
2018-11-15,AAME,1464,6371,1.0
