settlement_date,ticker,short_interest,avg_daily_volume,days_to_cover
2017-12-29,ABEO,8311831,633976,13.11
2018-01-31,ABEO,8710802,986869,8.83
2018-02-15,ABEO,10417653,1878690,5.55
2018-02-28,ABEO,9856178,1163318,8.47
2018-03-15,ABEO,10983895,984082,11.16
2018-04-13,ABEO,11548077,1157638,9.98
2018-04-30,ABEO,11488625,1150384,9.99
2018-05-15,ABEO,11624996,630493,18.44
2018-05-31,ABEO,12717872,1390756,9.14
2018-06-15,ABEO,13404474,1116491,12.01
2018-06-29,ABEO,12964033,945759,13.71
2018-07-13,ABEO,13123166,673279,19.49
2018-07-31,ABEO,12522920,577599,21.68
2018-08-15,ABEO,12227879,428113,28.56
2018-08-31,ABEO,11956535,439556,27.2
2018-09-14,ABEO,11342565,447632,25.34
2018-09-28,ABEO,11151249,720382,15.48
2018-10-15,ABEO,11098150,684677,16.21
2018-10-31,ABEO,10267643,685372,14.98
2018-11-15,ABEO,10068121,733345,13.73
