settlement_date,ticker,short_interest,avg_daily_volume,days_to_cover
2019-03-29,SAVA,1895595,259421,7.31
2019-04-15,SAVA,1760590,105081,16.75
2019-04-30,SAVA,1691314,74673,22.65
2019-05-15,SAVA,1609683,70977,22.68
2019-05-31,SAVA,1608202,109783,14.65
2019-06-14,SAVA,1596981,114698,13.92
2019-06-28,SAVA,1580295,263913,5.99
2019-07-15,SAVA,1713920,380401,4.51
2019-07-31,SAVA,1768130,144023,12.28
2019-08-15,SAVA,1783937,367010,4.86
2019-08-30,SAVA,1635623,204807,7.99
2019-09-13,SAVA,1775548,776146,2.29
2019-09-30,SAVA,1789846,124936,14.33
2019-10-15,SAVA,1735192,53715,32.3
2019-10-31,SAVA,1712164,93738,18.27
2019-11-15,SAVA,1698110,65331,25.99
2019-11-29,SAVA,1684794,119934,14.05
2019-12-13,SAVA,2270596,4611831,1.0
2019-12-31,SAVA,3218497,9177618,1.0
2020-01-15,SAVA,1738924,10855173,1.0
