ticker,date,rows_for_key,excess_rows
CPS,2018-08-01,8,7
CPS,2018-08-02,8,7
CPS,2018-08-03,8,7
CPS,2018-08-06,8,7
CPS,2018-08-07,8,7
CPS,2018-08-08,8,7
CPS,2018-08-09,8,7
CPS,2018-08-10,8,7
CPS,2018-08-13,8,7
CPS,2018-08-14,8,7
CPS,2018-08-15,8,7
CPS,2018-08-16,8,7
CPS,2018-08-17,8,7
CPS,2018-08-20,8,7
CPS,2018-08-21,8,7
CPS,2018-08-22,8,7
CPS,2018-08-23,8,7
CPS,2018-08-24,8,7
CPS,2018-08-27,8,7
CPS,2018-08-28,8,7
CPS,2018-08-29,4,3
CPS,2018-08-30,8,7
CPS,2018-08-31,8,7
CPS,2018-09-04,8,7
CPS,2018-09-05,8,7
CPS,2018-09-06,4,3
CPS,2018-09-07,8,7
CPS,2018-09-10,8,7
CPS,2018-09-11,8,7
CPS,2018-09-12,8,7
CPS,2018-09-13,8,7
CPS,2018-09-14,8,7
CPS,2018-09-17,8,7
CPS,2018-09-18,8,7
CPS,2018-09-19,8,7
CPS,2018-09-20,8,7
CPS,2018-09-21,8,7
CPS,2018-09-24,8,7
CPS,2018-09-25,8,7
CPS,2018-09-26,8,7
CPS,2018-09-27,8,7
CPS,2018-09-28,8,7
CPS,2018-10-01,8,7
CPS,2018-10-02,8,7
CPS,2018-10-03,8,7
CPS,2018-10-04,8,7
CPS,2018-10-05,8,7
CPS,2018-10-08,8,7
CPS,2018-10-09,8,7
CPS,2018-10-10,8,7
CPS,2018-10-11,8,7
CPS,2018-10-12,8,7
CPS,2018-10-15,8,7
CPS,2018-10-16,8,7
CPS,2018-10-17,8,7
CPS,2018-10-18,8,7
CPS,2018-10-19,8,7
CPS,2018-10-22,8,7
CPS,2018-10-23,8,7
CPS,2018-10-24,8,7
CPS,2018-10-25,8,7
CPS,2018-10-26,8,7
CPS,2018-10-29,8,7
CPS,2018-10-30,8,7
CPS,2018-10-31,8,7
CPS,2018-11-01,8,7
CPS,2018-11-02,8,7
CPS,2018-11-05,8,7
CPS,2018-11-06,8,7
CPS,2018-11-07,8,7
CPS,2018-11-08,8,7
CPS,2018-11-09,8,7
CPS,2018-11-12,8,7
CPS,2018-11-13,8,7
CPS,2018-11-14,8,7
CPS,2018-11-15,8,7
CPS,2018-11-16,8,7
CPS,2018-11-19,8,7
CPS,2018-11-20,8,7
CPS,2018-11-21,8,7
CPS,2018-11-23,8,7
CPS,2018-11-26,8,7
CPS,2018-11-27,8,7
CPS,2018-11-28,8,7
CPS,2018-11-29,8,7
CPS,2018-11-30,8,7
CPS,2018-12-03,8,7
CPS,2018-12-04,8,7
CPS,2018-12-06,8,7
CPS,2018-12-07,8,7
CPS,2018-12-10,8,7
CPS,2018-12-11,8,7
CPS,2018-12-12,8,7
CPS,2018-12-13,8,7
CPS,2018-12-14,8,7
CPS,2018-12-17,8,7
CPS,2018-12-18,8,7
CPS,2018-12-19,8,7
CPS,2018-12-20,8,7
CPS,2018-12-21,8,7
CPS,2018-12-24,8,7
CPS,2018-12-26,8,7
CPS,2018-12-27,8,7
CPS,2018-12-28,8,7
CPS,2018-12-31,8,7
CPS,2019-01-02,8,7
CPS,2019-01-03,8,7
CPS,2019-01-04,8,7
CPS,2019-01-07,8,7
CPS,2019-01-08,8,7
CPS,2019-01-09,8,7
