ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
BTM,2011-12-30,HARD_FAIL__daily_range__confirmed__>5,0.0,3.3444816053511706,3,85.69939622332224,>1x_other,>1x_other,100.0,100.0,100.0,,,,,100.0,299.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BTM\year=2011\month=12\day=2011-12-30\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",123.06,124.88,124.1565,17.58,17.84,17.755129127990923,299.0,True,True,D:\ohlcv_1m\ticker=BTM\year=2011\month=12\minute_aggs_BTM_2011_12.parquet,D:\ohlcv_daily\ticker=BTM\year=2011\day_aggs_BTM_2011.parquet,early,>1x_other,sev_high,57f_stratified_v0_1,0000e22e920d6d4297f618ea882284e48a59ed0b
DYNT,2008-05-30,HARD_FAIL__daily_range__confirmed__>5,0.0,0.0,2,96.00198618289708,>1x_other,>1x_other,100.0,100.0,100.0,,,,,100.0,3.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\DYNT\year=2008\month=05\day=2008-05-30\market.parquet,['duplicate_excess_ratio_gt_hard_cap' 'trade_price_outside_daily_range'],['rows_lt_10' 'trade_price_outside_1m_range'],23.75,24.25,23.774,0.95,0.97,0.9504878048780487,3.0,True,True,D:\ohlcv_1m\ticker=DYNT\year=2008\month=05\minute_aggs_DYNT_2008_05.parquet,D:\ohlcv_daily\ticker=DYNT\year=2008\day_aggs_DYNT_2008.parquet,early,>1x_other,sev_high,57f_stratified_v0_1,0000ca37b63939e34c807a85bad157b2215e02a3
MFI,2008-01-10,HARD_FAIL__daily_range__confirmed__>5,0.0,0.0,2,87.48820673787931,>1x_other,>1x_other,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,42.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\MFI\year=2008\month=01\day=2008-01-10\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",44.8,49.2,47.3481,5.6,6.15,5.924096385542168,42.0,True,True,D:\ohlcv_1m\ticker=MFI\year=2008\month=01\minute_aggs_MFI_2008_01.parquet,D:\ohlcv_daily\ticker=MFI\year=2008\day_aggs_MFI_2008.parquet,early,>1x_other,sev_high,57f_stratified_v0_1,000023401648e008aff72768616243f02c1635cd
SURG,2007-06-07,HARD_FAIL__daily_range__confirmed__>5,0.0,16.129032258064516,3,97.99874002249716,>1x_other,>1x_other,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,186.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SURG\year=2007\month=06\day=2007-06-07\market.parquet,['trade_price_outside_daily_range'],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],180.0,189.5,185.3001,3.6,3.79,3.708336739572736,186.0,True,True,D:\ohlcv_1m\ticker=SURG\year=2007\month=06\minute_aggs_SURG_2007_06.parquet,D:\ohlcv_daily\ticker=SURG\year=2007\day_aggs_SURG_2007.parquet,early,>1x_other,sev_high,57f_stratified_v0_1,00009fa6e52b8d8e22580e5867835b4024b10923
CSPI,2007-11-14,HARD_FAIL__daily_range__confirmed__1-5,0.0,0.0,2,100.06575356013805,~0.5x,~0.5x,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,19.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CSPI\year=2007\month=11\day=2007-11-14\market.parquet,['trade_price_outside_daily_range'],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],3.6,3.69,3.6076,7.2,7.38,7.217572125435541,19.0,True,True,D:\ohlcv_1m\ticker=CSPI\year=2007\month=11\minute_aggs_CSPI_2007_11.parquet,D:\ohlcv_daily\ticker=CSPI\year=2007\day_aggs_CSPI_2007.parquet,early,~0.5x,sev_high,57f_stratified_v0_1,0002c82a45eafeac0535a281aecbfc87d7c06331
MCBC,2005-04-14,HARD_FAIL__daily_range__confirmed__>5,0.5263157894736842,22.105263157894736,12,50.09974310691192,~0.6667x,~0.6667x,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,190.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\MCBC\year=2005\month=04\day=2005-04-14\market.parquet,['duplicate_excess_ratio_gt_hard_cap' 'trade_price_outside_daily_range'],['trade_price_outside_1m_range'],20.36,21.2933,20.6043,30.54,31.94,30.92700136897745,190.0,True,True,D:\ohlcv_1m\ticker=MCBC\year=2005\month=04\minute_aggs_MCBC_2005_04.parquet,D:\ohlcv_daily\ticker=MCBC\year=2005\day_aggs_MCBC_2005.parquet,early,~0.6667x,sev_high,57f_stratified_v0_1,000d0583606d6411d3f964785a76f425dd57e062
SPEX,2008-05-23,HARD_FAIL__control,0.0,0.0,2,90.01011794698461,~10x,~10x,100.0,100.0,100.0,,,,,100.0,9.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SPEX\year=2008\month=05\day=2008-05-23\market.parquet,['duplicate_excess_ratio_gt_hard_cap'],"['possible_corporate_action_scale_mismatch'
 'possible_corporate_action_scale_mismatch_vs_1m' 'rows_lt_10']",10.5,10.8,10.527,1.05,1.08,1.0516348837209302,9.0,True,True,D:\ohlcv_1m\ticker=SPEX\year=2008\month=05\minute_aggs_SPEX_2008_05.parquet,D:\ohlcv_daily\ticker=SPEX\year=2008\day_aggs_SPEX_2008.parquet,early,~10x,sev_high,57f_stratified_v0_1,0000aa9cbdd68098eb02189dc1c08b348477f4c4
TAT,2012-10-04,HARD_FAIL__control,0.0,17.28813559322034,11,89.9993166001112,~10x,~10x,100.0,100.0,100.0,,,,,100.0,590.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\TAT\year=2012\month=10\day=2012-10-04\market.parquet,['duplicate_excess_ratio_gt_hard_cap'],"['possible_corporate_action_scale_mismatch_vs_1m'
 'possible_corporate_action_scale_mismatch_vs_daily']",9.8,10.3,9.9782,0.98,1.03,0.9978881910077038,590.0,True,True,D:\ohlcv_1m\ticker=TAT\year=2012\month=10\minute_aggs_TAT_2012_10.parquet,D:\ohlcv_daily\ticker=TAT\year=2012\day_aggs_TAT_2012.parquet,early,~10x,sev_high,57f_stratified_v0_1,0000963612a1a97357c00cb8a6c03da1afe20e82
AEMD,2016-03-16,HARD_FAIL__daily_range__confirmed__>5,48.93617021276596,0.0,1,99.9916533476223,>1x_other,>1x_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,47.0,reference_scale_mismatch,D:\trades_ticks_prod_2005_2026\AEMD\year=2016\month=03\day=2016-03-16\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],61080.0,66480.0,64050.6,4.9925,5.54,5.346080927835052,47.0,True,True,D:\ohlcv_1m\ticker=AEMD\year=2016\month=03\minute_aggs_AEMD_2016_03.parquet,D:\ohlcv_daily\ticker=AEMD\year=2016\day_aggs_AEMD_2016.parquet,mid,>1x_other,sev_high,57f_stratified_v0_1,0000bb02e6880ca92de985e04292beab3fad10c9
ICON,2014-10-08,HARD_FAIL__daily_range__confirmed__>5,31.373070782331027,22.591804151144228,15,99.95007768592086,>1x_other,>1x_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3758.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ICON\year=2014\month=10\day=2014-10-08\market.parquet,['duplicate_excess_ratio_gt_hard_cap' 'trade_price_outside_daily_range'],['trade_price_outside_1m_range'],72400.0,74340.0,73456.12,36.2,37.17,36.67099493674814,3758.0,True,True,D:\ohlcv_1m\ticker=ICON\year=2014\month=10\minute_aggs_ICON_2014_10.parquet,D:\ohlcv_daily\ticker=ICON\year=2014\day_aggs_ICON_2014.parquet,mid,>1x_other,sev_high,57f_stratified_v0_1,0000203f38e4f3c97911720330f971fc6c7374c7
OHGI,2017-10-27,HARD_FAIL__daily_range__confirmed__>5,32.73809523809524,0.0,1,95.99994661281553,>1x_other,>1x_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,168.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\OHGI\year=2017\month=10\day=2017-10-27\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],25.5025,26.975,26.2476,1.02,1.11,1.049918012854628,168.0,True,True,D:\ohlcv_1m\ticker=OHGI\year=2017\month=10\minute_aggs_OHGI_2017_10.parquet,D:\ohlcv_daily\ticker=OHGI\year=2017\day_aggs_OHGI_2017.parquet,mid,>1x_other,sev_high,57f_stratified_v0_1,000147aa5e4b90246d0aaf3a9e40e4cf401ea890
SPCB,2018-01-11,HARD_FAIL__daily_range__confirmed__>5,16.09442060085837,0.0,1,99.49998474832852,>1x_other,>1x_other,100.0,100.0,100.0,,,,,100.0,466.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SPCB\year=2018\month=01\day=2018-01-11\market.parquet,['trade_price_outside_daily_range'],['off_session_trades_present' 'trade_price_outside_1m_range'],730.0,760.0,742.168,3.63,3.8,3.7109531930251114,466.0,True,True,D:\ohlcv_1m\ticker=SPCB\year=2018\month=01\minute_aggs_SPCB_2018_01.parquet,D:\ohlcv_daily\ticker=SPCB\year=2018\day_aggs_SPCB_2018.parquet,mid,>1x_other,sev_high,57f_stratified_v0_1,0001c367ec70f461c0917cb9327b770286ebf1f4
WHLR,2014-07-24,HARD_FAIL__daily_range__confirmed__>5,4.868913857677903,6.179775280898876,7,99.99999958669022,>1x_other,>1x_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,534.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\WHLR\year=2014\month=07\day=2014-07-24\market.parquet,['trade_price_outside_daily_range'],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],1103155200.0,1149120000.0,1126823040.0,4.56,4.75,4.657269638517945,534.0,True,True,D:\ohlcv_1m\ticker=WHLR\year=2014\month=07\minute_aggs_WHLR_2014_07.parquet,D:\ohlcv_daily\ticker=WHLR\year=2014\day_aggs_WHLR_2014.parquet,mid,>1x_other,sev_high,57f_stratified_v0_1,0000ac55ebaa0ea26edd289fe7f38bda87cde8f5
