causal_domain,status,count,block,scope,pct_within_scope
events_vs_halts,ticker_change_near_halt,775,reference,events_vs_halts,81.751055
events_vs_halts,reference_event_near_halt_review,173,reference,events_vs_halts,18.248945
events_vs_quotes,ticker_change_near_quotes_anomaly,2330,reference,events_vs_quotes,89.788054
events_vs_quotes,reference_event_near_quotes_review,247,reference,events_vs_quotes,9.518304
events_vs_quotes,reference_event_near_quotes_clean,18,reference,events_vs_quotes,0.693642
identity_vs_trades,identity_review_without_trades_link,746,reference,identity_vs_trades,99.466667
identity_vs_trades,identity_review_linked_to_scale_mismatch,2,reference,identity_vs_trades,0.266667
identity_vs_trades,identity_review_linked_to_other_trades_case,2,reference,identity_vs_trades,0.266667
splits_vs_1m,review_no_1m_alignment,21,reference,splits_vs_1m,95.454545
splits_vs_1m,m1_split_ratio_review,1,reference,splits_vs_1m,4.545455
splits_vs_daily,review_no_daily_alignment,21,reference,splits_vs_daily,95.454545
splits_vs_daily,daily_split_ratio_review,1,reference,splits_vs_daily,4.545455
splits_vs_trades,split_near_scale_mismatch_review,13,reference,splits_vs_trades,59.090909
splits_vs_trades,split_explains_trade_scale_mismatch,9,reference,splits_vs_trades,40.909091
