"ticker","name","market","locale","type","active","list_date","first_seen_snapshot","last_seen_snapshot","deslisted_proxy_date","overview_request_date","overview_active"
"A","Agilent Technologies Inc.","stocks","us","CS",true,"1999-11-18","2005-01-02","2026-03-09",,"2022-02-08",true
"AA","Alcoa Corporation","stocks","us","CS",true,"2016-10-18","2005-01-02","2026-03-09",,"2016-10-31",true
"AAA","ALTANA AKTIENGESELLSCHAFT SPON ADR","stocks","us","CS",true,,"2005-01-02","2007-05-21",,"2007-05-21",true
"AABA","Altaba Inc. Common Stock","stocks","us","CS",true,,"2017-06-21","2019-10-06",,"2019-10-06",true
"AAC","Ares Acquisition Corporation","stocks","us","CS",true,,"2008-10-06","2023-11-06",,"2010-02-07",true
"AACB","Artius II Acquisition Inc. Class A Ordinary Shares","stocks","us","CS",true,"2025-04-07","2025-04-07","2026-03-09",,"2026-03-09",true
"AACI","Armada Acquisition Corp. II Class A Ordinary Shares","stocks","us","CS",true,"2025-06-24","2021-11-10","2025-10-29",,"2025-10-29",true
"AACQ","Artius Acquisition Inc. Class A Common Stock","stocks","us","CS",true,,"2020-09-07","2021-06-24",,"2021-06-24",true
"AACT","Ares Acquisition Corporation II","stocks","us","CS",true,"2023-06-12","2023-06-13","2025-09-24",,"2025-09-24",true
"AADI","Aadi Bioscience, Inc. Common Stock","stocks","us","CS",true,,"2021-08-29","2025-03-19",,,
"AAGR","African Agriculture Holdings Inc. Common Stock","stocks","us","CS",true,"2023-12-07","2023-12-07","2024-09-25",,"2024-09-25",true
"AAI","AIRTRAN HOLDINGS INC","stocks","us","CS",true,,"2005-01-02","2011-05-02",,"2011-05-02",true
"AAIC","Arlington Asset Investment Corp.","stocks","us","CS",true,"1997-12-23","2020-10-28","2023-12-14",,"2023-12-13",true
"AAL","American Airlines Group Inc.","stocks","us","CS",true,"1972-06-01","2016-10-25","2026-03-09",,"2026-03-09",true
"AAM","AA Mission Acquisition Corp.","stocks","us","CS",true,"2024-09-16","2024-09-16","2026-02-02",,"2026-02-02",true
"AAMC","Altisource Asset Mgmt Corp","stocks","us","CS",true,"2012-12-12","2014-08-17","2024-09-16",,"2024-09-16",true
"AAME","Atlantic American Corp","stocks","us","CS",true,"1973-01-02","2016-10-25","2026-03-09",,"2026-03-09",true
"AAMI","Acadian Asset Management Inc.","stocks","us","CS",true,"2014-10-09","2025-01-02","2026-03-09",,"2026-03-09",true
"AAN","The Aaron's Company, Inc.","stocks","us","CS",true,,"2009-04-21","2024-10-03",,"2010-12-13",true
"AAN.A","AARON'S INC CL-A","stocks","us","CS",true,,"2009-04-21","2010-12-09",,,
"AANw","The Aaron''s Company, Inc.","stocks","us","CS",true,,"2020-11-26","2020-11-30",,,
"AAOI","Applied Optoelectronics, Inc.","stocks","us","CS",true,"2013-09-26","2016-10-25","2026-03-09",,"2026-03-09",true
"AAON","Aaon Inc","stocks","us","CS",true,"1990-12-01","2016-10-25","2026-03-09",,"2026-03-09",true
"AAP","ADVANCE AUTO PARTS INC","stocks","us","CS",true,"2001-11-29","2005-01-02","2026-03-09",,"2022-02-08",true
"AAPC","Atlantic Alliance Partnership Corp","stocks","us","CS",true,,"2016-10-25","2017-10-04",,"2017-10-04",true
"AAPL","Apple Inc.","stocks","us","CS",true,"1980-12-12","2016-10-25","2026-03-09",,"2026-03-09",true
"AAQC","Accelerate Acquisition Corp.","stocks","us","CS",true,"2021-05-10","2021-05-19","2022-12-15",,"2022-12-15",true
"AARD","Aardvark Therapeutics, Inc. Common Stock","stocks","us","CS",true,"2025-02-13","2025-02-13","2026-03-09",,"2026-03-09",true
"AAT","AMERICAN ASSETS TRUST, INC.","stocks","us","CS",true,"2011-01-13","2011-01-25","2026-03-09",,"2026-03-09",true
"AATC","Autoscope Technologies Corporation Common Stock","stocks","us","CS",true,"1995-05-04","2021-07-21","2022-12-29",,"2022-12-29",true
"AAU","Almaden Minerals Ltd.","stocks","us","CS",true,"2005-12-19","2008-10-06","2024-04-04",,"2015-08-10",true
"AAUC","Allied Gold Corporation","stocks","us","CS",true,"2023-11-02","2025-06-09","2026-03-09",,"2026-03-09",true
"AAV","Advantage Oil & Gas Ltd","stocks","us","CS",true,,"2005-12-11","2018-09-23",,"2009-07-14",true
"AAWW","Atlas Air Worldwide Holdings, Inc.","stocks","us","CS",true,"2005-11-09","2016-10-25","2023-03-19",,"2023-03-19",true
"AAXN","Axon Enterprise, Inc. Common Stock","stocks","us","CS",true,,"2017-04-06","2021-01-24",,,
"AAw","Alcoa Corporation","stocks","us","CS",true,,"2016-10-20","2016-11-01",,,
"AB","AllianceBernstein Holding, L.P.","stocks","us","CS",true,"1988-04-14","2006-03-02","2026-03-09",,"2026-03-09",true
"ABAC","Renmin Tianli Group, Inc. Common Shares","stocks","us","CS",true,,"2016-10-25","2019-01-16",,"2019-01-16",true
"ABAT","American Battery Technology Company Common Stock","stocks","us","CS",true,"2015-10-15","2023-09-21","2026-03-09",,"2026-03-09",true
"ABAX","Abaxis Inc","stocks","us","CS",true,,"2016-10-25","2018-07-31",,"2018-07-31",true
"ABB","ABB LTD ADS ( 1 REG SHS)","stocks","us","CS",true,"2001-04-06","2005-01-02","2016-10-24",,"2016-10-24",true
"ABBV","ABBVIE INC.","stocks","us","CS",true,"2012-12-10","2013-01-03","2026-03-09",,"2026-03-09",true
"ABBVw","ABBVIE INC COM STK (DE) W.I.","stocks","us","CS",true,,"2012-12-11","2013-01-01",,,
"ABC","AmerisourceBergen Corp.","stocks","us","CS",true,"1995-04-04","2005-01-02","2023-08-30",,"2022-02-08",true
"ABCB","Ameris Bancorp","stocks","us","CS",true,"1994-05-19","2016-10-25","2026-03-09",,"2026-03-09",true
"ABCD","Cambium Learning Group, Inc.","stocks","us","CS",true,,"2016-10-25","2018-12-18",,"2018-12-18",true
"ABCL","AbCellera Biologics Inc. Common Shares","stocks","us","CS",true,"2020-12-11","2020-12-13","2026-03-09",,"2026-03-09",true
"ABCO","Advisory Board Co/The","stocks","us","CS",true,,"2016-10-25","2017-11-19",,"2017-11-19",true
"ABD","ACCO BRANDS CORPORATION","stocks","us","CS",true,,"2005-08-28","2012-04-30",,,
"ABDC","Alcentra Capital Corp","stocks","us","CS",true,,"2016-10-25","2020-02-02",,"2020-02-02",true
"ABDw","ACCO BRANDS CORPORATION W.I.","stocks","us","CS",true,,"2005-08-09","2005-08-14",,,
"ABE","Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc.","stocks","us","CS",true,,"2015-08-05","2017-08-06",,"2017-08-06",true
"ABEO","Abeona Therapeutics Inc. Common Stock","stocks","us","CS",true,"1980-09-19","2016-10-25","2026-03-09",,"2026-03-09",true
"ABEV","AMBEV S A SPONSORED ADR (BRA)","stocks","us","CS",true,"1996-08-01","2013-11-17","2016-10-24",,"2016-10-24",true
"ABG","Asbury Automotive Group, Inc.","stocks","us","CS",true,"2002-03-13","2005-01-02","2026-03-09",,"2022-02-08",true
"ABGI","ABG Acquisition Corp. I Class A Ordinary Shares","stocks","us","CS",true,"2021-02-17","2021-02-17","2023-02-27",,"2023-02-27",true
"ABH","ABITIBIBOWATER INC COM STK NEW (DE)","stocks","us","CS",true,,"2007-10-31","2012-05-23",,"2012-05-23",true
"ABHw","ABITIBIBOWATER INC COM STK NEW (DE)W.I.","stocks","us","CS",true,,"2010-12-13","2010-12-19",,,
"ABI","APPLIED BIOSSYSTEMS INC","stocks","us","CS",true,,"2005-01-02","2008-11-23",,"2008-11-23",true
"ABIL","Ability Inc Ordinary Shares","stocks","us","CS",true,,"2016-10-25","2019-12-26",,"2019-12-26",true
"ABIO","ARCA biopharma, Inc.","stocks","us","CS",true,"1997-08-08","2016-10-25","2024-09-02",,"2019-09-24",true
"ABK","AMBAC FINANCIAL GROUP INC.","stocks","us","CS",true,,"2005-01-02","2010-11-09",,"2010-11-09",true
"ABL","Abacus Global Management, Inc. Class A Common Stock","stocks","us","CS",true,,"2008-10-06","2025-12-29",,"2012-01-26",true
"ABLLL","Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028","stocks","us","CS",true,"2023-11-22","2023-11-28","2025-12-29",,"2025-12-29",true
