ticker,year_files,rows,split_non1_rows,div_non1_rows,adj_non1_rows,activation_profile
AAME,22,4949,0,4721,4721,dividend_only
AAN,16,3892,0,3877,3877,dividend_only
AATC,6,1150,0,1140,1140,dividend_only
ABL,11,1980,0,1961,1961,dividend_only
ABTX,8,1758,0,1735,1735,dividend_only
AC,13,2742,0,2684,2684,dividend_only
ACCO,15,3482,0,3482,3482,dividend_only
ACIC,6,829,0,785,785,dividend_only
ACII,4,528,0,528,528,dividend_only
ACNB,17,3747,0,3741,3741,dividend_only
ACRE,15,3485,0,3485,3485,dividend_only
ACTG,22,5327,0,2729,2729,dividend_only
ACU,22,5202,0,5202,5202,dividend_only
ADAM,9,1663,0,1663,1663,dividend_only
ADES,20,4436,0,3442,3442,dividend_only
ADK,12,2634,0,2140,2140,dividend_only
ADTN,22,5327,0,4688,4688,dividend_only
AE,21,5042,0,5003,5003,dividend_only
AFBI,6,1228,0,991,991,dividend_only
AFCG,6,1247,0,1247,1247,dividend_only
AGC,14,3087,0,2825,2825,dividend_only
AGRO,16,3798,0,3713,3713,dividend_only
AIB,16,3162,0,2885,2885,dividend_only
AII,5,521,0,521,521,dividend_only
AIP,13,2346,0,295,295,dividend_only
AIRS,6,1091,0,206,206,dividend_only
ALCO,22,5327,0,5327,5327,dividend_only
ALIT,6,1173,0,1107,1107,dividend_only
ALRS,8,1627,0,1627,1627,dividend_only
ALSK,17,4167,0,3848,3848,dividend_only
ALTA,2,316,0,311,311,dividend_only
ALTG,7,1521,0,1318,1318,dividend_only
ALTS,12,2268,0,1835,1835,dividend_only
AMNB,20,4771,0,4742,4742,dividend_only
AMPS,9,1609,0,755,755,dividend_only
AMPY,8,1654,0,151,151,dividend_only
AMRB,17,3977,0,3968,3968,dividend_only
AMS,22,5127,0,618,618,dividend_only
AMSF,22,5104,0,5104,5104,dividend_only
AMTB,9,1845,0,1830,1830,dividend_only
AMWD,22,5327,0,1620,1620,dividend_only
ANH,17,4081,0,4075,4075,dividend_only
ANTX,9,1736,0,733,733,dividend_only
ANV,10,1994,0,1994,1994,dividend_only
AOMR,6,1185,0,1174,1174,dividend_only
AP,22,5324,0,3086,3086,dividend_only
APLP,4,623,0,568,568,dividend_only
APOG,22,5327,0,5304,5304,dividend_only
APSG,10,1912,0,1477,1477,dividend_only
APWC,16,3452,0,1646,1646,dividend_only
ARKO,7,1305,0,1305,1305,dividend_only
ARKR,22,5087,0,4683,4683,dividend_only
ARP,16,3344,0,3298,3298,dividend_only
ASC,14,3168,0,3162,3162,dividend_only
ASFI,16,3907,0,3295,3295,dividend_only
ASIX,11,2369,0,2369,2369,dividend_only
ASRV,22,5280,0,5256,5256,dividend_only
ASTL,6,1098,0,893,893,dividend_only
ATLCL,6,1069,0,1035,1035,dividend_only
ATLCZ,3,526,0,526,526,dividend_only
ATNI,21,4978,0,4978,4978,dividend_only
ATRI,20,4838,0,4792,4792,dividend_only
AUBN,22,4331,0,4331,4331,dividend_only
AUDC,22,5327,0,5316,5316,dividend_only
AUS,4,593,0,158,158,dividend_only
AWRE,22,5314,0,2398,2398,dividend_only
AXR,22,5093,0,631,631,dividend_only
BAFN,6,1006,0,814,814,dividend_only
BBCP,9,1819,0,1539,1539,dividend_only
BBI,10,2146,0,104,104,dividend_only
BBUC,5,998,0,931,931,dividend_only
BBW,22,5327,0,5327,5327,dividend_only
BCAL,6,955,0,955,955,dividend_only
BCBP,22,4741,0,4724,4724,dividend_only
BCIC,2,134,0,134,134,dividend_only
BCML,9,1970,0,1970,1970,dividend_only
BCRH,8,1609,0,1530,1530,dividend_only
BCSF,9,1834,0,1834,1834,dividend_only
BCTF,10,1497,0,997,997,dividend_only
BDGE,14,3144,0,18,18,dividend_only
BDL,22,4038,0,3898,3898,dividend_only
BDN,22,5327,0,5327,5327,dividend_only
BELFA,22,4537,0,4537,4537,dividend_only
BELFB,22,5327,0,5327,5327,dividend_only
BFIN,21,5163,0,5131,5131,dividend_only
BFS,22,5327,0,5327,5327,dividend_only
BFST,9,1985,0,1970,1970,dividend_only
BGFV,21,5095,0,4760,4760,dividend_only
BGS,20,4727,0,4727,4727,dividend_only
BGSF,13,2699,0,2591,2591,dividend_only
BHFAL,9,1878,0,1872,1872,dividend_only
BHFAM,6,1074,0,1074,1074,dividend_only
BHFAN,7,1326,0,1326,1326,dividend_only
BHFAO,7,1454,0,1454,1454,dividend_only
BHM,8,1365,0,1365,1365,dividend_only
BHR,9,1978,0,1933,1933,dividend_only
BIG,19,4543,0,4171,4171,dividend_only
BITE,6,926,0,268,268,dividend_only
BJRI,22,5327,0,3738,3738,dividend_only
BKEP,12,2833,0,2823,2823,dividend_only
BLMN,15,3413,0,3275,3275,dividend_only
BMR,16,3544,0,2702,2702,dividend_only
BNSO,19,4134,0,437,437,dividend_only
BOCH,17,3886,0,3873,3873,dividend_only
BONT,13,3237,0,2714,2714,dividend_only
BOW,6,1157,0,673,673,dividend_only
BPI,13,2750,0,2750,2750,dividend_only
BPMP,6,1117,0,1071,1071,dividend_only
BPRN,10,2159,0,2137,2137,dividend_only
BPT,21,5155,0,4539,4539,dividend_only
BRDG,5,1036,0,1025,1025,dividend_only
BRG,12,2831,0,2758,2758,dividend_only
BRIA,3,311,0,191,191,dividend_only
BRID,22,4301,0,1513,1513,dividend_only
BRKL,21,5198,0,5182,5182,dividend_only
BRLT,6,1117,0,982,982,dividend_only
BRMK,5,889,0,884,884,dividend_only
BRS,14,3338,0,2851,2851,dividend_only
BRSP,6,1179,0,1179,1179,dividend_only
BRT,22,5286,0,5286,5286,dividend_only
BSET,22,5326,0,5326,5326,dividend_only
BSRR,22,5325,0,5306,5306,dividend_only
BSVN,9,1868,0,1868,1868,dividend_only
BWBBP,6,966,0,953,953,dividend_only
BWFG,13,2946,0,2928,2928,dividend_only
BWMX,7,1457,0,1457,1457,dividend_only
BXG,14,2945,0,2756,2756,dividend_only
CAAS,22,5325,0,4923,4923,dividend_only
CABO,12,2686,0,2422,2422,dividend_only
CAPL,13,2871,0,2847,2847,dividend_only
CARS,11,2446,0,212,212,dividend_only
CAS,16,3597,0,3597,3597,dividend_only
CATC,8,1683,0,1638,1638,dividend_only
CATO,18,4121,0,3752,3752,dividend_only
CAW,15,3523,0,2120,2120,dividend_only
CBFV,13,2708,0,2693,2693,dividend_only
CBK,17,3704,0,3704,3704,dividend_only
CBNK,20,4242,0,4223,4223,dividend_only
CBRL,22,5327,0,5327,5327,dividend_only
CCEL,6,1113,0,914,914,dividend_only
CCG,13,2193,0,1278,1278,dividend_only
CCLP,11,2348,0,2305,2305,dividend_only
CCNE,22,5178,0,5172,5172,dividend_only
CCR,4,776,0,550,550,dividend_only
CCX,10,1709,0,314,314,dividend_only
CELP,9,2093,0,1588,1588,dividend_only
CFB,8,1626,0,182,182,dividend_only
CFFI,22,4931,0,4931,4931,dividend_only
CFFN,22,5307,0,5287,5287,dividend_only
CGBD,10,2194,0,2194,2194,dividend_only
CGI,14,2972,0,2723,2723,dividend_only
CGRO,6,722,0,722,722,dividend_only
CHCT,12,2714,0,2704,2704,dividend_only
CHMG,15,3284,0,3284,3284,dividend_only
CHMI,14,3123,0,3123,3123,dividend_only
CIO,16,3310,0,3183,3183,dividend_only
CION,6,1109,0,1109,1109,dividend_only
CIVB,12,2717,0,2699,2699,dividend_only
CIX,22,5119,0,5119,5119,dividend_only
CIZN,21,3929,0,3708,3708,dividend_only
CJ,3,670,0,665,665,dividend_only
CKX,22,3492,0,2095,2095,dividend_only
CLDB,3,527,0,475,475,dividend_only
CLDC,4,758,0,38,38,dividend_only
CLDT,17,3997,0,3997,3997,dividend_only
CLIM,2,411,0,411,411,dividend_only
CLPR,10,2279,0,2279,2279,dividend_only
CLPS,9,1950,0,1619,1619,dividend_only
CLUB,15,3603,0,2004,2004,dividend_only
CMCL,10,2162,0,2162,2162,dividend_only
CMCO,22,5327,0,5327,5327,dividend_only
CMO,17,4228,0,4223,4223,dividend_only
CMP,22,5327,0,4827,4827,dividend_only
CMT,22,5303,0,3350,3350,dividend_only
CMTG,6,1088,0,729,729,dividend_only
CNBKA,17,4134,0,4102,4102,dividend_only
CNDA,14,2502,0,1825,1825,dividend_only
CNFRL,6,888,0,877,877,dividend_only
CNFRZ,3,221,0,221,221,dividend_only
CNNB,4,773,0,465,465,dividend_only
CNNE,10,2083,0,2083,2083,dividend_only
CNOBP,6,1093,0,1079,1079,dividend_only
CNSL,20,4891,0,3454,3454,dividend_only
CNXM,3,687,0,651,651,dividend_only
CODI,21,4986,0,4764,4764,dividend_only
COFS,7,1520,0,1520,1520,dividend_only
COHN,13,2309,0,2309,2309,dividend_only
CONX,7,830,0,830,830,dividend_only
COSO,6,516,0,500,500,dividend_only
CPHC,19,3865,0,3865,3865,dividend_only
CPLG,5,946,0,460,460,dividend_only
CPSI,20,4823,0,3931,3931,dividend_only
CRCT,6,1243,0,1201,1201,dividend_only
CRT,22,5327,0,5327,5327,dividend_only
CRWS,20,4567,0,4567,4567,dividend_only
CSSE,8,1727,0,241,241,dividend_only
CSSEN,5,949,0,937,937,dividend_only
CSTE,15,3509,0,2617,2617,dividend_only
CSTR,18,4029,0,3931,3931,dividend_only
CSV,22,5326,0,5302,5302,dividend_only
CTRN,22,5233,0,3721,3721,dividend_only
CTT,16,3623,0,3548,3548,dividend_only
CULL,6,909,0,893,893,dividend_only
CURI,7,1353,0,1352,1352,dividend_only
CURO,8,1583,0,1177,1177,dividend_only
CV,10,2057,0,1846,1846,dividend_only
CVGW,22,5323,0,5286,5286,dividend_only
CVR,22,4373,0,4372,4372,dividend_only
CWBC,22,4464,0,4444,4444,dividend_only
CWH,16,3393,0,3337,3337,dividend_only
CXDO,7,1423,0,687,687,dividend_only
CYH,22,5327,0,2001,2001,dividend_only
CZWI,21,4388,0,4368,4368,dividend_only
DALN,5,1065,0,657,657,dividend_only
DBI,8,1742,0,1742,1742,dividend_only
DEC,4,555,0,555,555,dividend_only
DHIL,22,5266,0,5195,5195,dividend_only
DIN,19,4469,0,4469,4469,dividend_only
DKI,8,1446,0,1267,1267,dividend_only
DLNG,14,3095,0,3085,3085,dividend_only
DMRC,22,5176,0,2196,2196,dividend_only
DNUT,6,1175,0,956,956,dividend_only
DOMH,5,802,0,759,759,dividend_only
DRAY,5,419,0,419,419,dividend_only
DVCR,7,1523,0,1316,1316,dividend_only
DXR,22,4740,0,2838,2838,dividend_only
DYSL,14,2215,0,2199,2199,dividend_only
EAGL,15,1883,0,1837,1837,dividend_only
EARN,14,3232,0,3232,3232,dividend_only
EBF,22,5327,0,5327,5327,dividend_only
EBMT,17,3706,0,3691,3691,dividend_only
ECO,4,560,0,556,556,dividend_only
EEX,10,2226,0,2226,2226,dividend_only
EFSI,6,687,0,663,663,dividend_only
EFUT,14,2726,0,2569,2569,dividend_only
EGBN,22,5254,0,5230,5230,dividend_only
EGY,22,5327,0,5321,5321,dividend_only
EIG,20,4805,0,4802,4802,dividend_only
EK,8,1774,0,964,964,dividend_only
ELA,15,3003,0,1442,1442,dividend_only
ELLO,16,2556,0,785,785,dividend_only
ELME,5,846,0,728,728,dividend_only
ELSE,22,4470,0,1709,1709,dividend_only
EMBC,5,985,0,979,979,dividend_only
EMCF,14,2294,0,2276,2276,dividend_only
EMG,9,1572,0,711,711,dividend_only
ENGN,8,1170,0,577,577,dividend_only
ENZ,21,5106,0,5002,5002,dividend_only
EPM,21,4941,0,4941,4941,dividend_only
EPSN,8,1742,0,1742,1742,dividend_only
EQ,13,2643,0,772,772,dividend_only
EQBK,12,2593,0,2593,2593,dividend_only
EQC,12,2696,0,2154,2154,dividend_only
ESCA,22,5278,0,5278,5278,dividend_only
ESGL,9,1290,0,649,649,dividend_only
ESGRP,8,1758,0,1719,1719,dividend_only
ESM,9,1294,0,939,939,dividend_only
ESOA,6,1048,0,1048,1048,dividend_only
ESQ,10,2181,0,2166,2166,dividend_only
ESSC,5,743,0,743,743,dividend_only
ESV,15,3668,0,1239,1239,dividend_only
ETD,8,1267,0,1250,1250,dividend_only
EU,12,2224,0,1430,1430,dividend_only
EVA,10,2375,0,1966,1966,dividend_only
EVBN,21,4492,0,4456,4456,dividend_only
EVC,22,5327,0,5327,5327,dividend_only
EVEP,13,2925,0,2353,2353,dividend_only
EVI,18,3886,0,3774,3774,dividend_only
EWCZ,6,1151,0,179,179,dividend_only
EYEG,11,2074,0,2074,2074,dividend_only
FARM,22,5327,0,1527,1527,dividend_only
FAT,10,2079,0,1776,1776,dividend_only
FATBB,6,932,0,640,640,dividend_only
FBM,7,1344,0,308,308,dividend_only
FBRT,6,1099,0,1099,1099,dividend_only
FBSS,17,3075,0,3060,3060,dividend_only
FCAP,22,3759,0,3759,3759,dividend_only
FCBC,22,5327,0,5312,5312,dividend_only
FCBP,8,1657,0,1605,1605,dividend_only
FCCO,22,4791,0,4773,4773,dividend_only
FDBC,10,2083,0,2068,2068,dividend_only
FDUS,16,3699,0,3699,3699,dividend_only
FEI,15,3274,0,3249,3249,dividend_only
FEIM,21,4848,0,4453,4453,dividend_only
FELP,6,1358,0,1192,1192,dividend_only
FF,22,5109,0,5106,5106,dividend_only
FFIC,22,5327,0,5327,5327,dividend_only
FFNW,19,4409,0,4192,4192,dividend_only
FGP,16,3781,0,3443,3443,dividend_only
FIP,5,902,0,902,902,dividend_only
FISI,22,5326,0,5326,5326,dividend_only
FKWL,6,1236,0,1160,1160,dividend_only
FLOC,2,285,0,270,270,dividend_only
FLXN,10,2119,0,2113,2113,dividend_only
FLXS,22,5282,0,5282,5282,dividend_only
FLYX,6,633,0,63,63,dividend_only
FMBH,13,2777,0,2761,2761,dividend_only
FMNB,16,3633,0,3618,3618,dividend_only
FNCB,7,1579,0,1560,1560,dividend_only
FNHC,11,2575,0,2055,2055,dividend_only
FNLC,22,5285,0,5285,5285,dividend_only
FNWB,12,2791,0,2584,2584,dividend_only
FNWD,6,1029,0,1029,1029,dividend_only
FORR,22,5327,0,3509,3509,dividend_only
FOSLL,5,1001,0,937,937,dividend_only
FPI,17,3762,0,3762,3762,dividend_only
FRAF,8,1681,0,1661,1661,dividend_only
FRD,22,5315,0,5315,5315,dividend_only
FRED,15,3702,0,3187,3187,dividend_only
FRST,6,1239,0,1224,1224,dividend_only
FSAM,4,760,0,606,606,dividend_only
FSB,11,2498,0,2433,2433,dividend_only
FSBC,13,2059,0,2035,2035,dividend_only
FSI,22,5270,0,5069,5069,dividend_only
FSP,22,5223,0,5193,5193,dividend_only
FSTR,22,5326,0,2939,2939,dividend_only
FTPA,5,353,0,348,348,dividend_only
FUNC,22,5231,0,5231,5231,dividend_only
FUSB,11,2245,0,2245,2245,dividend_only
FVR,3,357,0,357,357,dividend_only
FWDI,11,1376,0,1251,1251,dividend_only
FXNC,8,1537,0,1531,1531,dividend_only
GAIA,22,5326,0,1496,1496,dividend_only
GAIN,22,5208,0,5208,5208,dividend_only
GAINI,3,303,0,303,303,dividend_only
GAINL,7,1380,0,1337,1337,dividend_only
GAINN,10,1929,0,1929,1929,dividend_only
GAINZ,6,1023,0,1023,1023,dividend_only
GASS,22,5135,0,852,852,dividend_only
GBL,18,4472,0,4453,4453,dividend_only
GBLI,17,3854,0,3854,3854,dividend_only
GCAP,11,2422,0,2394,2394,dividend_only
GCI,21,5253,0,3733,3733,dividend_only
GDEN,12,2663,0,2663,2663,dividend_only
GEG,15,3195,0,919,919,dividend_only
GEGGL,5,759,0,759,759,dividend_only
GENK,4,675,0,488,488,dividend_only
GFED,18,3452,0,3396,3396,dividend_only
GHIV,2,180,0,180,180,dividend_only
GHL,19,4761,0,4704,4704,dividend_only
GIFI,22,5294,0,3237,3237,dividend_only
GILT,21,4992,0,3697,3697,dividend_only
GIPR,6,1108,0,676,676,dividend_only
GIW,11,1626,0,1288,1288,dividend_only
GLBL,16,2887,0,2864,2864,dividend_only
GLBZ,22,3619,0,3245,3245,dividend_only
GLPW,7,1416,0,1152,1152,dividend_only
GMLP,11,2521,0,2472,2472,dividend_only
GNC,10,2326,0,1436,1436,dividend_only
GNE,16,3607,0,3594,3594,dividend_only
GNSS,12,2370,0,770,770,dividend_only
GOOD,22,5327,0,5327,5327,dividend_only
GORO,17,3903,0,3095,3095,dividend_only
GPMT,10,2187,0,2187,2187,dividend_only
GREEL,6,1085,0,1055,1055,dividend_only
GRNT,5,843,0,837,837,dividend_only
GROY,6,1255,0,573,573,dividend_only
