date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2015-06-17,41.36,41.36,41.36,41.36,41.5696,45.0,11,0.20960000000000178,,False,False
2015-09-16,21.8408,21.8408,21.8408,21.8408,22.0182,39.625,5,0.17739999999999867,,False,False
2015-01-12,44.0,44.0,43.6,43.92,44.1536,50.0,7,0.1535999999999973,38.39999999999946,False,False
2015-11-13,26.0,26.0,26.0,26.0,26.0987,79.0,7,0.0987000000000009,,False,False
2015-05-29,44.0,44.0,44.0,44.0,43.9081,198.0,9,0.09190000000000254,,False,False
2015-10-05,20.56,20.688,20.56,20.688,20.4865,67.25,11,0.07349999999999923,57.421874999999346,False,False
2015-08-21,32.24,32.24,32.24,32.24,32.2766,17.5,4,0.036599999999999966,,False,False
2015-09-25,22.48,22.64,22.48,22.64,22.6756,110.0,8,0.035599999999998744,22.249999999999194,False,False
2015-11-09,27.6,27.6,27.6,27.6,27.6259,92.5,4,0.025900000000000034,,False,False
2015-06-18,41.76,41.76,41.76,41.76,41.7358,31.875,9,0.024200000000000443,,False,False
2015-07-17,33.84,34.96,33.84,34.32,33.8277,254.625,19,0.012300000000003308,1.0982142857145836,False,False
2015-05-07,44.08,44.08,44.08,44.08,44.0702,14.25,2,0.009799999999998477,,False,False
