date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-04-02,4.9,4.9,4.75,4.75,4.5503,9122.0,52,0.1997,133.133333333333,False,False
2024-06-11,3.0263,3.0263,3.0263,3.0263,2.9491,125.0,2,0.07719999999999994,,False,False
2024-07-03,2.62,2.62,2.62,2.62,2.5492,295.0,5,0.0708000000000002,,False,False
2024-02-13,6.25,6.25,6.25,6.25,6.3141,281.0,6,0.06409999999999982,,False,False
2024-10-21,5.67,5.705,5.55,5.705,5.7623,4920.0,308,0.057299999999999685,36.96774193548361,False,False
2024-06-03,2.86,2.86,2.85,2.85,2.8908,696.0,14,0.03080000000000016,308.0000000000082,False,False
2024-01-04,9.02,9.02,9.02,9.02,8.9912,403.0,37,0.02880000000000038,,False,False
2024-04-10,3.72,3.72,3.72,3.72,3.7466,376.0,6,0.026599999999999735,,False,False
2024-02-22,6.01,6.1474,6.01,6.1474,6.1655,774.0,8,0.01809999999999956,13.17321688500692,False,False
2024-04-05,3.65,3.65,3.6,3.6,3.6645,525.0,11,0.014499999999999957,29.000000000000018,False,False
2024-07-01,2.55,2.55,2.55,2.55,2.5383,276.0,10,0.011699999999999822,,False,False
2024-06-04,3.0,3.0,3.0,3.0,2.9943,232.0,11,0.005700000000000038,,False,False
