date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2017-12-15,6.7093,6.7093,6.7093,6.7093,6.7242,763.0,6,0.014899999999999913,,False,False
2017-03-10,6.3597,6.3597,6.3597,6.3597,6.3488,282.0,3,0.010900000000000354,,False,False
2017-08-10,6.5213,6.5213,6.5213,6.5213,6.5132,402.0,6,0.008099999999999774,,False,False
2017-01-25,6.5,6.5,6.5,6.5,6.4952,251.0,4,0.0048000000000003595,,False,False
2017-12-05,6.4,6.4,6.4,6.4,6.3975,1275.0,5,0.002500000000000391,,False,False
2017-02-14,6.4799,6.4799,6.4799,6.4799,6.4817,187.0,2,0.0018000000000002458,,False,False
2017-10-25,5.4093,5.4093,5.4093,5.4093,5.4109,508.0,2,0.0015999999999998238,,False,False
2017-10-31,5.52,5.52,5.5,5.5,5.4985,285.0,3,0.0015000000000000568,7.500000000000444,False,False
2017-03-07,6.3962,6.3962,6.3962,6.3962,6.3948,834.0,3,0.00140000000000029,,False,False
2017-08-15,6.6,6.64,6.6,6.6,6.599,2508.0,10,0.0009999999999994458,2.499999999998612,False,False
2017-11-01,5.45,5.45,5.45,5.45,5.4503,515.0,5,0.000300000000000189,,False,False
2017-09-21,5.85,5.85,5.85,5.85,5.8501,301.0,2,0.00010000000000065512,,False,False
