date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-10-20,0.0021,0.0021,0.0021,0.0021,0.002,178.0,2,9.999999999999983e-05,,False,False
2025-01-31,0.01,0.01,0.0,0.0,0.0098,51100.0,6,0.0,0.0,True,True
2025-06-27,0.0,0.0001,0.0,0.0,0.0001,10700.0,4,0.0,0.0,True,True
2025-07-07,0.0001,0.0001,0.0,0.0,0.0001,6848.0,6,0.0,0.0,True,True
2025-07-15,0.0,0.0001,0.0,0.0,0.0001,2950.0,3,0.0,0.0,True,True
2025-07-17,0.0,0.0,0.0,0.0,,1001.0,2,,,True,True
2025-07-24,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2025-07-28,0.0,0.0001,0.0,0.0001,,7525.0,6,,,True,True
2025-07-29,0.0,0.0,0.0,0.0,,1831.0,2,,,True,True
2025-08-12,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
